Temperature: 20 C
Humidity: 22 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
0,5.22269367609515e-11,0,5.22269367609515e-11
1,5.430197150783734e-11,0,5.430197150783734e-11
2,5.645957369180924e-11,0,5.645957369180924e-11
3,5.870277584898535e-11,0,5.870277584898535e-11
4,5.971847952681098e-11,0,5.971847952681098e-11
5,5.7869056745332623e-11,0,5.7869056745332623e-11
6,5.5400426390788986e-11,0,5.5400426390788986e-11
7,5.286420401973522e-11,0,5.286420401973522e-11
8,4.9721221132673215e-11,0,4.9721221132673215e-11
9,4.732522605931329e-11,0,4.732522605931329e-11
10,4.6073195401079295e-11,0,4.6073195401079295e-11
11,4.5477529028216516e-11,0,4.5477529028216516e-11
12,4.678369181404586e-11,0,4.678369181404586e-11
13,5.023979947856321e-11,0,5.023979947856321e-11
14,5.505551855923207e-11,0,5.505551855923207e-11
15,6.079726580316663e-11,0,6.079726580316663e-11
16,6.848239155646005e-11,0,6.848239155646005e-11
17,7.83034159405455e-11,0,7.83034159405455e-11
18,9.462492628856798e-11,0,9.462492628856798e-11
19,1.1766550065642583e-10,0,1.1766550065642583e-10
20,1.4399806842874337e-10,0,1.4399806842874337e-10
21,1.7437478628939785e-10,0,1.7437478628939785e-10
22,2.0914750598277747e-10,0,2.0914750598277747e-10
23,2.430184187292844e-10,0,2.430184187292844e-10
24,2.720486696182445e-10,0,2.720486696182445e-10
25,2.8776992933984336e-10,0,2.8776992933984336e-10
26,2.96001834790917e-10,0,2.96001834790917e-10
27,2.9880086555730034e-10,0,2.9880086555730034e-10
28,2.996675709966986e-10,0,2.996675709966986e-10
29,3.0290208401053507e-10,0,3.0290208401053507e-10
30,3.0702183691140356e-10,0,3.0702183691140356e-10
31,3.1355660687106194e-10,0,3.1355660687106194e-10
32,3.210507413234293e-10,0,3.210507413234293e-10
33,3.2868861996881946e-10,0,3.2868861996881946e-10
34,3.385918009360505e-10,0,3.385918009360505e-10
35,3.4875506455630314e-10,0,3.4875506455630314e-10
36,3.5872913884000576e-10,0,3.5872913884000576e-10
37,3.684144296073735e-10,0,3.684144296073735e-10
38,3.7831053410671924e-10,0,3.7831053410671924e-10
39,3.8723410016751455e-10,0,3.8723410016751455e-10
40,3.9438775619653387e-10,0,3.9438775619653387e-10
41,3.99201784844905e-10,0,3.99201784844905e-10
42,4.0350709307743804e-10,0,4.0350709307743804e-10
43,4.0643281189843557e-10,0,4.0643281189843557e-10
44,4.1019321457668164e-10,0,4.1019321457668164e-10
45,4.132100570330892e-10,0,4.132100570330892e-10
46,4.165115019179855e-10,0,4.165115019179855e-10
47,4.208251033895775e-10,0,4.208251033895775e-10
48,4.255598130548485e-10,0,4.255598130548485e-10
49,4.3142739875033904e-10,0,4.3142739875033904e-10
50,4.3664655999156893e-10,0,4.3664655999156893e-10
51,4.4204629834487854e-10,0,4.4204629834487854e-10
52,4.4872513829928096e-10,0,4.4872513829928096e-10
53,4.594579287390015e-10,0,4.594579287390015e-10
54,4.717498565032426e-10,0,4.717498565032426e-10
55,4.862302393310336e-10,0,4.862302393310336e-10
56,5.005743737122953e-10,0,5.005743737122953e-10
57,5.173758493200568e-10,0,5.173758493200568e-10
58,5.346250184584121e-10,0,5.346250184584121e-10
59,5.535190742508631e-10,0,5.535190742508631e-10
60,5.698069839415569e-10,0,5.698069839415569e-10
61,5.852194148888642e-10,0,5.852194148888642e-10
62,5.991103582059503e-10,0,5.991103582059503e-10
63,6.131411483877089e-10,0,6.131411483877089e-10
64,6.242556367609252e-10,0,6.242556367609252e-10
65,6.346790025739352e-10,0,6.346790025739352e-10
66,6.426843189435097e-10,0,6.426843189435097e-10
67,6.499694043471815e-10,0,6.499694043471815e-10
68,6.582586402020454e-10,0,6.582586402020454e-10
69,6.680310926659849e-10,0,6.680310926659849e-10
70,6.778176315747531e-10,0,6.778176315747531e-10
71,6.892851679055336e-10,0,6.892851679055336e-10
72,7.017568133348396e-10,0,7.017568133348396e-10
73,7.140165317878402e-10,0,7.140165317878402e-10
74,7.253904961202927e-10,0,7.253904961202927e-10
75,7.343690154359508e-10,0,7.343690154359508e-10
76,7.418392875942985e-10,0,7.418392875942985e-10
77,7.478255132430466e-10,0,7.478255132430466e-10
78,7.523386012744039e-10,0,7.523386012744039e-10
79,7.551938307865298e-10,0,7.551938307865298e-10
80,7.594177894058031e-10,0,7.594177894058031e-10
81,7.677377547260616e-10,0,7.677377547260616e-10
82,7.779678449122547e-10,0,7.779678449122547e-10
83,7.901141132042196e-10,0,7.901141132042196e-10
84,8.021963147752601e-10,0,8.021963147752601e-10
85,8.144453892206863e-10,0,8.144453892206863e-10
86,8.277244431415583e-10,0,8.277244431415583e-10
87,8.422384542809793e-10,0,8.422384542809793e-10
88,8.523450142439253e-10,0,8.523450142439253e-10
89,8.596645792929821e-10,0,8.596645792929821e-10
90,8.639092506103423e-10,0,8.639092506103423e-10
91,8.68441822913161e-10,0,8.68441822913161e-10
92,8.744659368527967e-10,0,8.744659368527967e-10
93,8.845104274521909e-10,0,8.845104274521909e-10
94,8.951360297463838e-10,0,8.951360297463838e-10
95,9.080302544273286e-10,0,9.080302544273286e-10
96,9.277746726209004e-10,0,9.277746726209004e-10
97,9.52495126921763e-10,0,9.52495126921763e-10
98,9.774448833107423e-10,0,9.774448833107423e-10
99,1.0010238207262584e-09,0,1.0010238207262584e-09
100,1.0183753238604101e-09,0,1.0183753238604101e-09
101,1.0290012111295779e-09,0,1.0290012111295779e-09
102,1.0354157914105015e-09,0,1.0354157914105015e-09
103,1.0340184180693984e-09,0,1.0340184180693984e-09
104,1.0271522614487157e-09,0,1.0271522614487157e-09
105,1.0203316979295833e-09,0,1.0203316979295833e-09
106,1.0140372867616663e-09,0,1.0140372867616663e-09
107,1.0119574198569234e-09,0,1.0119574198569234e-09
108,1.0174409931541261e-09,0,1.0174409931541261e-09
109,1.0311115795045854e-09,0,1.0311115795045854e-09
110,1.0499594422436502e-09,0,1.0499594422436502e-09
111,1.0773509919931755e-09,0,1.0773509919931755e-09
112,1.1144876790542368e-09,0,1.1144876790542368e-09
113,1.1635535129219722e-09,0,1.1635535129219722e-09
114,1.2165092981923566e-09,0,1.2165092981923566e-09
115,1.27066644886454e-09,0,1.27066644886454e-09
116,1.3208236634480639e-09,0,1.3208236634480639e-09
117,1.3673854699037729e-09,0,1.3673854699037729e-09
118,1.405318282808988e-09,0,1.405318282808988e-09
119,1.4326004019180674e-09,0,1.4326004019180674e-09
120,1.4464362625468696e-09,0,1.4464362625468696e-09
121,1.4665052007521062e-09,0,1.4665052007521062e-09
