Temperature: -40 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,3.4677641531810678e-12,0,3.4677641531810678e-12
27,3.767122564738791e-12,0,3.767122564738791e-12
28,3.934094774624279e-12,0,3.934094774624279e-12
29,4.038989251643427e-12,0,4.038989251643427e-12
30,4.188337808742726e-12,0,4.188337808742726e-12
31,4.389914428057164e-12,0,4.389914428057164e-12
32,4.499664384720896e-12,0,4.499664384720896e-12
33,4.599081324507771e-12,0,4.599081324507771e-12
34,4.663056249550456e-12,0,4.663056249550456e-12
35,4.6939694671205555e-12,0,4.6939694671205555e-12
36,4.668148149106449e-12,0,4.668148149106449e-12
37,4.5695655968711326e-12,0,4.5695655968711326e-12
38,4.420035897552972e-12,0,4.420035897552972e-12
39,4.300247217002968e-12,0,4.300247217002968e-12
40,4.210913274103668e-12,0,4.210913274103668e-12
41,4.156708968861774e-12,0,4.156708968861774e-12
42,4.133244020614606e-12,0,4.133244020614606e-12
43,4.164922952488295e-12,0,4.164922952488295e-12
44,4.231026741867728e-12,0,4.231026741867728e-12
45,4.313913998715284e-12,0,4.313913998715284e-12
46,4.39081102886385e-12,0,4.39081102886385e-12
47,4.4648804754006524e-12,0,4.4648804754006524e-12
48,4.554708810283262e-12,0,4.554708810283262e-12
49,4.657294871245521e-12,0,4.657294871245521e-12
50,4.7636975859709056e-12,0,4.7636975859709056e-12
51,4.86987843047983e-12,0,4.86987843047983e-12
52,4.9602680050726e-12,0,4.9602680050726e-12
53,5.030979258687866e-12,0,5.030979258687866e-12
54,5.084310567527211e-12,0,5.084310567527211e-12
55,5.1218277939692816e-12,0,5.1218277939692816e-12
56,5.158738188824622e-12,0,5.158738188824622e-12
57,5.197671983336767e-12,0,5.197671983336767e-12
58,5.241213815665823e-12,0,5.241213815665823e-12
59,5.302115178290788e-12,0,5.302115178290788e-12
60,5.3823071189538355e-12,0,5.3823071189538355e-12
61,5.475566648051092e-12,0,5.475566648051092e-12
62,5.5811555757277944e-12,0,5.5811555757277944e-12
63,5.6896926390242855e-12,0,5.6896926390242855e-12
64,5.785101482278131e-12,0,5.785101482278131e-12
65,5.862419559824996e-12,0,5.862419559824996e-12
66,5.921742155415458e-12,0,5.921742155415458e-12
67,5.9691864692873674e-12,0,5.9691864692873674e-12
68,6.024097159730869e-12,0,6.024097159730869e-12
69,6.087648625450634e-12,0,6.087648625450634e-12
70,6.155897527261024e-12,0,6.155897527261024e-12
71,6.241857292071269e-12,0,6.241857292071269e-12
72,6.350121847620269e-12,0,6.350121847620269e-12
73,6.460505413810814e-12,0,6.460505413810814e-12
74,6.564931888313964e-12,0,6.564931888313964e-12
75,6.670621484818656e-12,0,6.670621484818656e-12
76,6.7763011524151335e-12,0,6.7763011524151335e-12
77,6.891883035115776e-12,0,6.891883035115776e-12
78,7.017383215880769e-12,0,7.017383215880769e-12
79,7.147758087344504e-12,0,7.147758087344504e-12
80,7.308747598954183e-12,0,7.308747598954183e-12
81,7.522047952964903e-12,0,7.522047952964903e-12
82,7.766927518710412e-12,0,7.766927518710412e-12
83,8.032645282635442e-12,0,8.032645282635442e-12
84,8.321439126504594e-12,0,8.321439126504594e-12
85,8.621978915544583e-12,0,8.621978915544583e-12
86,8.938828270932795e-12,0,8.938828270932795e-12
87,9.278439439335827e-12,0,9.278439439335827e-12
88,9.623850024053655e-12,0,9.623850024053655e-12
89,9.979445418134926e-12,0,9.979445418134926e-12
90,1.0375689343502805e-11,0,1.0375689343502805e-11
91,1.0807441104304283e-11,0,1.0807441104304283e-11
92,1.1297375446896474e-11,0,1.1297375446896474e-11
93,1.1832726631556309e-11,0,1.1832726631556309e-11
94,1.2402430814356303e-11,0,1.2402430814356303e-11
95,1.3002619026451864e-11,0,1.3002619026451864e-11
96,1.363580393405462e-11,0,1.363580393405462e-11
97,1.4291127378972081e-11,0,1.4291127378972081e-11
98,1.4965517649918788e-11,0,1.4965517649918788e-11
99,1.5667293265887557e-11,0,1.5667293265887557e-11
100,1.642818267202253e-11,0,1.642818267202253e-11
101,1.7305948991257625e-11,0,1.7305948991257625e-11
102,1.8329885491476034e-11,0,1.8329885491476034e-11
103,1.9510179659581693e-11,0,1.9510179659581693e-11
104,2.0878362146680236e-11,0,2.0878362146680236e-11
105,2.237179997825763e-11,0,2.237179997825763e-11
106,2.400735922243111e-11,0,2.400735922243111e-11
107,2.5905846567440285e-11,0,2.5905846567440285e-11
108,2.804090675365604e-11,0,2.804090675365604e-11
109,3.0330742988349707e-11,0,3.0330742988349707e-11
110,3.2861717223934684e-11,0,3.2861717223934684e-11
111,3.592557347225369e-11,0,3.592557347225369e-11
112,3.987680968147753e-11,0,3.987680968147753e-11
113,4.484040249680711e-11,0,4.484040249680711e-11
114,5.113040105190648e-11,0,5.113040105190648e-11
115,5.920402930932564e-11,0,5.920402930932564e-11
116,7.015873238938018e-11,0,7.015873238938018e-11
117,8.4852787676926e-11,0,8.4852787676926e-11
118,1.0474079172264391e-10,0,1.0474079172264391e-10
119,1.3139069374176452e-10,0,1.3139069374176452e-10
120,1.6918954696649718e-10,0,1.6918954696649718e-10
121,2.2692316380847617e-10,0,2.2692316380847617e-10
122,3.2241498774776325e-10,0,3.2241498774776325e-10
123,4.79246730051267e-10,0,4.79246730051267e-10
124,7.863390720236196e-10,0,7.863390720236196e-10
125,1.3225534443668876e-09,0,1.3225534443668876e-09
126,2.224419052083143e-09,0,2.224419052083143e-09
127,3.741286226155365e-09,0,3.741286226155365e-09
