Temperature: 20 C
Humidity: 76 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,1.3736814934205856e-09,0,1.3736814934205856e-09
27,2.4982804067584617e-10,0,2.4982804067584617e-10
28,1.0145384272719524e-10,0,1.0145384272719524e-10
29,9.64659501597384e-11,0,9.64659501597384e-11
30,9.21616026445822e-11,0,9.21616026445822e-11
31,8.851341290242382e-11,0,8.851341290242382e-11
32,8.63780259319755e-11,0,8.63780259319755e-11
33,8.668261700194103e-11,0,8.668261700194103e-11
34,8.753285560738068e-11,0,8.753285560738068e-11
35,8.873955696649565e-11,0,8.873955696649565e-11
36,8.99628935440093e-11,0,8.99628935440093e-11
37,9.040213041273635e-11,0,9.040213041273635e-11
38,9.036719843394904e-11,0,9.036719843394904e-11
39,9.005183542279031e-11,0,9.005183542279031e-11
40,8.973757296393962e-11,0,8.973757296393962e-11
41,8.936198382813995e-11,0,8.936198382813995e-11
42,8.894674470394162e-11,0,8.894674470394162e-11
43,8.853343507507091e-11,0,8.853343507507091e-11
44,8.884133462783127e-11,0,8.884133462783127e-11
45,8.967079577156802e-11,0,8.967079577156802e-11
46,9.090677050050758e-11,0,9.090677050050758e-11
47,9.255058445314292e-11,0,9.255058445314292e-11
48,9.470807816800146e-11,0,9.470807816800146e-11
49,9.845342289598662e-11,0,9.845342289598662e-11
50,1.0381728899015883e-10,0,1.0381728899015883e-10
51,1.0948324185740724e-10,0,1.0948324185740724e-10
52,1.1523501764522454e-10,0,1.1523501764522454e-10
53,1.230015281864468e-10,0,1.230015281864468e-10
54,1.3325525165692427e-10,0,1.3325525165692427e-10
55,1.4436533692746834e-10,0,1.4436533692746834e-10
56,1.5480772664299256e-10,0,1.5480772664299256e-10
57,1.6379733496048513e-10,0,1.6379733496048513e-10
58,1.7265106663113392e-10,0,1.7265106663113392e-10
59,1.8159654843345238e-10,0,1.8159654843345238e-10
60,1.8759571894593645e-10,0,1.8759571894593645e-10
61,1.9167484330124587e-10,0,1.9167484330124587e-10
62,1.968161386466168e-10,0,1.968161386466168e-10
63,2.019844233219987e-10,0,2.019844233219987e-10
64,2.0818800145492575e-10,0,2.0818800145492575e-10
65,2.1450343432191446e-10,0,2.1450343432191446e-10
66,2.2062543867067792e-10,0,2.2062543867067792e-10
67,2.2672094243421598e-10,0,2.2672094243421598e-10
68,2.3126301233614065e-10,0,2.3126301233614065e-10
69,2.33763808970803e-10,0,2.33763808970803e-10
70,2.353703674152129e-10,0,2.353703674152129e-10
71,2.3609040992996544e-10,0,2.3609040992996544e-10
72,2.3748860501112627e-10,0,2.3748860501112627e-10
73,2.3979961429551253e-10,0,2.3979961429551253e-10
74,2.42789058350151e-10,0,2.42789058350151e-10
75,2.4645084328879555e-10,0,2.4645084328879555e-10
76,2.501673065295497e-10,0,2.501673065295497e-10
77,2.523843468979573e-10,0,2.523843468979573e-10
78,2.528775251643571e-10,0,2.528775251643571e-10
79,2.5265106509498426e-10,0,2.5265106509498426e-10
80,2.523211743077069e-10,0,2.523211743077069e-10
81,2.519679212215068e-10,0,2.519679212215068e-10
82,2.5175830758636047e-10,0,2.5175830758636047e-10
83,2.5250131333564987e-10,0,2.5250131333564987e-10
84,2.557990356597477e-10,0,2.557990356597477e-10
85,2.6225517096025223e-10,0,2.6225517096025223e-10
86,2.7045353768105575e-10,0,2.7045353768105575e-10
87,2.786314996424505e-10,0,2.786314996424505e-10
88,2.8603048029946405e-10,0,2.8603048029946405e-10
89,2.916185456752841e-10,0,2.916185456752841e-10
90,2.958419791415841e-10,0,2.958419791415841e-10
91,2.989636330105882e-10,0,2.989636330105882e-10
92,3.011928393753977e-10,0,3.011928393753977e-10
93,3.022144379590548e-10,0,3.022144379590548e-10
94,3.029293562903397e-10,0,3.029293562903397e-10
95,3.040142521708583e-10,0,3.040142521708583e-10
96,3.0619907593980084e-10,0,3.0619907593980084e-10
97,3.100115185920712e-10,0,3.100115185920712e-10
98,3.151608733021693e-10,0,3.151608733021693e-10
99,3.202156985241561e-10,0,3.202156985241561e-10
100,3.255617120537259e-10,0,3.255617120537259e-10
101,3.308138640615104e-10,0,3.308138640615104e-10
102,3.3631982775344544e-10,0,3.3631982775344544e-10
103,3.438562741896569e-10,0,3.438562741896569e-10
104,3.506002346748551e-10,0,3.506002346748551e-10
105,3.5601310772150794e-10,0,3.5601310772150794e-10
106,3.6047743978421277e-10,0,3.6047743978421277e-10
107,3.6454278290315196e-10,0,3.6454278290315196e-10
108,3.7084620580685127e-10,0,3.7084620580685127e-10
109,3.791396874601936e-10,0,3.791396874601936e-10
110,3.8773101358074784e-10,0,3.8773101358074784e-10
111,3.985781235679528e-10,0,3.985781235679528e-10
112,4.105266274875549e-10,0,4.105266274875549e-10
113,4.2283332152717345e-10,0,4.2283332152717345e-10
114,4.3498136293611247e-10,0,4.3498136293611247e-10
115,4.4591387313091055e-10,0,4.4591387313091055e-10
116,4.5407577624621573e-10,0,4.5407577624621573e-10
