Temperature: -40 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,4.326331986667834e-12,0,4.326331986667834e-12
27,4.315628951404333e-12,0,4.315628951404333e-12
28,4.236074753227816e-12,0,4.236074753227816e-12
29,4.156544671981866e-12,0,4.156544671981866e-12
30,4.078507726289807e-12,0,4.078507726289807e-12
31,4.010398794280761e-12,0,4.010398794280761e-12
32,3.9588277386782145e-12,0,3.9588277386782145e-12
33,3.944804336302481e-12,0,3.944804336302481e-12
34,3.950664507722704e-12,0,3.950664507722704e-12
35,3.977684709136634e-12,0,3.977684709136634e-12
36,4.005215118808107e-12,0,4.005215118808107e-12
37,4.0224641994445565e-12,0,4.0224641994445565e-12
38,4.033538324632202e-12,0,4.033538324632202e-12
39,4.037428559586543e-12,0,4.037428559586543e-12
40,4.038536943579594e-12,0,4.038536943579594e-12
41,4.052679966486606e-12,0,4.052679966486606e-12
42,4.086423600487608e-12,0,4.086423600487608e-12
43,4.1333529371428705e-12,0,4.1333529371428705e-12
44,4.206514090678116e-12,0,4.206514090678116e-12
45,4.302457442786856e-12,0,4.302457442786856e-12
46,4.421618263408535e-12,0,4.421618263408535e-12
47,4.549930477628674e-12,0,4.549930477628674e-12
48,4.674795436240785e-12,0,4.674795436240785e-12
49,4.787176722876538e-12,0,4.787176722876538e-12
50,4.895288908522252e-12,0,4.895288908522252e-12
51,5.000250656217005e-12,0,5.000250656217005e-12
52,5.094502995069242e-12,0,5.094502995069242e-12
53,5.168092389047372e-12,0,5.168092389047372e-12
54,5.228477049241163e-12,0,5.228477049241163e-12
55,5.282532972266063e-12,0,5.282532972266063e-12
56,5.3376986311433636e-12,0,5.3376986311433636e-12
57,5.396532437581011e-12,0,5.396532437581011e-12
58,5.455823037028167e-12,0,5.455823037028167e-12
59,5.520902996768491e-12,0,5.520902996768491e-12
60,5.6031365406509195e-12,0,5.6031365406509195e-12
61,5.698094864438995e-12,0,5.698094864438995e-12
62,5.796495111518155e-12,0,5.796495111518155e-12
63,5.896439250730215e-12,0,5.896439250730215e-12
64,5.993485284430361e-12,0,5.993485284430361e-12
65,6.0778844807159555e-12,0,6.0778844807159555e-12
66,6.144633969606669e-12,0,6.144633969606669e-12
67,6.214163055312366e-12,0,6.214163055312366e-12
68,6.2942570247121405e-12,0,6.2942570247121405e-12
69,6.38876716570409e-12,0,6.38876716570409e-12
70,6.496454928907204e-12,0,6.496454928907204e-12
71,6.612677608965875e-12,0,6.612677608965875e-12
72,6.746813441258593e-12,0,6.746813441258593e-12
73,6.897969588414478e-12,0,6.897969588414478e-12
74,7.044927835191772e-12,0,7.044927835191772e-12
75,7.191289211088009e-12,0,7.191289211088009e-12
76,7.335373784474446e-12,0,7.335373784474446e-12
77,7.482854600473268e-12,0,7.482854600473268e-12
78,7.639404420603204e-12,0,7.639404420603204e-12
79,7.804112008135856e-12,0,7.804112008135856e-12
80,7.981216501354955e-12,0,7.981216501354955e-12
81,8.178433665291485e-12,0,8.178433665291485e-12
82,8.393655663361503e-12,0,8.393655663361503e-12
83,8.628873334897649e-12,0,8.628873334897649e-12
84,8.886338232203833e-12,0,8.886338232203833e-12
85,9.174382992061447e-12,0,9.174382992061447e-12
86,9.493587196075056e-12,0,9.493587196075056e-12
87,9.837929576862639e-12,0,9.837929576862639e-12
88,1.0195097425712573e-11,0,1.0195097425712573e-11
89,1.0578348660722195e-11,0,1.0578348660722195e-11
90,1.1007747419420459e-11,0,1.1007747419420459e-11
91,1.1516014023364147e-11,0,1.1516014023364147e-11
92,1.2114097193802969e-11,0,1.2114097193802969e-11
93,1.2756792777182541e-11,0,1.2756792777182541e-11
94,1.344170031100231e-11,0,1.344170031100231e-11
95,1.4181586405265814e-11,0,1.4181586405265814e-11
96,1.4938659825634667e-11,0,1.4938659825634667e-11
97,1.5685090267485132e-11,0,1.5685090267485132e-11
98,1.6377359745536348e-11,0,1.6377359745536348e-11
99,1.7029882923247945e-11,0,1.7029882923247945e-11
100,1.7736152141411505e-11,0,1.7736152141411505e-11
101,1.8545683164487155e-11,0,1.8545683164487155e-11
102,1.9456827866842993e-11,0,1.9456827866842993e-11
103,2.053768546821401e-11,0,2.053768546821401e-11
104,2.1847138877160274e-11,0,2.1847138877160274e-11
105,2.3392042576615115e-11,0,2.3392042576615115e-11
106,2.5180917401925215e-11,0,2.5180917401925215e-11
107,2.7207435886330054e-11,0,2.7207435886330054e-11
108,2.9502715020363505e-11,0,2.9502715020363505e-11
109,3.218321262677806e-11,0,3.218321262677806e-11
110,3.525062522928987e-11,0,3.525062522928987e-11
111,3.887045609367269e-11,0,3.887045609367269e-11
112,4.336680629910949e-11,0,4.336680629910949e-11
113,4.8848084903598766e-11,0,4.8848084903598766e-11
114,5.606779714061956e-11,0,5.606779714061956e-11
115,6.51899089018209e-11,0,6.51899089018209e-11
116,7.697263014478518e-11,0,7.697263014478518e-11
117,9.288938332978149e-11,0,9.288938332978149e-11
118,1.1494261451113703e-10,0,1.1494261451113703e-10
119,1.451039610188544e-10,0,1.451039610188544e-10
120,1.8953855405513084e-10,0,1.8953855405513084e-10
121,2.556215958393972e-10,0,2.556215958393972e-10
122,3.650418390741258e-10,0,3.650418390741258e-10
123,5.494175100216228e-10,0,5.494175100216228e-10
124,9.198549885982208e-10,0,9.198549885982208e-10
125,1.5666020367227228e-09,0,1.5666020367227228e-09
126,2.668080687934907e-09,0,2.668080687934907e-09
127,4.544009512602948e-09,0,4.544009512602948e-09
