Temperature: 20 C
Humidity: 76 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,5.7175976754918644e-11,0,5.7175976754918644e-11
27,5.7797303550719084e-11,0,5.7797303550719084e-11
28,5.807770891400112e-11,0,5.807770891400112e-11
29,5.874249244359602e-11,0,5.874249244359602e-11
30,5.963736100325562e-11,0,5.963736100325562e-11
31,6.054572881509723e-11,0,6.054572881509723e-11
32,6.151154595081195e-11,0,6.151154595081195e-11
33,6.278202941125766e-11,0,6.278202941125766e-11
34,6.419565103890473e-11,0,6.419565103890473e-11
35,6.521654053427907e-11,0,6.521654053427907e-11
36,6.559326442936729e-11,0,6.559326442936729e-11
37,6.536981191752037e-11,0,6.536981191752037e-11
38,6.492105355975481e-11,0,6.492105355975481e-11
39,6.464862207981115e-11,0,6.464862207981115e-11
40,6.43865233438307e-11,0,6.43865233438307e-11
41,6.393145775173726e-11,0,6.393145775173726e-11
42,6.354976331105588e-11,0,6.354976331105588e-11
43,6.322960757669696e-11,0,6.322960757669696e-11
44,6.329489931820099e-11,0,6.329489931820099e-11
45,6.409212292692743e-11,0,6.409212292692743e-11
46,6.496725982311428e-11,0,6.496725982311428e-11
47,6.603057266131653e-11,0,6.603057266131653e-11
48,6.729250416518837e-11,0,6.729250416518837e-11
49,6.84293274217723e-11,0,6.84293274217723e-11
50,6.954105695327754e-11,0,6.954105695327754e-11
51,7.069630337092601e-11,0,7.069630337092601e-11
52,7.138817033550193e-11,0,7.138817033550193e-11
53,7.203458927890018e-11,0,7.203458927890018e-11
54,7.263038004468035e-11,0,7.263038004468035e-11
55,7.31223114817447e-11,0,7.31223114817447e-11
56,7.371916608585937e-11,0,7.371916608585937e-11
57,7.467408314224729e-11,0,7.467408314224729e-11
58,7.577752969628968e-11,0,7.577752969628968e-11
59,7.705854298368861e-11,0,7.705854298368861e-11
60,7.860317732980651e-11,0,7.860317732980651e-11
61,8.001537531544472e-11,0,8.001537531544472e-11
62,8.131158658942503e-11,0,8.131158658942503e-11
63,8.247452958393426e-11,0,8.247452958393426e-11
64,8.323321477273813e-11,0,8.323321477273813e-11
65,8.386470352231163e-11,0,8.386470352231163e-11
66,8.423438815307208e-11,0,8.423438815307208e-11
67,8.433025798939012e-11,0,8.433025798939012e-11
68,8.441604094186673e-11,0,8.441604094186673e-11
69,8.461685035009633e-11,0,8.461685035009633e-11
70,8.489155308955695e-11,0,8.489155308955695e-11
71,8.539899329775836e-11,0,8.539899329775836e-11
72,8.566965063877979e-11,0,8.566965063877979e-11
73,8.632170966146867e-11,0,8.632170966146867e-11
74,8.729195810080038e-11,0,8.729195810080038e-11
75,8.828396777517834e-11,0,8.828396777517834e-11
76,8.925843367302879e-11,0,8.925843367302879e-11
77,9.015551411680942e-11,0,9.015551411680942e-11
78,9.086924899877483e-11,0,9.086924899877483e-11
79,9.156329657442209e-11,0,9.156329657442209e-11
80,9.211446036095429e-11,0,9.211446036095429e-11
81,9.23467629513009e-11,0,9.23467629513009e-11
82,9.273428622553497e-11,0,9.273428622553497e-11
83,9.364573420268403e-11,0,9.364573420268403e-11
84,9.462284842723545e-11,0,9.462284842723545e-11
85,9.533195737415118e-11,0,9.533195737415118e-11
86,9.57437807105509e-11,0,9.57437807105509e-11
87,9.569207432756214e-11,0,9.569207432756214e-11
88,9.56294755404326e-11,0,9.56294755404326e-11
89,9.566097987682024e-11,0,9.566097987682024e-11
90,9.537781407770587e-11,0,9.537781407770587e-11
91,9.550104533421454e-11,0,9.550104533421454e-11
92,9.596395008064593e-11,0,9.596395008064593e-11
93,9.719527418427924e-11,0,9.719527418427924e-11
94,9.93540801988858e-11,0,9.93540801988858e-11
95,1.0238352180237059e-10,0,1.0238352180237059e-10
96,1.0546086186469834e-10,0,1.0546086186469834e-10
97,1.0925364521127948e-10,0,1.0925364521127948e-10
98,1.1396544371454539e-10,0,1.1396544371454539e-10
99,1.1941313945380234e-10,0,1.1941313945380234e-10
100,1.24920556747862e-10,0,1.24920556747862e-10
101,1.297204657038149e-10,0,1.297204657038149e-10
102,1.3371457289183292e-10,0,1.3371457289183292e-10
103,1.378228820155357e-10,0,1.378228820155357e-10
104,1.4150634363342426e-10,0,1.4150634363342426e-10
105,1.444623758690601e-10,0,1.444623758690601e-10
106,1.4719576570272738e-10,0,1.4719576570272738e-10
107,1.495257521825975e-10,0,1.495257521825975e-10
108,1.5201741690835489e-10,0,1.5201741690835489e-10
109,1.5547340592538145e-10,0,1.5547340592538145e-10
110,1.5965418719307309e-10,0,1.5965418719307309e-10
111,1.635044536553382e-10,0,1.635044536553382e-10
112,1.6653888609094245e-10,0,1.6653888609094245e-10
113,1.6915982749079508e-10,0,1.6915982749079508e-10
114,1.7186805410875287e-10,0,1.7186805410875287e-10
115,1.7500120476204147e-10,0,1.7500120476204147e-10
116,1.7701134361598163e-10,0,1.7701134361598163e-10
117,1.7667659933103552e-10,0,1.7667659933103552e-10
118,1.7621397346147064e-10,0,1.7621397346147064e-10
119,1.762929291755179e-10,0,1.762929291755179e-10
120,1.7711437964576434e-10,0,1.7711437964576434e-10
121,1.7979907166748986e-10,0,1.7979907166748986e-10
122,1.821120919738023e-10,0,1.821120919738023e-10
123,1.8476214969552736e-10,0,1.8476214969552736e-10
124,1.8939626340078564e-10,0,1.8939626340078564e-10
125,1.9602337111015267e-10,0,1.9602337111015267e-10
126,2.053579139598173e-10,0,2.053579139598173e-10
127,2.1622960807145793e-10,0,2.1622960807145793e-10
128,2.2730668351517053e-10,0,2.2730668351517053e-10
129,2.396506384862586e-10,0,2.396506384862586e-10
130,2.5334440584011596e-10,0,2.5334440584011596e-10
131,2.686735835540927e-10,0,2.686735835540927e-10
132,2.82244455730748e-10,0,2.82244455730748e-10
133,2.924939619411746e-10,0,2.924939619411746e-10
134,3.005374503668288e-10,0,3.005374503668288e-10
135,3.0596315884659436e-10,0,3.0596315884659436e-10
136,3.109373695529874e-10,0,3.109373695529874e-10
137,3.171902909213066e-10,0,3.171902909213066e-10
138,3.223944565083508e-10,0,3.223944565083508e-10
139,3.288344503924837e-10,0,3.288344503924837e-10
140,3.3591240607129106e-10,0,3.3591240607129106e-10
141,3.450195498625426e-10,0,3.450195498625426e-10
142,3.548002999147481e-10,0,3.548002999147481e-10
143,3.6625104900621774e-10,0,3.6625104900621774e-10
144,3.7785058494296565e-10,0,3.7785058494296565e-10
145,3.936955304118112e-10,0,3.936955304118112e-10
146,4.1268592715877306e-10,0,4.1268592715877306e-10
147,4.3903289626611217e-10,0,4.3903289626611217e-10
148,4.673840845999558e-10,0,4.673840845999558e-10
149,4.969666088196149e-10,0,4.969666088196149e-10
150,5.238762915091204e-10,0,5.238762915091204e-10
151,5.480919892381773e-10,0,5.480919892381773e-10
152,5.662048127026897e-10,0,5.662048127026897e-10
153,5.763090017118142e-10,0,5.763090017118142e-10
154,5.761938503232221e-10,0,5.761938503232221e-10
155,5.807248026416899e-10,0,5.807248026416899e-10
156,5.916179207836157e-10,0,5.916179207836157e-10
157,6.057072920514862e-10,0,6.057072920514862e-10
158,6.201322014694874e-10,0,6.201322014694874e-10
159,6.442527515216475e-10,0,6.442527515216475e-10
160,6.845592950918049e-10,0,6.845592950918049e-10
161,7.403892524892779e-10,0,7.403892524892779e-10
162,8.071225972138953e-10,0,8.071225972138953e-10
163,8.85419896167771e-10,0,8.85419896167771e-10
164,9.980037114391136e-10,0,9.980037114391136e-10
165,1.132039596928495e-09,0,1.132039596928495e-09
166,1.2689738789333205e-09,0,1.2689738789333205e-09
167,1.420982875810988e-09,0,1.420982875810988e-09
168,1.5819439556017848e-09,0,1.5819439556017848e-09
169,1.7666922811146648e-09,0,1.7666922811146648e-09
170,1.9733545268016848e-09,0,1.9733545268016848e-09
171,2.219651876383172e-09,0,2.219651876383172e-09
172,2.558585841958123e-09,0,2.558585841958123e-09
173,2.9585692133583244e-09,0,2.9585692133583244e-09
174,3.417672995635072e-09,0,3.417672995635072e-09
175,4.0128653724820306e-09,0,4.0128653724820306e-09
176,4.871322313596878e-09,0,4.871322313596878e-09
177,6.047543732719782e-09,0,6.047543732719782e-09
178,7.699612826841035e-09,0,7.699612826841035e-09
179,9.905845978354839e-09,0,9.905845978354839e-09
180,1.3216142639170671e-08,0,1.3216142639170671e-08
181,1.736415233940456e-08,0,1.736415233940456e-08
182,2.347470933637033e-08,0,2.347470933637033e-08
183,3.173564552413284e-08,0,3.173564552413284e-08
184,4.290367060149247e-08,0,4.290367060149247e-08
