Temperature: -120 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,4.0408877240679903e-13,0,4.0408877240679903e-13
27,4.578022363416026e-13,0,4.578022363416026e-13
28,4.906642930311044e-13,0,4.906642930311044e-13
29,5.178702950440086e-13,0,5.178702950440086e-13
30,5.523206931093763e-13,0,5.523206931093763e-13
31,5.992379846273727e-13,0,5.992379846273727e-13
32,6.660770576760538e-13,0,6.660770576760538e-13
33,7.339240691337316e-13,0,7.339240691337316e-13
34,7.950342833246682e-13,0,7.950342833246682e-13
35,8.741050036133449e-13,0,8.741050036133449e-13
36,9.54364757842235e-13,0,9.54364757842235e-13
37,1.0044103131244973e-12,0,1.0044103131244973e-12
38,1.0345885002458601e-12,0,1.0345885002458601e-12
39,1.0317933394325468e-12,0,1.0317933394325468e-12
40,1.0117107886288618e-12,0,1.0117107886288618e-12
41,9.838577696297659e-13,0,9.838577696297659e-13
42,9.278561688197617e-13,0,9.278561688197617e-13
43,8.750422028387869e-13,0,8.750422028387869e-13
44,8.356359152216195e-13,0,8.356359152216195e-13
45,8.112948774365686e-13,0,8.112948774365686e-13
46,8.175237560288196e-13,0,8.175237560288196e-13
47,8.453030647033502e-13,0,8.453030647033502e-13
48,8.812746438405286e-13,0,8.812746438405286e-13
49,9.351113800743498e-13,0,9.351113800743498e-13
50,9.922348033907642e-13,0,9.922348033907642e-13
51,1.062145667685004e-12,0,1.062145667685004e-12
52,1.1232663529481798e-12,0,1.1232663529481798e-12
53,1.1473456942422216e-12,0,1.1473456942422216e-12
54,1.1443338426599636e-12,0,1.1443338426599636e-12
55,1.1413298973695924e-12,0,1.1413298973695924e-12
56,1.1446530205490153e-12,0,1.1446530205490153e-12
57,1.1692652838410425e-12,0,1.1692652838410425e-12
58,1.1881389916443349e-12,0,1.1881389916443349e-12
59,1.219081855619538e-12,0,1.219081855619538e-12
60,1.2760014661582653e-12,0,1.2760014661582653e-12
61,1.3655040950528213e-12,0,1.3655040950528213e-12
62,1.504727331450804e-12,0,1.504727331450804e-12
63,1.6634480966931612e-12,0,1.6634480966931612e-12
64,1.8054446034217698e-12,0,1.8054446034217698e-12
65,1.948915521990848e-12,0,1.948915521990848e-12
66,2.094720023634043e-12,0,2.094720023634043e-12
67,2.256035197336566e-12,0,2.256035197336566e-12
68,2.415431088956393e-12,0,2.415431088956393e-12
69,2.6237383121817767e-12,0,2.6237383121817767e-12
70,3.0083259511510724e-12,0,3.0083259511510724e-12
71,3.638286319947596e-12,0,3.638286319947596e-12
72,4.6348496664440945e-12,0,4.6348496664440945e-12
73,6.0790056922527664e-12,0,6.0790056922527664e-12
74,8.64740568031538e-12,0,8.64740568031538e-12
75,1.2423446553048773e-11,0,1.2423446553048773e-11
76,1.821516866650729e-11,0,1.821516866650729e-11
77,2.7471890692013312e-11,0,2.7471890692013312e-11
78,4.185607119282459e-11,0,4.185607119282459e-11
79,6.789259291619082e-11,0,6.789259291619082e-11
80,1.1846453969440974e-10,0,1.1846453969440974e-10
81,2.0445125950997343e-10,0,2.0445125950997343e-10
82,3.528508836740706e-10,0,3.528508836740706e-10
83,6.089654150724322e-10,0,6.089654150724322e-10
