Temperature: 100 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,9.705237943011264e-09,0,9.705237943011264e-09
27,9.9192327467618e-09,0,9.9192327467618e-09
28,9.99894601574107e-09,0,9.99894601574107e-09
29,1.0070892733857029e-08,0,1.0070892733857029e-08
30,1.0141397220198406e-08,0,1.0141397220198406e-08
31,1.0217419857808221e-08,0,1.0217419857808221e-08
32,1.0286103744866682e-08,0,1.0286103744866682e-08
33,1.036741061134671e-08,0,1.036741061134671e-08
34,1.043285216194049e-08,0,1.043285216194049e-08
35,1.053309080190989e-08,0,1.053309080190989e-08
36,1.0651201144487583e-08,0,1.0651201144487583e-08
37,1.080153339288098e-08,0,1.080153339288098e-08
38,1.094378126553075e-08,0,1.094378126553075e-08
39,1.1101874867754212e-08,0,1.1101874867754212e-08
40,1.1246250366754654e-08,0,1.1246250366754654e-08
41,1.138343836403682e-08,0,1.138343836403682e-08
42,1.1466870406392698e-08,0,1.1466870406392698e-08
43,1.153181733928286e-08,0,1.153181733928286e-08
44,1.155810711375109e-08,0,1.155810711375109e-08
45,1.1568733791827891e-08,0,1.1568733791827891e-08
46,1.1553805896574051e-08,0,1.1553805896574051e-08
47,1.1537427727119777e-08,0,1.1537427727119777e-08
48,1.1522540228132562e-08,0,1.1522540228132562e-08
49,1.155989658705915e-08,0,1.155989658705915e-08
50,1.1606966294587413e-08,0,1.1606966294587413e-08
51,1.1699574591676674e-08,0,1.1699574591676674e-08
52,1.1803310758118146e-08,0,1.1803310758118146e-08
53,1.1941104170218733e-08,0,1.1941104170218733e-08
54,1.2087843359263613e-08,0,1.2087843359263613e-08
55,1.2235727465051648e-08,0,1.2235727465051648e-08
56,1.2348677402739501e-08,0,1.2348677402739501e-08
57,1.2488764327468593e-08,0,1.2488764327468593e-08
58,1.2583571599527716e-08,0,1.2583571599527716e-08
59,1.2673225240406101e-08,0,1.2673225240406101e-08
60,1.2727497014753787e-08,0,1.2727497014753787e-08
61,1.2775056209216488e-08,0,1.2775056209216488e-08
62,1.2825581042699884e-08,0,1.2825581042699884e-08
63,1.2872517368517209e-08,0,1.2872517368517209e-08
64,1.2885654074802273e-08,0,1.2885654074802273e-08
65,1.29217676058423e-08,0,1.29217676058423e-08
66,1.2966948662841252e-08,0,1.2966948662841252e-08
67,1.3020405212635459e-08,0,1.3020405212635459e-08
68,1.3083717754611267e-08,0,1.3083717754611267e-08
69,1.3134670135658693e-08,0,1.3134670135658693e-08
70,1.3198538298033186e-08,0,1.3198538298033186e-08
71,1.3273817840351425e-08,0,1.3273817840351425e-08
72,1.3330178594272754e-08,0,1.3330178594272754e-08
73,1.3385499980894402e-08,0,1.3385499980894402e-08
74,1.3437863668366194e-08,0,1.3437863668366194e-08
75,1.3495632190333684e-08,0,1.3495632190333684e-08
76,1.3565276365950794e-08,0,1.3565276365950794e-08
77,1.3663139389221904e-08,0,1.3663139389221904e-08
78,1.3749625902326049e-08,0,1.3749625902326049e-08
79,1.3837647387717842e-08,0,1.3837647387717842e-08
80,1.3919338091123934e-08,0,1.3919338091123934e-08
81,1.3986883537151334e-08,0,1.3986883537151334e-08
82,1.404869347166206e-08,0,1.404869347166206e-08
83,1.4117486634695223e-08,0,1.4117486634695223e-08
84,1.4150665436984696e-08,0,1.4150665436984696e-08
85,1.4249684732434669e-08,0,1.4249684732434669e-08
86,1.4343033292016927e-08,0,1.4343033292016927e-08
87,1.4462790465722747e-08,0,1.4462790465722747e-08
88,1.459330219688515e-08,0,1.459330219688515e-08
89,1.4746040510524103e-08,0,1.4746040510524103e-08
90,1.4895470244780858e-08,0,1.4895470244780858e-08
91,1.507260520855976e-08,0,1.507260520855976e-08
92,1.5205798114793253e-08,0,1.5205798114793253e-08
93,1.5382062788174247e-08,0,1.5382062788174247e-08
94,1.55334344971361e-08,0,1.55334344971361e-08
95,1.5723213418974927e-08,0,1.5723213418974927e-08
96,1.5883731236874873e-08,0,1.5883731236874873e-08
97,1.6069989272584762e-08,0,1.6069989272584762e-08
98,1.6249151522716146e-08,0,1.6249151522716146e-08
99,1.640348993235511e-08,0,1.640348993235511e-08
100,1.6511020413223234e-08,0,1.6511020413223234e-08
101,1.660329711904618e-08,0,1.660329711904618e-08
102,1.6653266921435602e-08,0,1.6653266921435602e-08
103,1.6706633542638566e-08,0,1.6706633542638566e-08
104,1.6741981514185083e-08,0,1.6741981514185083e-08
105,1.677244978809562e-08,0,1.677244978809562e-08
106,1.680332404430699e-08,0,1.680332404430699e-08
107,1.685863376705192e-08,0,1.685863376705192e-08
108,1.6931331039533907e-08,0,1.6931331039533907e-08
109,1.7036465925922973e-08,0,1.7036465925922973e-08
110,1.713647642641322e-08,0,1.713647642641322e-08
111,1.7209445911098623e-08,0,1.7209445911098623e-08
112,1.7263362765679893e-08,0,1.7263362765679893e-08
113,1.7355746660070328e-08,0,1.7355746660070328e-08
114,1.7426645573608456e-08,0,1.7426645573608456e-08
115,1.7485658012645906e-08,0,1.7485658012645906e-08
116,1.7511787504132057e-08,0,1.7511787504132057e-08
117,1.7529408487522077e-08,0,1.7529408487522077e-08
118,1.7563392312650593e-08,0,1.7563392312650593e-08
119,1.763521691766521e-08,0,1.763521691766521e-08
120,1.7670880352822847e-08,0,1.7670880352822847e-08
121,1.7725250303899988e-08,0,1.7725250303899988e-08
122,1.7791621483677435e-08,0,1.7791621483677435e-08
123,1.7873482793088548e-08,0,1.7873482793088548e-08
124,1.7970414163556888e-08,0,1.7970414163556888e-08
125,1.8107451168822063e-08,0,1.8107451168822063e-08
126,1.8245132525083802e-08,0,1.8245132525083802e-08
127,1.839599576551355e-08,0,1.839599576551355e-08
128,1.8532208164245267e-08,0,1.8532208164245267e-08
129,1.8694351137263927e-08,0,1.8694351137263927e-08
130,1.8864104610837105e-08,0,1.8864104610837105e-08
131,1.904146151137952e-08,0,1.904146151137952e-08
132,1.9192670797383068e-08,0,1.9192670797383068e-08
133,1.9326504691466117e-08,0,1.9326504691466117e-08
134,1.9449202848022695e-08,0,1.9449202848022695e-08
135,1.9565847356449115e-08,0,1.9565847356449115e-08
136,1.965269988571267e-08,0,1.965269988571267e-08
137,1.972799939619726e-08,0,1.972799939619726e-08
138,1.9811155604686552e-08,0,1.9811155604686552e-08
139,1.988573033953567e-08,0,1.988573033953567e-08
140,1.994325785316616e-08,0,1.994325785316616e-08
141,2.0016088096003476e-08,0,2.0016088096003476e-08
142,2.0099288990204745e-08,0,2.0099288990204745e-08
143,2.020818040122737e-08,0,2.020818040122737e-08
144,2.0323551900796246e-08,0,2.0323551900796246e-08
145,2.042486554955756e-08,0,2.042486554955756e-08
146,2.05360168716112e-08,0,2.05360168716112e-08
147,2.0699367226036893e-08,0,2.0699367226036893e-08
148,2.087295288559756e-08,0,2.087295288559756e-08
149,2.1086322061420557e-08,0,2.1086322061420557e-08
150,2.1271418847089523e-08,0,2.1271418847089523e-08
151,2.1483034357943367e-08,0,2.1483034357943367e-08
152,2.169577840858361e-08,0,2.169577840858361e-08
153,2.1925188531386027e-08,0,2.1925188531386027e-08
154,2.2100559420584415e-08,0,2.2100559420584415e-08
155,2.2284794452832097e-08,0,2.2284794452832097e-08
156,2.2428268460542574e-08,0,2.2428268460542574e-08
157,2.2608010801030488e-08,0,2.2608010801030488e-08
158,2.2760287015815054e-08,0,2.2760287015815054e-08
159,2.2890153473208536e-08,0,2.2890153473208536e-08
160,2.3005802496867843e-08,0,2.3005802496867843e-08
161,2.3148224664783348e-08,0,2.3148224664783348e-08
162,2.325460466207053e-08,0,2.325460466207053e-08
163,2.3408382976640936e-08,0,2.3408382976640936e-08
164,2.353719179811743e-08,0,2.353719179811743e-08
165,2.374424562950107e-08,0,2.374424562950107e-08
166,2.4024023939250243e-08,0,2.4024023939250243e-08
167,2.434847403536742e-08,0,2.434847403536742e-08
168,2.465989019561647e-08,0,2.465989019561647e-08
169,2.496816070185263e-08,0,2.496816070185263e-08
170,2.5219321516911672e-08,0,2.5219321516911672e-08
171,2.552284106817988e-08,0,2.552284106817988e-08
172,2.5743631109164525e-08,0,2.5743631109164525e-08
173,2.597542740025333e-08,0,2.597542740025333e-08
174,2.6145992272012133e-08,0,2.6145992272012133e-08
175,2.6368090581960525e-08,0,2.6368090581960525e-08
176,2.6603873714683335e-08,0,2.6603873714683335e-08
177,2.682844756934308e-08,0,2.682844756934308e-08
178,2.701167131367241e-08,0,2.701167131367241e-08
179,2.724845201406313e-08,0,2.724845201406313e-08
180,2.7476868035511174e-08,0,2.7476868035511174e-08
181,2.779418801133522e-08,0,2.779418801133522e-08
182,2.8053809785145547e-08,0,2.8053809785145547e-08
183,2.840407068332887e-08,0,2.840407068332887e-08
184,2.8797632476551486e-08,0,2.8797632476551486e-08
185,2.92600601889521e-08,0,2.92600601889521e-08
186,2.96750273941103e-08,0,2.96750273941103e-08
187,3.011584488376756e-08,0,3.011584488376756e-08
188,3.053718140304173e-08,0,3.053718140304173e-08
189,3.1006530324468024e-08,0,3.1006530324468024e-08
190,3.1387522026180726e-08,0,3.1387522026180726e-08
191,3.183626111936917e-08,0,3.183626111936917e-08
192,3.221672842383523e-08,0,3.221672842383523e-08
193,3.257716046714069e-08,0,3.257716046714069e-08
194,3.280954977266033e-08,0,3.280954977266033e-08
195,3.295403306702488e-08,0,3.295403306702488e-08
196,3.3054119844342805e-08,0,3.3054119844342805e-08
197,3.318142279171104e-08,0,3.318142279171104e-08
198,3.32161604802866e-08,0,3.32161604802866e-08
199,3.324567778008827e-08,0,3.324567778008827e-08
200,3.328263870117542e-08,0,3.328263870117542e-08
201,3.341694849120179e-08,0,3.341694849120179e-08
202,3.357221500077088e-08,0,3.357221500077088e-08
203,3.3765366642066666e-08,0,3.3765366642066666e-08
204,3.395258317586434e-08,0,3.395258317586434e-08
205,3.429878983965024e-08,0,3.429878983965024e-08
206,3.470853378308597e-08,0,3.470853378308597e-08
207,3.5204829808964817e-08,0,3.5204829808964817e-08
208,3.5731714551178997e-08,0,3.5731714551178997e-08
209,3.634233972047696e-08,0,3.634233972047696e-08
210,3.6993078970953594e-08,0,3.6993078970953594e-08
211,3.7750184525082106e-08,0,3.7750184525082106e-08
212,3.846243316608869e-08,0,3.846243316608869e-08
213,3.9304378830543334e-08,0,3.9304378830543334e-08
214,4.0089151735365227e-08,0,4.0089151735365227e-08
215,4.084741426056816e-08,0,4.084741426056816e-08
216,4.156937169746383e-08,0,4.156937169746383e-08
217,4.2374935557577645e-08,0,4.2374935557577645e-08
218,4.3246602634850376e-08,0,4.3246602634850376e-08
219,4.427258224115281e-08,0,4.427258224115281e-08
220,4.521390390898017e-08,0,4.521390390898017e-08
221,4.6334657002312053e-08,0,4.6334657002312053e-08
222,4.751453430451583e-08,0,4.751453430451583e-08
223,4.876850456700068e-08,0,4.876850456700068e-08
