Temperature: 20 C
Humidity: 34 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,8.399519011582126e-11,0,8.399519011582126e-11
27,8.700547554558083e-11,0,8.700547554558083e-11
28,8.878477707992553e-11,0,8.878477707992553e-11
29,8.973225260437025e-11,0,8.973225260437025e-11
30,9.052092066494273e-11,0,9.052092066494273e-11
31,9.08473021107252e-11,0,9.08473021107252e-11
32,9.06378766562467e-11,0,9.06378766562467e-11
33,8.994432566820284e-11,0,8.994432566820284e-11
34,8.920494060415481e-11,0,8.920494060415481e-11
35,8.870994248438037e-11,0,8.870994248438037e-11
36,8.836271173723566e-11,0,8.836271173723566e-11
37,8.830316241739191e-11,0,8.830316241739191e-11
38,8.866748633327295e-11,0,8.866748633327295e-11
39,8.935158416733938e-11,0,8.935158416733938e-11
40,9.012918742479056e-11,0,9.012918742479056e-11
41,9.089259832575981e-11,0,9.089259832575981e-11
42,9.159627722720908e-11,0,9.159627722720908e-11
43,9.225474409336926e-11,0,9.225474409336926e-11
44,9.285022794155916e-11,0,9.285022794155916e-11
45,9.369324867476523e-11,0,9.369324867476523e-11
46,9.462347178084425e-11,0,9.462347178084425e-11
47,9.559147412092294e-11,0,9.559147412092294e-11
48,9.666166858725812e-11,0,9.666166858725812e-11
49,9.783188533592494e-11,0,9.783188533592494e-11
50,9.91465962232441e-11,0,9.91465962232441e-11
51,1.0048780093802472e-10,0,1.0048780093802472e-10
52,1.0143914003919407e-10,0,1.0143914003919407e-10
53,1.025624142924188e-10,0,1.025624142924188e-10
54,1.0392631780818837e-10,0,1.0392631780818837e-10
55,1.053930298047305e-10,0,1.053930298047305e-10
56,1.0671698038240633e-10,0,1.0671698038240633e-10
57,1.0799209155217474e-10,0,1.0799209155217474e-10
58,1.0926228237950517e-10,0,1.0926228237950517e-10
59,1.1065864978700531e-10,0,1.1065864978700531e-10
60,1.1176688339865218e-10,0,1.1176688339865218e-10
61,1.1286713002752273e-10,0,1.1286713002752273e-10
62,1.1409490086770103e-10,0,1.1409490086770103e-10
63,1.1547033774242135e-10,0,1.1547033774242135e-10
64,1.1677103478222923e-10,0,1.1677103478222923e-10
65,1.1827868681476436e-10,0,1.1827868681476436e-10
66,1.1982527417836755e-10,0,1.1982527417836755e-10
67,1.2130175185842105e-10,0,1.2130175185842105e-10
68,1.2256231959105104e-10,0,1.2256231959105104e-10
69,1.2364306481913947e-10,0,1.2364306481913947e-10
70,1.2466871538652145e-10,0,1.2466871538652145e-10
71,1.2561457445739028e-10,0,1.2561457445739028e-10
72,1.263496211598377e-10,0,1.263496211598377e-10
73,1.272984490677657e-10,0,1.272984490677657e-10
74,1.2872050971957437e-10,0,1.2872050971957437e-10
75,1.3027483586566735e-10,0,1.3027483586566735e-10
76,1.3191251114918892e-10,0,1.3191251114918892e-10
77,1.336725909649021e-10,0,1.336725909649021e-10
78,1.3578583324679313e-10,0,1.3578583324679313e-10
79,1.3791310048849203e-10,0,1.3791310048849203e-10
80,1.3975293797065045e-10,0,1.3975293797065045e-10
81,1.4137341106879859e-10,0,1.4137341106879859e-10
82,1.429172365167291e-10,0,1.429172365167291e-10
83,1.442490395876083e-10,0,1.442490395876083e-10
84,1.453760123655407e-10,0,1.453760123655407e-10
85,1.4640405071004308e-10,0,1.4640405071004308e-10
86,1.4758415268833968e-10,0,1.4758415268833968e-10
87,1.4877082675282997e-10,0,1.4877082675282997e-10
88,1.497028354705218e-10,0,1.497028354705218e-10
89,1.5092874911246302e-10,0,1.5092874911246302e-10
90,1.5248246696694523e-10,0,1.5248246696694523e-10
91,1.542773036971362e-10,0,1.542773036971362e-10
92,1.558449581425916e-10,0,1.558449581425916e-10
93,1.5733661263831267e-10,0,1.5733661263831267e-10
94,1.5905964925454458e-10,0,1.5905964925454458e-10
95,1.609980025728282e-10,0,1.609980025728282e-10
96,1.625311268260497e-10,0,1.625311268260497e-10
97,1.6415921779055221e-10,0,1.6415921779055221e-10
98,1.6607034633297226e-10,0,1.6607034633297226e-10
99,1.6835308714470798e-10,0,1.6835308714470798e-10
100,1.7052372874825223e-10,0,1.7052372874825223e-10
101,1.7239723812012957e-10,0,1.7239723812012957e-10
102,1.7430587567198956e-10,0,1.7430587567198956e-10
103,1.7645753389039344e-10,0,1.7645753389039344e-10
104,1.7843188896021026e-10,0,1.7843188896021026e-10
105,1.8006261203280268e-10,0,1.8006261203280268e-10
106,1.816499915850792e-10,0,1.816499915850792e-10
107,1.8378653834308458e-10,0,1.8378653834308458e-10
108,1.8615535184976548e-10,0,1.8615535184976548e-10
109,1.8847356044753677e-10,0,1.8847356044753677e-10
110,1.9067110418396116e-10,0,1.9067110418396116e-10
111,1.9319821643928305e-10,0,1.9319821643928305e-10
112,1.955869499780554e-10,0,1.955869499780554e-10
113,1.9786786814897166e-10,0,1.9786786814897166e-10
114,1.999113798399891e-10,0,1.999113798399891e-10
115,2.024097827402143e-10,0,2.024097827402143e-10
116,2.0509833166128147e-10,0,2.0509833166128147e-10
117,2.0791525371412222e-10,0,2.0791525371412222e-10
118,2.1097692708392882e-10,0,2.1097692708392882e-10
119,2.1420406733392966e-10,0,2.1420406733392966e-10
120,2.176473059961498e-10,0,2.176473059961498e-10
121,2.2078391888483622e-10,0,2.2078391888483622e-10
122,2.234214718129132e-10,0,2.234214718129132e-10
123,2.2595652500635569e-10,0,2.2595652500635569e-10
124,2.2835931745330342e-10,0,2.2835931745330342e-10
125,2.3039067904738766e-10,0,2.3039067904738766e-10
126,2.3316962087132605e-10,0,2.3316962087132605e-10
127,2.3654759305442794e-10,0,2.3654759305442794e-10
128,2.405511658719905e-10,0,2.405511658719905e-10
129,2.4560911710557044e-10,0,2.4560911710557044e-10
130,2.5125407015266815e-10,0,2.5125407015266815e-10
131,2.57392503404272e-10,0,2.57392503404272e-10
132,2.635975399496199e-10,0,2.635975399496199e-10
133,2.6943455947945215e-10,0,2.6943455947945215e-10
134,2.747152873856825e-10,0,2.747152873856825e-10
135,2.7976326976080006e-10,0,2.7976326976080006e-10
136,2.837489513193973e-10,0,2.837489513193973e-10
137,2.870170369858054e-10,0,2.870170369858054e-10
138,2.899806140385324e-10,0,2.899806140385324e-10
139,2.933526801646123e-10,0,2.933526801646123e-10
140,2.968741111363167e-10,0,2.968741111363167e-10
141,3.005473498559967e-10,0,3.005473498559967e-10
142,3.04780273578485e-10,0,3.04780273578485e-10
143,3.104468291480822e-10,0,3.104468291480822e-10
144,3.1771311382045994e-10,0,3.1771311382045994e-10
145,3.2630176498091054e-10,0,3.2630176498091054e-10
146,3.3517999598989795e-10,0,3.3517999598989795e-10
147,3.4489607761263757e-10,0,3.4489607761263757e-10
148,3.5508089103769256e-10,0,3.5508089103769256e-10
149,3.6502580739993743e-10,0,3.6502580739993743e-10
150,3.7373694598681017e-10,0,3.7373694598681017e-10
151,3.827643826031427e-10,0,3.827643826031427e-10
152,3.9273190462620463e-10,0,3.9273190462620463e-10
153,4.032732389729847e-10,0,4.032732389729847e-10
154,4.1406659789546765e-10,0,4.1406659789546765e-10
155,4.2464406142781376e-10,0,4.2464406142781376e-10
156,4.358993054878104e-10,0,4.358993054878104e-10
157,4.491036772014055e-10,0,4.491036772014055e-10
158,4.620835789447872e-10,0,4.620835789447872e-10
159,4.734715873133986e-10,0,4.734715873133986e-10
160,4.85626284708718e-10,0,4.85626284708718e-10
161,4.9892168355322e-10,0,4.9892168355322e-10
162,5.156608934833692e-10,0,5.156608934833692e-10
163,5.340969830956482e-10,0,5.340969830956482e-10
164,5.519254455011574e-10,0,5.519254455011574e-10
165,5.712590278553039e-10,0,5.712590278553039e-10
166,5.940705769280789e-10,0,5.940705769280789e-10
167,6.171408475367456e-10,0,6.171408475367456e-10
168,6.401855766945536e-10,0,6.401855766945536e-10
169,6.625031888555139e-10,0,6.625031888555139e-10
170,6.882521454232362e-10,0,6.882521454232362e-10
171,7.182293704678715e-10,0,7.182293704678715e-10
172,7.494497307900044e-10,0,7.494497307900044e-10
173,7.813423045024995e-10,0,7.813423045024995e-10
174,8.155764767616898e-10,0,8.155764767616898e-10
175,8.530453094478571e-10,0,8.530453094478571e-10
176,8.948569518448266e-10,0,8.948569518448266e-10
177,9.384624014743318e-10,0,9.384624014743318e-10
178,9.866920590596279e-10,0,9.866920590596279e-10
179,1.0445758282288485e-09,0,1.0445758282288485e-09
180,1.1137806274839459e-09,0,1.1137806274839459e-09
181,1.1953907201356856e-09,0,1.1953907201356856e-09
182,1.2916590184013194e-09,0,1.2916590184013194e-09
183,1.4002971574592525e-09,0,1.4002971574592525e-09
184,1.5239041411349312e-09,0,1.5239041411349312e-09
185,1.6629404359847697e-09,0,1.6629404359847697e-09
186,1.8209809590999179e-09,0,1.8209809590999179e-09
187,2.007348579925938e-09,0,2.007348579925938e-09
188,2.2370277105509176e-09,0,2.2370277105509176e-09
189,2.516858959407399e-09,0,2.516858959407399e-09
190,2.868469157704786e-09,0,2.868469157704786e-09
191,3.318353590414716e-09,0,3.318353590414716e-09
192,3.916140949517493e-09,0,3.916140949517493e-09
193,4.707574514825809e-09,0,4.707574514825809e-09
194,5.797933623807811e-09,0,5.797933623807811e-09
195,7.2573145613977385e-09,0,7.2573145613977385e-09
196,9.386685025876475e-09,0,9.386685025876475e-09
197,1.2690323980505727e-08,0,1.2690323980505727e-08
198,1.8191784283336672e-08,0,1.8191784283336672e-08
199,2.7280332957375754e-08,0,2.7280332957375754e-08
200,4.546584634210886e-08,0,4.546584634210886e-08
201,7.742542370819997e-08,0,7.742542370819997e-08
202,1.318506813491627e-07,0,1.318506813491627e-07
203,2.2453351030738073e-07,0,2.2453351030738073e-07
