Temperature: -10 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,1.2803969394705442e-11,0,1.2803969394705442e-11
27,1.2997737437726728e-11,0,1.2997737437726728e-11
28,1.3183084982641854e-11,0,1.3183084982641854e-11
29,1.3322394527592365e-11,0,1.3322394527592365e-11
30,1.3463146633593107e-11,0,1.3463146633593107e-11
31,1.3612856918787496e-11,0,1.3612856918787496e-11
32,1.3681693898301887e-11,0,1.3681693898301887e-11
33,1.373603066931565e-11,0,1.373603066931565e-11
34,1.3800762069749687e-11,0,1.3800762069749687e-11
35,1.3876276633221699e-11,0,1.3876276633221699e-11
36,1.4009522718752854e-11,0,1.4009522718752854e-11
37,1.4215977195942238e-11,0,1.4215977195942238e-11
38,1.4391998630416153e-11,0,1.4391998630416153e-11
39,1.4595337238788273e-11,0,1.4595337238788273e-11
40,1.483408740906368e-11,0,1.483408740906368e-11
41,1.5119179960671e-11,0,1.5119179960671e-11
42,1.5434100749332445e-11,0,1.5434100749332445e-11
43,1.573397221512799e-11,0,1.573397221512799e-11
44,1.5976536203404575e-11,0,1.5976536203404575e-11
45,1.623577636444081e-11,0,1.623577636444081e-11
46,1.6493101147441283e-11,0,1.6493101147441283e-11
47,1.672381158834398e-11,0,1.672381158834398e-11
48,1.68887024002099e-11,0,1.68887024002099e-11
49,1.7025059497054532e-11,0,1.7025059497054532e-11
50,1.717062223774029e-11,0,1.717062223774029e-11
51,1.734498342488168e-11,0,1.734498342488168e-11
52,1.7516960387357563e-11,0,1.7516960387357563e-11
53,1.7702650364658006e-11,0,1.7702650364658006e-11
54,1.7914210372942043e-11,0,1.7914210372942043e-11
55,1.814056376351888e-11,0,1.814056376351888e-11
56,1.8365259866320576e-11,0,1.8365259866320576e-11
57,1.85820860622087e-11,0,1.85820860622087e-11
58,1.8822374736915685e-11,0,1.8822374736915685e-11
59,1.9103236347167452e-11,0,1.9103236347167452e-11
60,1.9380584332411583e-11,0,1.9380584332411583e-11
61,1.9677810944625063e-11,0,1.9677810944625063e-11
62,1.996582437897589e-11,0,1.996582437897589e-11
63,2.026877702920243e-11,0,2.026877702920243e-11
64,2.053691879888576e-11,0,2.053691879888576e-11
65,2.075794936513361e-11,0,2.075794936513361e-11
66,2.0948396226222e-11,0,2.0948396226222e-11
67,2.1147740715814935e-11,0,2.1147740715814935e-11
68,2.1337124671396277e-11,0,2.1337124671396277e-11
69,2.1604355789047856e-11,0,2.1604355789047856e-11
70,2.1937517341203025e-11,0,2.1937517341203025e-11
71,2.2326109834513842e-11,0,2.2326109834513842e-11
72,2.2727124688022712e-11,0,2.2727124688022712e-11
73,2.31277739997171e-11,0,2.31277739997171e-11
74,2.3486181679154128e-11,0,2.3486181679154128e-11
75,2.3802374975853288e-11,0,2.3802374975853288e-11
76,2.405918430376085e-11,0,2.405918430376085e-11
77,2.42906378463893e-11,0,2.42906378463893e-11
78,2.4512311655552718e-11,0,2.4512311655552718e-11
79,2.4746385389429468e-11,0,2.4746385389429468e-11
80,2.497161510417421e-11,0,2.497161510417421e-11
81,2.524541876358952e-11,0,2.524541876358952e-11
82,2.5559465372557148e-11,0,2.5559465372557148e-11
83,2.590874797046484e-11,0,2.590874797046484e-11
84,2.625311675868701e-11,0,2.625311675868701e-11
85,2.6616495401654552e-11,0,2.6616495401654552e-11
86,2.70175145093691e-11,0,2.70175145093691e-11
87,2.7450302480953426e-11,0,2.7450302480953426e-11
88,2.791011851253981e-11,0,2.791011851253981e-11
89,2.8368415746886266e-11,0,2.8368415746886266e-11
90,2.8785525100618463e-11,0,2.8785525100618463e-11
91,2.9235911166401196e-11,0,2.9235911166401196e-11
92,2.964213787666486e-11,0,2.964213787666486e-11
93,3.0028545323545614e-11,0,3.0028545323545614e-11
94,3.046116637008031e-11,0,3.046116637008031e-11
95,3.0890589938237985e-11,0,3.0890589938237985e-11
96,3.130811837200902e-11,0,3.130811837200902e-11
97,3.181599374190415e-11,0,3.181599374190415e-11
98,3.231769828196878e-11,0,3.231769828196878e-11
99,3.284534062741087e-11,0,3.284534062741087e-11
100,3.3379325325502935e-11,0,3.3379325325502935e-11
101,3.391096859849743e-11,0,3.391096859849743e-11
102,3.447612933587834e-11,0,3.447612933587834e-11
103,3.5124059632280466e-11,0,3.5124059632280466e-11
104,3.5749373280199464e-11,0,3.5749373280199464e-11
105,3.642707126363176e-11,0,3.642707126363176e-11
106,3.726257387359068e-11,0,3.726257387359068e-11
107,3.821915779908912e-11,0,3.821915779908912e-11
108,3.917319260662396e-11,0,3.917319260662396e-11
109,4.012882996353408e-11,0,4.012882996353408e-11
110,4.108918901357538e-11,0,4.108918901357538e-11
111,4.201528984456033e-11,0,4.201528984456033e-11
112,4.2942833911828554e-11,0,4.2942833911828554e-11
113,4.3839802736337605e-11,0,4.3839802736337605e-11
114,4.469981729247858e-11,0,4.469981729247858e-11
115,4.558581136233088e-11,0,4.558581136233088e-11
116,4.6521943784708186e-11,0,4.6521943784708186e-11
117,4.757435757210006e-11,0,4.757435757210006e-11
118,4.8728736278643353e-11,0,4.8728736278643353e-11
119,4.987157550980468e-11,0,4.987157550980468e-11
120,5.1067788251899225e-11,0,5.1067788251899225e-11
121,5.2400630153571344e-11,0,5.2400630153571344e-11
122,5.3997566910627586e-11,0,5.3997566910627586e-11
123,5.594161802287e-11,0,5.594161802287e-11
124,5.821739859880532e-11,0,5.821739859880532e-11
125,6.091620206505804e-11,0,6.091620206505804e-11
126,6.414055609941344e-11,0,6.414055609941344e-11
127,6.756212970095876e-11,0,6.756212970095876e-11
128,7.106862198567445e-11,0,7.106862198567445e-11
129,7.495155628353268e-11,0,7.495155628353268e-11
130,7.898244172456826e-11,0,7.898244172456826e-11
131,8.341490655216114e-11,0,8.341490655216114e-11
132,8.835960719792034e-11,0,8.835960719792034e-11
133,9.38033856101939e-11,0,9.38033856101939e-11
134,1.0008897416726275e-10,0,1.0008897416726275e-10
135,1.0719399099695304e-10,0,1.0719399099695304e-10
136,1.1464893924202577e-10,0,1.1464893924202577e-10
137,1.234344499591586e-10,0,1.234344499591586e-10
138,1.3360392169598345e-10,0,1.3360392169598345e-10
139,1.4580761708527157e-10,0,1.4580761708527157e-10
140,1.598453716109239e-10,0,1.598453716109239e-10
141,1.7764879397451065e-10,0,1.7764879397451065e-10
142,2.0072251605771698e-10,0,2.0072251605771698e-10
143,2.29857047918689e-10,0,2.29857047918689e-10
144,2.652302685513492e-10,0,2.652302685513492e-10
145,3.119892796239741e-10,0,3.119892796239741e-10
146,3.7342603196467195e-10,0,3.7342603196467195e-10
147,4.5642905582526246e-10,0,4.5642905582526246e-10
148,5.660394728466682e-10,0,5.660394728466682e-10
149,7.336179222020457e-10,0,7.336179222020457e-10
150,1.0174499300542758e-09,0,1.0174499300542758e-09
151,1.3866894694682461e-09,0,1.3866894694682461e-09
152,1.8154351965923784e-09,0,1.8154351965923784e-09
153,2.2375189970435234e-09,0,2.2375189970435234e-09
154,2.6110763579096753e-09,0,2.6110763579096753e-09
155,2.789210557248008e-09,0,2.789210557248008e-09
156,2.5917738693749593e-09,0,2.5917738693749593e-09
157,2.003952910854534e-09,0,2.003952910854534e-09
158,1.522860432554235e-09,0,1.522860432554235e-09
159,1.1627055401245757e-09,0,1.1627055401245757e-09
160,9.184522117540389e-10,0,9.184522117540389e-10
161,7.499370248818606e-10,0,7.499370248818606e-10
162,6.884667897460979e-10,0,6.884667897460979e-10
163,6.98678504362414e-10,0,6.98678504362414e-10
164,8.154403768574156e-10,0,8.154403768574156e-10
165,9.682801186014392e-10,0,9.682801186014392e-10
166,1.2168967059862347e-09,0,1.2168967059862347e-09
167,1.571442878800633e-09,0,1.571442878800633e-09
168,2.0292870456345498e-09,0,2.0292870456345498e-09
169,2.6205311131189627e-09,0,2.6205311131189627e-09
