Temperature: 110 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,1.7090272413455724e-08,0,1.7090272413455724e-08
27,1.7504463469321737e-08,0,1.7504463469321737e-08
28,1.776893692026346e-08,0,1.776893692026346e-08
29,1.8007921970021353e-08,0,1.8007921970021353e-08
30,1.8264133119153865e-08,0,1.8264133119153865e-08
31,1.852504719691496e-08,0,1.852504719691496e-08
32,1.8693920104321107e-08,0,1.8693920104321107e-08
33,1.8866134495755256e-08,0,1.8866134495755256e-08
34,1.9024367485746485e-08,0,1.9024367485746485e-08
35,1.9153894018808056e-08,0,1.9153894018808056e-08
36,1.9257071561405365e-08,0,1.9257071561405365e-08
37,1.932728983605483e-08,0,1.932728983605483e-08
38,1.9396784471854853e-08,0,1.9396784471854853e-08
39,1.9481346413811338e-08,0,1.9481346413811338e-08
40,1.955208193054806e-08,0,1.955208193054806e-08
41,1.9644566722803742e-08,0,1.9644566722803742e-08
42,1.9753401863085277e-08,0,1.9753401863085277e-08
43,1.9869929022448735e-08,0,1.9869929022448735e-08
44,1.9977183017867508e-08,0,1.9977183017867508e-08
45,2.0100304152019225e-08,0,2.0100304152019225e-08
46,2.0216702288210513e-08,0,2.0216702288210513e-08
47,2.0325024705158836e-08,0,2.0325024705158836e-08
48,2.0403953133806645e-08,0,2.0403953133806645e-08
49,2.0486989175290378e-08,0,2.0486989175290378e-08
50,2.0592870501018032e-08,0,2.0592870501018032e-08
51,2.071434976414726e-08,0,2.071434976414726e-08
52,2.0827693873127648e-08,0,2.0827693873127648e-08
53,2.0978732779983906e-08,0,2.0978732779983906e-08
54,2.115619424249581e-08,0,2.115619424249581e-08
55,2.1343989965604354e-08,0,2.1343989965604354e-08
56,2.150956304300867e-08,0,2.150956304300867e-08
57,2.1664404962198595e-08,0,2.1664404962198595e-08
58,2.1825225533558717e-08,0,2.1825225533558717e-08
59,2.1981953659773004e-08,0,2.1981953659773004e-08
60,2.2095488515236057e-08,0,2.2095488515236057e-08
61,2.220412377101898e-08,0,2.220412377101898e-08
62,2.2320227457455215e-08,0,2.2320227457455215e-08
63,2.2450762631810624e-08,0,2.2450762631810624e-08
64,2.2576731099011026e-08,0,2.2576731099011026e-08
65,2.2694259850704724e-08,0,2.2694259850704724e-08
66,2.281533112167506e-08,0,2.281533112167506e-08
67,2.2933447276303843e-08,0,2.2933447276303843e-08
68,2.302452733426095e-08,0,2.302452733426095e-08
69,2.3123838368846992e-08,0,2.3123838368846992e-08
70,2.323105002593731e-08,0,2.323105002593731e-08
71,2.3334377300260504e-08,0,2.3334377300260504e-08
72,2.3433661115681074e-08,0,2.3433661115681074e-08
73,2.3574227868791426e-08,0,2.3574227868791426e-08
74,2.3751728952325415e-08,0,2.3751728952325415e-08
75,2.394402298138092e-08,0,2.394402298138092e-08
76,2.4125579853078683e-08,0,2.4125579853078683e-08
77,2.432287670626237e-08,0,2.432287670626237e-08
78,2.455834999314954e-08,0,2.455834999314954e-08
79,2.4781079238427126e-08,0,2.4781079238427126e-08
80,2.4956019255039263e-08,0,2.4956019255039263e-08
81,2.5107123725092642e-08,0,2.5107123725092642e-08
82,2.525279293819007e-08,0,2.525279293819007e-08
83,2.5400701717684132e-08,0,2.5400701717684132e-08
84,2.5505584729712607e-08,0,2.5505584729712607e-08
85,2.5551833315631716e-08,0,2.5551833315631716e-08
86,2.5617284784915817e-08,0,2.5617284784915817e-08
87,2.569466548167807e-08,0,2.569466548167807e-08
88,2.576899768841575e-08,0,2.576899768841575e-08
89,2.5855323293410912e-08,0,2.5855323293410912e-08
90,2.5930518853486737e-08,0,2.5930518853486737e-08
91,2.6001878835935698e-08,0,2.6001878835935698e-08
92,2.6074494439343074e-08,0,2.6074494439343074e-08
93,2.6127970361299175e-08,0,2.6127970361299175e-08
94,2.6189548634376203e-08,0,2.6189548634376203e-08
95,2.62611601162151e-08,0,2.62611601162151e-08
96,2.632227195837134e-08,0,2.632227195837134e-08
97,2.642538899184336e-08,0,2.642538899184336e-08
98,2.656018235160454e-08,0,2.656018235160454e-08
99,2.6709061639746053e-08,0,2.6709061639746053e-08
100,2.6860073032382014e-08,0,2.6860073032382014e-08
101,2.7021638133894918e-08,0,2.7021638133894918e-08
102,2.7195220725410005e-08,0,2.7195220725410005e-08
103,2.7365351008567116e-08,0,2.7365351008567116e-08
104,2.7487881726766828e-08,0,2.7487881726766828e-08
105,2.7574908985923654e-08,0,2.7574908985923654e-08
106,2.7643994606304067e-08,0,2.7643994606304067e-08
107,2.7737119128374143e-08,0,2.7737119128374143e-08
108,2.780172669664329e-08,0,2.780172669664329e-08
109,2.783685276968232e-08,0,2.783685276968232e-08
110,2.791664647800102e-08,0,2.791664647800102e-08
111,2.8052269731989053e-08,0,2.8052269731989053e-08
112,2.8221222874081763e-08,0,2.8221222874081763e-08
113,2.841283543632879e-08,0,2.841283543632879e-08
114,2.860141501920628e-08,0,2.860141501920628e-08
115,2.882309669703747e-08,0,2.882309669703747e-08
116,2.9054502522637594e-08,0,2.9054502522637594e-08
117,2.9283746869835965e-08,0,2.9283746869835965e-08
118,2.94755500205114e-08,0,2.94755500205114e-08
119,2.9666817881600565e-08,0,2.9666817881600565e-08
120,2.985303296603775e-08,0,2.985303296603775e-08
121,3.0021193894486446e-08,0,3.0021193894486446e-08
122,3.015581503643736e-08,0,3.015581503643736e-08
123,3.028980931511489e-08,0,3.028980931511489e-08
124,3.037750153931183e-08,0,3.037750153931183e-08
125,3.0491348780284154e-08,0,3.0491348780284154e-08
126,3.063598187368676e-08,0,3.063598187368676e-08
127,3.0804122168672346e-08,0,3.0804122168672346e-08
128,3.1018788540894236e-08,0,3.1018788540894236e-08
129,3.1294680630397164e-08,0,3.1294680630397164e-08
130,3.162895745192889e-08,0,3.162895745192889e-08
131,3.199342039968677e-08,0,3.199342039968677e-08
132,3.2330048892253715e-08,0,3.2330048892253715e-08
133,3.268693926915107e-08,0,3.268693926915107e-08
134,3.3028725176609995e-08,0,3.3028725176609995e-08
135,3.3344966164141864e-08,0,3.3344966164141864e-08
136,3.362404451290513e-08,0,3.362404451290513e-08
137,3.3868661291157323e-08,0,3.3868661291157323e-08
138,3.4135140479886085e-08,0,3.4135140479886085e-08
139,3.4440036149488564e-08,0,3.4440036149488564e-08
140,3.46908940237556e-08,0,3.46908940237556e-08
141,3.495156028376852e-08,0,3.495156028376852e-08
142,3.52283389398961e-08,0,3.52283389398961e-08
143,3.5501656931216196e-08,0,3.5501656931216196e-08
144,3.5753063094226406e-08,0,3.5753063094226406e-08
145,3.598091763331228e-08,0,3.598091763331228e-08
146,3.617497672330105e-08,0,3.617497672330105e-08
147,3.636385346181006e-08,0,3.636385346181006e-08
148,3.65275981716122e-08,0,3.65275981716122e-08
149,3.66624816803118e-08,0,3.66624816803118e-08
150,3.677835402571199e-08,0,3.677835402571199e-08
151,3.6887666246928744e-08,0,3.6887666246928744e-08
152,3.6992997737339e-08,0,3.6992997737339e-08
153,3.712866217881064e-08,0,3.712866217881064e-08
154,3.7260528292439575e-08,0,3.7260528292439575e-08
155,3.745910329011843e-08,0,3.745910329011843e-08
156,3.7677430372596306e-08,0,3.7677430372596306e-08
