Temperature: 20 C
Humidity: 2 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,4.682850488149416e-11,0,4.682850488149416e-11
27,5.1066891135084694e-11,0,5.1066891135084694e-11
28,5.523449506419122e-11,0,5.523449506419122e-11
29,6.030714998587117e-11,0,6.030714998587117e-11
30,6.547885465766764e-11,0,6.547885465766764e-11
31,7.031018519926166e-11,0,7.031018519926166e-11
32,7.430979552604098e-11,0,7.430979552604098e-11
33,7.852692249204496e-11,0,7.852692249204496e-11
34,8.292453636989646e-11,0,8.292453636989646e-11
35,8.770120525999341e-11,0,8.770120525999341e-11
36,9.172026192142499e-11,0,9.172026192142499e-11
37,9.553943039693547e-11,0,9.553943039693547e-11
38,9.910110368011151e-11,0,9.910110368011151e-11
39,1.0263789023895474e-10,0,1.0263789023895474e-10
40,1.0569966254032857e-10,0,1.0569966254032857e-10
41,1.0846598864245152e-10,0,1.0846598864245152e-10
42,1.113526296551021e-10,0,1.113526296551021e-10
43,1.1425385565728135e-10,0,1.1425385565728135e-10
44,1.165839985609893e-10,0,1.165839985609893e-10
45,1.187001988596613e-10,0,1.187001988596613e-10
46,1.2026550175026537e-10,0,1.2026550175026537e-10
47,1.2151556761011068e-10,0,1.2151556761011068e-10
48,1.2238051822546818e-10,0,1.2238051822546818e-10
49,1.232483778190728e-10,0,1.232483778190728e-10
50,1.2406053558393659e-10,0,1.2406053558393659e-10
51,1.249995844784531e-10,0,1.249995844784531e-10
52,1.259161521787336e-10,0,1.259161521787336e-10
53,1.2705297326410269e-10,0,1.2705297326410269e-10
54,1.2824172924903332e-10,0,1.2824172924903332e-10
55,1.2945013525633286e-10,0,1.2945013525633286e-10
56,1.30465786116504e-10,0,1.30465786116504e-10
57,1.314308045546461e-10,0,1.314308045546461e-10
58,1.3238348242393525e-10,0,1.3238348242393525e-10
59,1.335256113876878e-10,0,1.335256113876878e-10
60,1.3444858984845517e-10,0,1.3444858984845517e-10
61,1.3545139601866832e-10,0,1.3545139601866832e-10
62,1.3662599343914854e-10,0,1.3662599343914854e-10
63,1.3793975347822935e-10,0,1.3793975347822935e-10
64,1.392227270772029e-10,0,1.392227270772029e-10
65,1.4075975686199724e-10,0,1.4075975686199724e-10
66,1.4227469730018041e-10,0,1.4227469730018041e-10
67,1.4392567506888613e-10,0,1.4392567506888613e-10
68,1.454002761399726e-10,0,1.454002761399726e-10
69,1.4661864234641568e-10,0,1.4661864234641568e-10
70,1.4783650432792733e-10,0,1.4783650432792733e-10
71,1.4926232264320173e-10,0,1.4926232264320173e-10
72,1.5035844933561598e-10,0,1.5035844933561598e-10
73,1.514227189216229e-10,0,1.514227189216229e-10
74,1.5241919557772632e-10,0,1.5241919557772632e-10
75,1.534373911638257e-10,0,1.534373911638257e-10
76,1.5467316701413917e-10,0,1.5467316701413917e-10
77,1.5597026191657241e-10,0,1.5597026191657241e-10
78,1.5719018965048584e-10,0,1.5719018965048584e-10
79,1.5863305086503433e-10,0,1.5863305086503433e-10
80,1.6001253831815075e-10,0,1.6001253831815075e-10
81,1.6167183830330297e-10,0,1.6167183830330297e-10
82,1.6364130593162883e-10,0,1.6364130593162883e-10
83,1.6590012966555754e-10,0,1.6590012966555754e-10
84,1.6817351399218914e-10,0,1.6817351399218914e-10
85,1.7041704222448307e-10,0,1.7041704222448307e-10
86,1.726518248873696e-10,0,1.726518248873696e-10
87,1.749570172225615e-10,0,1.749570172225615e-10
88,1.7703427852488085e-10,0,1.7703427852488085e-10
89,1.7869303298304431e-10,0,1.7869303298304431e-10
90,1.7981526016816376e-10,0,1.7981526016816376e-10
91,1.8088772459577768e-10,0,1.8088772459577768e-10
92,1.818311771157879e-10,0,1.818311771157879e-10
93,1.8266319054584905e-10,0,1.8266319054584905e-10
94,1.837199597303567e-10,0,1.837199597303567e-10
95,1.8506425373526652e-10,0,1.8506425373526652e-10
96,1.869032854959719e-10,0,1.869032854959719e-10
97,1.894632348706932e-10,0,1.894632348706932e-10
98,1.9195747665341702e-10,0,1.9195747665341702e-10
99,1.9461570982568276e-10,0,1.9461570982568276e-10
100,1.9746072541184344e-10,0,1.9746072541184344e-10
101,2.0040937322114762e-10,0,2.0040937322114762e-10
102,2.0342974711787652e-10,0,2.0342974711787652e-10
103,2.069268655501208e-10,0,2.069268655501208e-10
104,2.1022542623896306e-10,0,2.1022542623896306e-10
105,2.134466958583749e-10,0,2.134466958583749e-10
106,2.1655463042869014e-10,0,2.1655463042869014e-10
107,2.19350606582619e-10,0,2.19350606582619e-10
108,2.2199345962269367e-10,0,2.2199345962269367e-10
109,2.2476684732664953e-10,0,2.2476684732664953e-10
110,2.2722883000563009e-10,0,2.2722883000563009e-10
111,2.2990046024512635e-10,0,2.2990046024512635e-10
112,2.331358299365042e-10,0,2.331358299365042e-10
113,2.371852829161557e-10,0,2.371852829161557e-10
114,2.422134127082024e-10,0,2.422134127082024e-10
115,2.472683036340443e-10,0,2.472683036340443e-10
116,2.5177544621472937e-10,0,2.5177544621472937e-10
117,2.5696837871859674e-10,0,2.5696837871859674e-10
118,2.623565472585951e-10,0,2.623565472585951e-10
119,2.677912385104638e-10,0,2.677912385104638e-10
120,2.7254795296098107e-10,0,2.7254795296098107e-10
121,2.7697039937340453e-10,0,2.7697039937340453e-10
122,2.8146522382680063e-10,0,2.8146522382680063e-10
123,2.865503901002275e-10,0,2.865503901002275e-10
124,2.908083246341296e-10,0,2.908083246341296e-10
125,2.94794014595766e-10,0,2.94794014595766e-10
126,2.9891308685299536e-10,0,2.9891308685299536e-10
127,3.038620797842826e-10,0,3.038620797842826e-10
128,3.0831766842867865e-10,0,3.0831766842867865e-10
129,3.1340241092968024e-10,0,3.1340241092968024e-10
130,3.1921034510138584e-10,0,3.1921034510138584e-10
131,3.250131267617264e-10,0,3.250131267617264e-10
