Temperature: 20 C
Humidity: 78 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,6.495755948632014e-10,0,6.495755948632014e-10
27,6.768850276575371e-10,0,6.768850276575371e-10
28,7.17151394889327e-10,0,7.17151394889327e-10
29,7.587860251611309e-10,0,7.587860251611309e-10
30,8.164240303576444e-10,0,8.164240303576444e-10
31,8.744947411367852e-10,0,8.744947411367852e-10
32,9.46220172954782e-10,0,9.46220172954782e-10
33,1.0341501222923519e-09,0,1.0341501222923519e-09
34,1.1302338154683845e-09,0,1.1302338154683845e-09
35,1.2086648943145829e-09,0,1.2086648943145829e-09
36,1.2876008812754556e-09,0,1.2876008812754556e-09
37,1.3461757199989488e-09,0,1.3461757199989488e-09
38,1.4157845277086979e-09,0,1.4157845277086979e-09
39,1.4814555630647545e-09,0,1.4814555630647545e-09
40,1.5306452024483713e-09,0,1.5306452024483713e-09
41,1.5656528493678137e-09,0,1.5656528493678137e-09
42,1.584509710602544e-09,0,1.584509710602544e-09
43,1.5963630824569466e-09,0,1.5963630824569466e-09
44,1.6228861270842271e-09,0,1.6228861270842271e-09
45,1.6327375250240556e-09,0,1.6327375250240556e-09
46,1.6317518500733127e-09,0,1.6317518500733127e-09
47,1.6305555032461752e-09,0,1.6305555032461752e-09
48,1.6301831671755942e-09,0,1.6301831671755942e-09
49,1.6455694767542511e-09,0,1.6455694767542511e-09
50,1.6724252283228791e-09,0,1.6724252283228791e-09
51,1.7136344720983788e-09,0,1.7136344720983788e-09
52,1.8038911468983515e-09,0,1.8038911468983515e-09
53,1.9381605754695276e-09,0,1.9381605754695276e-09
54,2.1369807290022113e-09,0,2.1369807290022113e-09
55,2.3684697904855487e-09,0,2.3684697904855487e-09
56,2.608497465032891e-09,0,2.608497465032891e-09
57,2.803253373827934e-09,0,2.803253373827934e-09
58,2.9495719016868557e-09,0,2.9495719016868557e-09
59,3.0208903647708753e-09,0,3.0208903647708753e-09
60,3.0378668924611998e-09,0,3.0378668924611998e-09
61,2.9773130502438e-09,0,2.9773130502438e-09
62,2.909169053238545e-09,0,2.909169053238545e-09
63,2.8598400475084943e-09,0,2.8598400475084943e-09
64,2.861649250690836e-09,0,2.861649250690836e-09
65,2.868223510418613e-09,0,2.868223510418613e-09
66,2.8719104295543042e-09,0,2.8719104295543042e-09
67,2.8717149354888546e-09,0,2.8717149354888546e-09
68,2.8610963172094633e-09,0,2.8610963172094633e-09
69,2.842815685275638e-09,0,2.842815685275638e-09
70,2.782707410399336e-09,0,2.782707410399336e-09
71,2.7100225711028884e-09,0,2.7100225711028884e-09
72,2.6428493669080263e-09,0,2.6428493669080263e-09
73,2.5669653914339087e-09,0,2.5669653914339087e-09
74,2.481729309459816e-09,0,2.481729309459816e-09
75,2.3987123985303683e-09,0,2.3987123985303683e-09
76,2.3185386919912077e-09,0,2.3185386919912077e-09
77,2.2731666666325785e-09,0,2.2731666666325785e-09
78,2.2275914421576754e-09,0,2.2275914421576754e-09
79,2.1751209233603627e-09,0,2.1751209233603627e-09
80,2.121578973628174e-09,0,2.121578973628174e-09
81,2.0763921560228687e-09,0,2.0763921560228687e-09
82,2.022462820356224e-09,0,2.022462820356224e-09
83,1.9593514853259135e-09,0,1.9593514853259135e-09
84,1.8959516717624213e-09,0,1.8959516717624213e-09
85,1.8336246236058633e-09,0,1.8336246236058633e-09
86,1.777034166330041e-09,0,1.777034166330041e-09
87,1.7260898863086053e-09,0,1.7260898863086053e-09
88,1.6675735541498588e-09,0,1.6675735541498588e-09
89,1.6248188143320618e-09,0,1.6248188143320618e-09
90,1.5893779664977086e-09,0,1.5893779664977086e-09
91,1.554583847615139e-09,0,1.554583847615139e-09
92,1.5318287912050562e-09,0,1.5318287912050562e-09
93,1.5462935845664312e-09,0,1.5462935845664312e-09
94,1.6049993228638585e-09,0,1.6049993228638585e-09
95,1.6849177772137997e-09,0,1.6849177772137997e-09
96,1.7826622542324593e-09,0,1.7826622542324593e-09
97,1.8936673692078077e-09,0,1.8936673692078077e-09
98,2.014148343732639e-09,0,2.014148343732639e-09
99,2.1395726317352014e-09,0,2.1395726317352014e-09
100,2.234155845123561e-09,0,2.234155845123561e-09
101,2.29524156299831e-09,0,2.29524156299831e-09
102,2.3540706688292427e-09,0,2.3540706688292427e-09
103,2.403046088032447e-09,0,2.403046088032447e-09
104,2.4751330913646067e-09,0,2.4751330913646067e-09
105,2.5493825734254474e-09,0,2.5493825734254474e-09
106,2.6285766744315592e-09,0,2.6285766744315592e-09
107,2.7075599838396024e-09,0,2.7075599838396024e-09
108,2.7968894489308555e-09,0,2.7968894489308555e-09
109,2.9103383455345986e-09,0,2.9103383455345986e-09
110,3.059114292703615e-09,0,3.059114292703615e-09
111,3.201763236010081e-09,0,3.201763236010081e-09
112,3.351137600868694e-09,0,3.351137600868694e-09
113,3.5038627091553103e-09,0,3.5038627091553103e-09
114,3.635203728938199e-09,0,3.635203728938199e-09
115,3.706304665722237e-09,0,3.706304665722237e-09
116,3.739988394211542e-09,0,3.739988394211542e-09
