Temperature: -20 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,5.816794532889778e-12,0,5.816794532889778e-12
27,6.131559590394067e-12,0,6.131559590394067e-12
28,6.352088303390116e-12,0,6.352088303390116e-12
29,6.5356176409681524e-12,0,6.5356176409681524e-12
30,6.7132365966858284e-12,0,6.7132365966858284e-12
31,6.819217025391661e-12,0,6.819217025391661e-12
32,6.928574366646852e-12,0,6.928574366646852e-12
33,7.100326260722336e-12,0,7.100326260722336e-12
34,7.350546958144242e-12,0,7.350546958144242e-12
35,7.599632962821895e-12,0,7.599632962821895e-12
36,7.844609044481866e-12,0,7.844609044481866e-12
37,8.148174725952327e-12,0,8.148174725952327e-12
38,8.555572369052182e-12,0,8.555572369052182e-12
39,9.014324056682398e-12,0,9.014324056682398e-12
40,9.491857042579439e-12,0,9.491857042579439e-12
41,9.936826247165457e-12,0,9.936826247165457e-12
42,1.0383324840186131e-11,0,1.0383324840186131e-11
43,1.0794870335956807e-11,0,1.0794870335956807e-11
44,1.1168518484413166e-11,0,1.1168518484413166e-11
45,1.148003465713398e-11,0,1.148003465713398e-11
46,1.1832077057465001e-11,0,1.1832077057465001e-11
47,1.2158710124404736e-11,0,1.2158710124404736e-11
48,1.2476922655806663e-11,0,1.2476922655806663e-11
49,1.2827693509301126e-11,0,1.2827693509301126e-11
50,1.325230934490592e-11,0,1.325230934490592e-11
51,1.3749671191941364e-11,0,1.3749671191941364e-11
52,1.4229719355770181e-11,0,1.4229719355770181e-11
53,1.4647415253379752e-11,0,1.4647415253379752e-11
54,1.506231518899493e-11,0,1.506231518899493e-11
55,1.5483152460832428e-11,0,1.5483152460832428e-11
56,1.590358998741285e-11,0,1.590358998741285e-11
57,1.6239948231770685e-11,0,1.6239948231770685e-11
58,1.6530048069930775e-11,0,1.6530048069930775e-11
59,1.6825958173295706e-11,0,1.6825958173295706e-11
60,1.715306057880095e-11,0,1.715306057880095e-11
61,1.7570085090203898e-11,0,1.7570085090203898e-11
62,1.8024379743692234e-11,0,1.8024379743692234e-11
63,1.8516221858600167e-11,0,1.8516221858600167e-11
64,1.9194188095282438e-11,0,1.9194188095282438e-11
65,1.9976086342442667e-11,0,1.9976086342442667e-11
66,2.0868598990361472e-11,0,2.0868598990361472e-11
67,2.188785914423097e-11,0,2.188785914423097e-11
68,2.2997266400996478e-11,0,2.2997266400996478e-11
69,2.4269417718391618e-11,0,2.4269417718391618e-11
70,2.563703734396601e-11,0,2.563703734396601e-11
71,2.6873081816459494e-11,0,2.6873081816459494e-11
72,2.811520346506417e-11,0,2.811520346506417e-11
73,2.9533698743581684e-11,0,2.9533698743581684e-11
74,3.117119365241931e-11,0,3.117119365241931e-11
75,3.2897312146364255e-11,0,3.2897312146364255e-11
76,3.4740979286558355e-11,0,3.4740979286558355e-11
77,3.676943088682048e-11,0,3.676943088682048e-11
78,3.91126805724621e-11,0,3.91126805724621e-11
79,4.185358963084836e-11,0,4.185358963084836e-11
80,4.4643804737127914e-11,0,4.4643804737127914e-11
81,4.7768858054222355e-11,0,4.7768858054222355e-11
82,5.111973574686894e-11,0,5.111973574686894e-11
83,5.519581699869507e-11,0,5.519581699869507e-11
84,6.029536491633993e-11,0,6.029536491633993e-11
85,6.672584622546403e-11,0,6.672584622546403e-11
86,7.423460849018518e-11,0,7.423460849018518e-11
87,8.382548664292412e-11,0,8.382548664292412e-11
88,9.551530683528172e-11,0,9.551530683528172e-11
89,1.1135923191918847e-10,0,1.1135923191918847e-10
90,1.4149919688402798e-10,0,1.4149919688402798e-10
91,1.915490349374621e-10,0,1.915490349374621e-10
92,2.845013924735076e-10,0,2.845013924735076e-10
93,4.5019375625466983e-10,0,4.5019375625466983e-10
94,7.819361838318543e-10,0,7.819361838318543e-10
95,1.3919124132862018e-09,0,1.3919124132862018e-09
96,2.6781299713842146e-09,0,2.6781299713842146e-09
97,5.1528961701641535e-09,0,5.1528961701641535e-09
98,9.914528992611037e-09,0,9.914528992611037e-09
