Temperature: 160 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,2.6211958383381143e-06,0,2.6211958383381143e-06
27,2.667943007765587e-06,0,2.667943007765587e-06
28,2.7085382075984192e-06,0,2.7085382075984192e-06
29,2.7271827727083907e-06,0,2.7271827727083907e-06
30,2.7400617683110792e-06,0,2.7400617683110792e-06
31,2.7622119510910622e-06,0,2.7622119510910622e-06
32,2.787973607297153e-06,0,2.787973607297153e-06
33,2.799507052195179e-06,0,2.799507052195179e-06
34,2.8061295647517987e-06,0,2.8061295647517987e-06
35,2.817431852784276e-06,0,2.817431852784276e-06
36,2.8442799484783425e-06,0,2.8442799484783425e-06
37,2.8753905572941436e-06,0,2.8753905572941436e-06
38,2.8936423686876197e-06,0,2.8936423686876197e-06
39,2.9115752395763312e-06,0,2.9115752395763312e-06
40,2.936169120419973e-06,0,2.936169120419973e-06
41,2.9646336585601046e-06,0,2.9646336585601046e-06
42,2.9884187722658773e-06,0,2.9884187722658773e-06
43,3.0242754072664273e-06,0,3.0242754072664273e-06
44,3.0666808888210882e-06,0,3.0666808888210882e-06
45,3.1105517355706167e-06,0,3.1105517355706167e-06
46,3.1596712265015075e-06,0,3.1596712265015075e-06
47,3.2085516326773515e-06,0,3.2085516326773515e-06
48,3.2638704335363417e-06,0,3.2638704335363417e-06
49,3.3246444338533463e-06,0,3.3246444338533463e-06
50,3.3766552997592235e-06,0,3.3766552997592235e-06
51,3.4248063547281017e-06,0,3.4248063547281017e-06
52,3.476914107052624e-06,0,3.476914107052624e-06
53,3.5181336366517693e-06,0,3.5181336366517693e-06
54,3.5497798186977893e-06,0,3.5497798186977893e-06
55,3.5710614007358414e-06,0,3.5710614007358414e-06
56,3.587606497899152e-06,0,3.587606497899152e-06
57,3.6245585794984774e-06,0,3.6245585794984774e-06
58,3.670525622354282e-06,0,3.670525622354282e-06
59,3.725156996999853e-06,0,3.725156996999853e-06
60,3.791933913192211e-06,0,3.791933913192211e-06
61,3.868329506067418e-06,0,3.868329506067418e-06
62,3.953059624108647e-06,0,3.953059624108647e-06
63,4.047352762667539e-06,0,4.047352762667539e-06
64,4.122045502104422e-06,0,4.122045502104422e-06
65,4.179751801405309e-06,0,4.179751801405309e-06
66,4.217766109196351e-06,0,4.217766109196351e-06
67,4.243094320194e-06,0,4.243094320194e-06
68,4.269071451085e-06,0,4.269071451085e-06
69,4.297037801091709e-06,0,4.297037801091709e-06
70,4.323753434055998e-06,0,4.323753434055998e-06
71,4.362296640496077e-06,0,4.362296640496077e-06
72,4.406608630962452e-06,0,4.406608630962452e-06
73,4.462062570201709e-06,0,4.462062570201709e-06
74,4.52853966108249e-06,0,4.52853966108249e-06
75,4.596986218386729e-06,0,4.596986218386729e-06
76,4.665719326780222e-06,0,4.665719326780222e-06
77,4.733406027361165e-06,0,4.733406027361165e-06
78,4.781524477619466e-06,0,4.781524477619466e-06
79,4.822496098005299e-06,0,4.822496098005299e-06
80,4.859249670266795e-06,0,4.859249670266795e-06
81,4.899160310582255e-06,0,4.899160310582255e-06
82,4.941753003000901e-06,0,4.941753003000901e-06
83,4.9869932829801745e-06,0,4.9869932829801745e-06
84,5.06040188692779e-06,0,5.06040188692779e-06
85,5.1540730987147255e-06,0,5.1540730987147255e-06
86,5.269603221755389e-06,0,5.269603221755389e-06
87,5.395003961077072e-06,0,5.395003961077072e-06
88,5.516576624478045e-06,0,5.516576624478045e-06
89,5.637867244517675e-06,0,5.637867244517675e-06
90,5.758137610713431e-06,0,5.758137610713431e-06
91,5.856269311371272e-06,0,5.856269311371272e-06
92,5.936826062200755e-06,0,5.936826062200755e-06
93,5.997579813064535e-06,0,5.997579813064535e-06
94,6.050778252963878e-06,0,6.050778252963878e-06
95,6.1019222693793e-06,0,6.1019222693793e-06
96,6.1659223972604274e-06,0,6.1659223972604274e-06
97,6.229095807889798e-06,0,6.229095807889798e-06
98,6.300756559002605e-06,0,6.300756559002605e-06
99,6.385429089006752e-06,0,6.385429089006752e-06
100,6.5006718027020915e-06,0,6.5006718027020915e-06
101,6.647254800821443e-06,0,6.647254800821443e-06
102,6.7888418623948975e-06,0,6.7888418623948975e-06
103,6.899992057890457e-06,0,6.899992057890457e-06
104,7.0020136003606245e-06,0,7.0020136003606245e-06
105,7.085451768389797e-06,0,7.085451768389797e-06
106,7.182719553623021e-06,0,7.182719553623021e-06
107,7.275728552039178e-06,0,7.275728552039178e-06
108,7.364190836442852e-06,0,7.364190836442852e-06
109,7.453728693650808e-06,0,7.453728693650808e-06
110,7.528443053661207e-06,0,7.528443053661207e-06
111,7.60389798344284e-06,0,7.60389798344284e-06
112,7.679417742559764e-06,0,7.679417742559764e-06
113,7.731015120497654e-06,0,7.731015120497654e-06
114,7.795351263366038e-06,0,7.795351263366038e-06
115,7.851037013634528e-06,0,7.851037013634528e-06
116,7.943711451292054e-06,0,7.943711451292054e-06
117,8.057262897878081e-06,0,8.057262897878081e-06
118,8.162976478247747e-06,0,8.162976478247747e-06
119,8.263868526782361e-06,0,8.263868526782361e-06
120,8.378932395376404e-06,0,8.378932395376404e-06
121,8.461963756876886e-06,0,8.461963756876886e-06
122,8.562639318630058e-06,0,8.562639318630058e-06
123,8.667861979096685e-06,0,8.667861979096685e-06
124,8.804796332634624e-06,0,8.804796332634624e-06
125,9.088112247951314e-06,0,9.088112247951314e-06
126,9.466150411741678e-06,0,9.466150411741678e-06
127,9.850856817960705e-06,0,9.850856817960705e-06
128,1.023691339724096e-05,0,1.023691339724096e-05
129,1.0551842599984519e-05,0,1.0551842599984519e-05
130,1.0822188875890494e-05,0,1.0822188875890494e-05
131,1.1098827937499968e-05,0,1.1098827937499968e-05
132,1.1244040307681671e-05,0,1.1244040307681671e-05
133,1.1348508654363425e-05,0,1.1348508654363425e-05
134,1.1465913595399024e-05,0,1.1465913595399024e-05
135,1.159117453285427e-05,0,1.159117453285427e-05
136,1.1807315935675813e-05,0,1.1807315935675813e-05
137,1.2045130248523336e-05,0,1.2045130248523336e-05
138,1.2298235250632857e-05,0,1.2298235250632857e-05
139,1.2594795384655974e-05,0,1.2594795384655974e-05
140,1.2833032558567195e-05,0,1.2833032558567195e-05
141,1.3040892985849669e-05,0,1.3040892985849669e-05
142,1.318599467324762e-05,0,1.318599467324762e-05
143,1.3280815250273739e-05,0,1.3280815250273739e-05
144,1.3360714894823179e-05,0,1.3360714894823179e-05
145,1.3392041618616639e-05,0,1.3392041618616639e-05
146,1.338065094228999e-05,0,1.338065094228999e-05
147,1.3387160813118495e-05,0,1.3387160813118495e-05
148,1.344146417828974e-05,0,1.344146417828974e-05
149,1.3585338652847477e-05,0,1.3585338652847477e-05
150,1.3758445093417666e-05,0,1.3758445093417666e-05
151,1.3933986764566052e-05,0,1.3933986764566052e-05
152,1.4119470826504752e-05,0,1.4119470826504752e-05
153,1.4310864657700577e-05,0,1.4310864657700577e-05
154,1.4494807242179948e-05,0,1.4494807242179948e-05
155,1.4688756617871131e-05,0,1.4688756617871131e-05
156,1.4884598403470396e-05,0,1.4884598403470396e-05
157,1.513588901488125e-05,0,1.513588901488125e-05
158,1.5516354723200437e-05,0,1.5516354723200437e-05
159,1.5957479893080955e-05,0,1.5957479893080955e-05
160,1.6424485409494257e-05,0,1.6424485409494257e-05
161,1.6934510209605932e-05,0,1.6934510209605932e-05
162,1.7476483527594002e-05,0,1.7476483527594002e-05
163,1.805599229644432e-05,0,1.805599229644432e-05
164,1.8583249032692635e-05,0,1.8583249032692635e-05
165,1.905421888684233e-05,0,1.905421888684233e-05
166,1.955051487553221e-05,0,1.955051487553221e-05
167,1.9994101377007553e-05,0,1.9994101377007553e-05
168,2.0507536363054176e-05,0,2.0507536363054176e-05
169,2.0996476282452344e-05,0,2.0996476282452344e-05
170,2.1455831652080986e-05,0,2.1455831652080986e-05
171,2.1929425778049655e-05,0,2.1929425778049655e-05
172,2.2458356114887935e-05,0,2.2458356114887935e-05
173,2.297967385857913e-05,0,2.297967385857913e-05
174,2.3578266042985016e-05,0,2.3578266042985016e-05
175,2.4083684380559395e-05,0,2.4083684380559395e-05
176,2.4684216009092174e-05,0,2.4684216009092174e-05
177,2.5491586540334565e-05,0,2.5491586540334565e-05
178,2.639424635268493e-05,0,2.639424635268493e-05
179,2.7350001803908525e-05,0,2.7350001803908525e-05
180,2.8327673173472465e-05,0,2.8327673173472465e-05
181,2.9745030671422163e-05,0,2.9745030671422163e-05
182,3.157486394595015e-05,0,3.157486394595015e-05
183,3.351891964562282e-05,0,3.351891964562282e-05
184,3.5402631871279005e-05,0,3.5402631871279005e-05
185,3.749004471434636e-05,0,3.749004471434636e-05
186,3.949020874984755e-05,0,3.949020874984755e-05
187,4.1914614356309036e-05,0,4.1914614356309036e-05
188,4.4062215862184924e-05,0,4.4062215862184924e-05
189,4.623119421455988e-05,0,4.623119421455988e-05
190,4.8932576472498506e-05,0,4.8932576472498506e-05
191,5.1630390162403645e-05,0,5.1630390162403645e-05
192,5.4549245712252806e-05,0,5.4549245712252806e-05
193,5.791304161139231e-05,0,5.791304161139231e-05
194,6.131014306788743e-05,0,6.131014306788743e-05
195,6.502820534851593e-05,0,6.502820534851593e-05
196,6.858465212573722e-05,0,6.858465212573722e-05
197,7.173246442980887e-05,0,7.173246442980887e-05
198,7.611758227953639e-05,0,7.611758227953639e-05
199,8.139143915930198e-05,0,8.139143915930198e-05
200,8.752362978218575e-05,0,8.752362978218575e-05
201,9.337048152704989e-05,0,9.337048152704989e-05
