Temperature: 20 C
Humidity: 16 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,9.917229023153177e-10,0,9.917229023153177e-10
27,1.0135141376281526e-09,0,1.0135141376281526e-09
28,1.0312202684976339e-09,0,1.0312202684976339e-09
29,1.0476701523375491e-09,0,1.0476701523375491e-09
30,1.064709714025258e-09,0,1.064709714025258e-09
31,1.0799446299411488e-09,0,1.0799446299411488e-09
32,1.0934989223526453e-09,0,1.0934989223526453e-09
33,1.1062099164118823e-09,0,1.1062099164118823e-09
34,1.1194176674798754e-09,0,1.1194176674798754e-09
35,1.1354503587362794e-09,0,1.1354503587362794e-09
36,1.1534463886526283e-09,0,1.1534463886526283e-09
37,1.171552690029171e-09,0,1.171552690029171e-09
38,1.191907210036416e-09,0,1.191907210036416e-09
39,1.2125168491766973e-09,0,1.2125168491766973e-09
40,1.235258281944045e-09,0,1.235258281944045e-09
41,1.2575698809503661e-09,0,1.2575698809503661e-09
42,1.279222211304268e-09,0,1.279222211304268e-09
43,1.3007359632419067e-09,0,1.3007359632419067e-09
44,1.324544329723155e-09,0,1.324544329723155e-09
45,1.3482169675587717e-09,0,1.3482169675587717e-09
46,1.3725055661107125e-09,0,1.3725055661107125e-09
47,1.3951591650843713e-09,0,1.3951591650843713e-09
48,1.4176947069422507e-09,0,1.4176947069422507e-09
49,1.437794188691539e-09,0,1.437794188691539e-09
50,1.459434371831352e-09,0,1.459434371831352e-09
51,1.4818655169744098e-09,0,1.4818655169744098e-09
52,1.5068700129406689e-09,0,1.5068700129406689e-09
53,1.530799824017551e-09,0,1.530799824017551e-09
54,1.5571394203574055e-09,0,1.5571394203574055e-09
55,1.584739370987094e-09,0,1.584739370987094e-09
56,1.6153166706483862e-09,0,1.6153166706483862e-09
57,1.6426703667148262e-09,0,1.6426703667148262e-09
58,1.6709752174987723e-09,0,1.6709752174987723e-09
59,1.6991072565532152e-09,0,1.6991072565532152e-09
60,1.7296450994881007e-09,0,1.7296450994881007e-09
61,1.7569544944408084e-09,0,1.7569544944408084e-09
62,1.7840916476110316e-09,0,1.7840916476110316e-09
63,1.809826837288754e-09,0,1.809826837288754e-09
64,1.8377201004278993e-09,0,1.8377201004278993e-09
65,1.8625798430416669e-09,0,1.8625798430416669e-09
66,1.8856173583647654e-09,0,1.8856173583647654e-09
67,1.9076198325281923e-09,0,1.9076198325281923e-09
68,1.9329199780374535e-09,0,1.9329199780374535e-09
69,1.9595967472672615e-09,0,1.9595967472672615e-09
70,1.9885359170110853e-09,0,1.9885359170110853e-09
71,2.0174859734965816e-09,0,2.0174859734965816e-09
72,2.0505690100028875e-09,0,2.0505690100028875e-09
73,2.0833068531411044e-09,0,2.0833068531411044e-09
74,2.1185110383401567e-09,0,2.1185110383401567e-09
75,2.1553227161483858e-09,0,2.1553227161483858e-09
76,2.1935156993586368e-09,0,2.1935156993586368e-09
77,2.2339792354147345e-09,0,2.2339792354147345e-09
78,2.27718852567319e-09,0,2.27718852567319e-09
79,2.315231696729785e-09,0,2.315231696729785e-09
80,2.353347072172244e-09,0,2.353347072172244e-09
81,2.3906143466659336e-09,0,2.3906143466659336e-09
82,2.4264728333895357e-09,0,2.4264728333895357e-09
83,2.4606582034183866e-09,0,2.4606582034183866e-09
84,2.4947170409645707e-09,0,2.4947170409645707e-09
85,2.529786095749661e-09,0,2.529786095749661e-09
86,2.5704964803717496e-09,0,2.5704964803717496e-09
87,2.6087609682736157e-09,0,2.6087609682736157e-09
88,2.645136925861388e-09,0,2.645136925861388e-09
89,2.68233815276203e-09,0,2.68233815276203e-09
90,2.725389757215898e-09,0,2.725389757215898e-09
91,2.7668469104753703e-09,0,2.7668469104753703e-09
92,2.809816876513134e-09,0,2.809816876513134e-09
93,2.8561560803766415e-09,0,2.8561560803766415e-09
94,2.910760172816018e-09,0,2.910760172816018e-09
95,2.9676135200667884e-09,0,2.9676135200667884e-09
96,3.0290674007961003e-09,0,3.0290674007961003e-09
97,3.0913118754915297e-09,0,3.0913118754915297e-09
98,3.162104062509824e-09,0,3.162104062509824e-09
99,3.2350288537799596e-09,0,3.2350288537799596e-09
100,3.3111111129857448e-09,0,3.3111111129857448e-09
101,3.388164182184696e-09,0,3.388164182184696e-09
102,3.4713907499920005e-09,0,3.4713907499920005e-09
103,3.5522048976665203e-09,0,3.5522048976665203e-09
104,3.6319801874230494e-09,0,3.6319801874230494e-09
105,3.7041159925786776e-09,0,3.7041159925786776e-09
106,3.777336113702738e-09,0,3.777336113702738e-09
107,3.8489258656127336e-09,0,3.8489258656127336e-09
108,3.925879091657296e-09,0,3.925879091657296e-09
109,4.005171143464411e-09,0,4.005171143464411e-09
110,4.089529591924821e-09,0,4.089529591924821e-09
111,4.172905749764089e-09,0,4.172905749764089e-09
112,4.268851155468424e-09,0,4.268851155468424e-09
113,4.3677985899444675e-09,0,4.3677985899444675e-09
114,4.473850790744188e-09,0,4.473850790744188e-09
115,4.5822767384398124e-09,0,4.5822767384398124e-09
116,4.699270546067818e-09,0,4.699270546067818e-09
117,4.821866046208314e-09,0,4.821866046208314e-09
118,4.954335234286829e-09,0,4.954335234286829e-09
119,5.080984569244139e-09,0,5.080984569244139e-09
120,5.203896147637025e-09,0,5.203896147637025e-09
121,5.320788428005402e-09,0,5.320788428005402e-09
122,5.441883556832443e-09,0,5.441883556832443e-09
123,5.555868144626567e-09,0,5.555868144626567e-09
124,5.676688681838424e-09,0,5.676688681838424e-09
125,5.790731914558309e-09,0,5.790731914558309e-09
126,5.91717963284175e-09,0,5.91717963284175e-09
127,6.0580439585631345e-09,0,6.0580439585631345e-09
128,6.21810793784837e-09,0,6.21810793784837e-09
129,6.387322321741068e-09,0,6.387322321741068e-09
130,6.585882923532278e-09,0,6.585882923532278e-09
131,6.80267540159342e-09,0,6.80267540159342e-09
132,7.051954749850481e-09,0,7.051954749850481e-09
133,7.310930643005848e-09,0,7.310930643005848e-09
134,7.594127865686557e-09,0,7.594127865686557e-09
135,7.877839481169163e-09,0,7.877839481169163e-09
136,8.183535656192619e-09,0,8.183535656192619e-09
137,8.492940371794297e-09,0,8.492940371794297e-09
138,8.825566813859864e-09,0,8.825566813859864e-09
139,9.180610273186599e-09,0,9.180610273186599e-09
140,9.57864700257072e-09,0,9.57864700257072e-09
141,1.0004348859558669e-08,0,1.0004348859558669e-08
142,1.049368216460302e-08,0,1.049368216460302e-08
143,1.1019803804723245e-08,0,1.1019803804723245e-08
144,1.1605628255598636e-08,0,1.1605628255598636e-08
145,1.2226139121932917e-08,0,1.2226139121932917e-08
146,1.2919653832335125e-08,0,1.2919653832335125e-08
147,1.3678975199653638e-08,0,1.3678975199653638e-08
148,1.453145728937344e-08,0,1.453145728937344e-08
149,1.5461119343159973e-08,0,1.5461119343159973e-08
150,1.6533079281039962e-08,0,1.6533079281039962e-08
151,1.7719587887964756e-08,0,1.7719587887964756e-08
152,1.9057922216701418e-08,0,1.9057922216701418e-08
153,2.062117518260496e-08,0,2.062117518260496e-08
154,2.2489817507884207e-08,0,2.2489817507884207e-08
155,2.4693486714177283e-08,0,2.4693486714177283e-08
156,2.7472343140525985e-08,0,2.7472343140525985e-08
157,3.083427199183294e-08,0,3.083427199183294e-08
158,3.5422617002346975e-08,0,3.5422617002346975e-08
159,4.1855014213254346e-08,0,4.1855014213254346e-08
160,5.229120041451454e-08,0,5.229120041451454e-08
161,6.995758430949403e-08,0,6.995758430949403e-08
162,1.1265690414911743e-07,0,1.1265690414911743e-07
163,1.8266960846773095e-07,0,1.8266960846773095e-07
164,2.9619299509230776e-07,0,2.9619299509230776e-07
165,4.802681048144265e-07,0,4.802681048144265e-07
