Temperature: 0 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,1.0600183352810982e-10,0,1.0600183352810982e-10
27,1.0724578909404062e-10,0,1.0724578909404062e-10
28,1.079562891081178e-10,0,1.079562891081178e-10
29,1.0886352696833881e-10,0,1.0886352696833881e-10
30,1.0991660572633761e-10,0,1.0991660572633761e-10
31,1.1097402261411957e-10,0,1.1097402261411957e-10
32,1.1211003036935592e-10,0,1.1211003036935592e-10
33,1.1333653382153144e-10,0,1.1333653382153144e-10
34,1.148217763868438e-10,0,1.148217763868438e-10
35,1.1637042715867736e-10,0,1.1637042715867736e-10
36,1.1790190041040766e-10,0,1.1790190041040766e-10
37,1.1926298116351346e-10,0,1.1926298116351346e-10
38,1.208664894314583e-10,0,1.208664894314583e-10
39,1.2268914850219494e-10,0,1.2268914850219494e-10
40,1.2467282188504946e-10,0,1.2467282188504946e-10
41,1.26540375349258e-10,0,1.26540375349258e-10
42,1.2847736984651516e-10,0,1.2847736984651516e-10
43,1.3026339346296842e-10,0,1.3026339346296842e-10
44,1.3231779983612527e-10,0,1.3231779983612527e-10
45,1.3449081548973456e-10,0,1.3449081548973456e-10
46,1.3701236347100347e-10,0,1.3701236347100347e-10
47,1.3966734306952918e-10,0,1.3966734306952918e-10
48,1.4236189011404678e-10,0,1.4236189011404678e-10
49,1.4527485054391546e-10,0,1.4527485054391546e-10
50,1.487015849563257e-10,0,1.487015849563257e-10
51,1.523904141134931e-10,0,1.523904141134931e-10
52,1.5618789961723392e-10,0,1.5618789961723392e-10
53,1.5938936312966256e-10,0,1.5938936312966256e-10
54,1.6247831350631937e-10,0,1.6247831350631937e-10
55,1.654842537017175e-10,0,1.654842537017175e-10
56,1.6842519199142397e-10,0,1.6842519199142397e-10
57,1.712720307555145e-10,0,1.712720307555145e-10
58,1.74246557795841e-10,0,1.74246557795841e-10
59,1.7710660124963372e-10,0,1.7710660124963372e-10
60,1.8038396521125475e-10,0,1.8038396521125475e-10
61,1.8401349023049998e-10,0,1.8401349023049998e-10
62,1.885468300574842e-10,0,1.885468300574842e-10
63,1.931354380695308e-10,0,1.931354380695308e-10
64,1.9741823647639582e-10,0,1.9741823647639582e-10
65,2.0106440351743453e-10,0,2.0106440351743453e-10
66,2.0473384911102423e-10,0,2.0473384911102423e-10
67,2.0814914619069177e-10,0,2.0814914619069177e-10
68,2.1136087821884977e-10,0,2.1136087821884977e-10
69,2.1376941279269243e-10,0,2.1376941279269243e-10
70,2.160378650027341e-10,0,2.160378650027341e-10
71,2.1840375521512853e-10,0,2.1840375521512853e-10
72,2.2123817989039382e-10,0,2.2123817989039382e-10
73,2.238728021040743e-10,0,2.238728021040743e-10
74,2.2709364787655973e-10,0,2.2709364787655973e-10
75,2.3073090734118455e-10,0,2.3073090734118455e-10
76,2.3457472695670246e-10,0,2.3457472695670246e-10
77,2.386790457839948e-10,0,2.386790457839948e-10
78,2.4313478186456804e-10,0,2.4313478186456804e-10
79,2.475448352171192e-10,0,2.475448352171192e-10
80,2.525057491485386e-10,0,2.525057491485386e-10
81,2.572823105834453e-10,0,2.572823105834453e-10
82,2.620208882785904e-10,0,2.620208882785904e-10
83,2.671856476974426e-10,0,2.671856476974426e-10
84,2.7249229884312465e-10,0,2.7249229884312465e-10
85,2.781998671944743e-10,0,2.781998671944743e-10
86,2.84457663947989e-10,0,2.84457663947989e-10
87,2.907757583305159e-10,0,2.907757583305159e-10
88,2.9748231405853794e-10,0,2.9748231405853794e-10
89,3.042199393915172e-10,0,3.042199393915172e-10
90,3.106827922511067e-10,0,3.106827922511067e-10
91,3.1771102081317177e-10,0,3.1771102081317177e-10
92,3.2508878793789353e-10,0,3.2508878793789353e-10
93,3.324093281163525e-10,0,3.324093281163525e-10
94,3.4035778748136064e-10,0,3.4035778748136064e-10
95,3.4748914173861914e-10,0,3.4748914173861914e-10
96,3.549078336286378e-10,0,3.549078336286378e-10
97,3.623448437356721e-10,0,3.623448437356721e-10
98,3.695487825080314e-10,0,3.695487825080314e-10
99,3.768835317121143e-10,0,3.768835317121143e-10
100,3.8514876492052623e-10,0,3.8514876492052623e-10
101,3.9262498079345986e-10,0,3.9262498079345986e-10
102,4.0111209922951985e-10,0,4.0111209922951985e-10
103,4.086773579791511e-10,0,4.086773579791511e-10
104,4.1671917340758326e-10,0,4.1671917340758326e-10
105,4.251553695855614e-10,0,4.251553695855614e-10
106,4.3368806172601613e-10,0,4.3368806172601613e-10
107,4.4103017790689225e-10,0,4.4103017790689225e-10
108,4.4975404955931593e-10,0,4.4975404955931593e-10
109,4.594892066688831e-10,0,4.594892066688831e-10
110,4.721053120025118e-10,0,4.721053120025118e-10
111,4.85615620879232e-10,0,4.85615620879232e-10
112,4.998066087349436e-10,0,4.998066087349436e-10
113,5.146574782127349e-10,0,5.146574782127349e-10
114,5.330366238847214e-10,0,5.330366238847214e-10
115,5.524213688331677e-10,0,5.524213688331677e-10
116,5.735227422447017e-10,0,5.735227422447017e-10
117,5.94087536050291e-10,0,5.94087536050291e-10
118,6.163959431643546e-10,0,6.163959431643546e-10
119,6.397485240405396e-10,0,6.397485240405396e-10
120,6.643008484543593e-10,0,6.643008484543593e-10
121,6.891580361801277e-10,0,6.891580361801277e-10
122,7.15397635838617e-10,0,7.15397635838617e-10
123,7.408055826964924e-10,0,7.408055826964924e-10
124,7.691214281233219e-10,0,7.691214281233219e-10
125,7.98440688597082e-10,0,7.98440688597082e-10
126,8.307161759092872e-10,0,8.307161759092872e-10
127,8.666034917369567e-10,0,8.666034917369567e-10
128,9.043111832354898e-10,0,9.043111832354898e-10
129,9.46220172954782e-10,0,9.46220172954782e-10
130,9.956352879646419e-10,0,9.956352879646419e-10
131,1.0493854990381232e-09,0,1.0493854990381232e-09
132,1.107495680424352e-09,0,1.107495680424352e-09
133,1.1681412119096549e-09,0,1.1681412119096549e-09
134,1.2324567141761377e-09,0,1.2324567141761377e-09
135,1.2985698316810916e-09,0,1.2985698316810916e-09
136,1.3700213435183598e-09,0,1.3700213435183598e-09
137,1.4462488757640021e-09,0,1.4462488757640021e-09
138,1.533158055879161e-09,0,1.533158055879161e-09
139,1.6293421439484305e-09,0,1.6293421439484305e-09
140,1.7416775366589149e-09,0,1.7416775366589149e-09
141,1.8730099844252523e-09,0,1.8730099844252523e-09
142,2.0382099823176687e-09,0,2.0382099823176687e-09
143,2.225083462054115e-09,0,2.225083462054115e-09
144,2.4430738327910445e-09,0,2.4430738327910445e-09
145,2.723636795992384e-09,0,2.723636795992384e-09
146,3.0833594904473384e-09,0,3.0833594904473384e-09
147,3.5339989068051935e-09,0,3.5339989068051935e-09
148,4.128608654083461e-09,0,4.128608654083461e-09
149,4.933360939695967e-09,0,4.933360939695967e-09
150,6.232215303339735e-09,0,6.232215303339735e-09
151,8.28004402965407e-09,0,8.28004402965407e-09
152,1.3750833676454694e-08,0,1.3750833676454694e-08
153,2.4322823295320454e-08,0,2.4322823295320454e-08
154,4.681688636632151e-08,0,4.681688636632151e-08
155,9.011375128720161e-08,0,9.011375128720161e-08
156,1.7345192910868371e-07,0,1.7345192910868371e-07
