Temperature: 20 C
Humidity: 54 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,8.796892033160881e-11,0,8.796892033160881e-11
27,8.83660104297763e-11,0,8.83660104297763e-11
28,8.878302242184016e-11,0,8.878302242184016e-11
29,8.920180647393425e-11,0,8.920180647393425e-11
30,8.884387080974291e-11,0,8.884387080974291e-11
31,8.848776003880628e-11,0,8.848776003880628e-11
32,8.867663800517059e-11,0,8.867663800517059e-11
33,8.888231258309278e-11,0,8.888231258309278e-11
34,8.904758674018465e-11,0,8.904758674018465e-11
35,8.893893226292107e-11,0,8.893893226292107e-11
36,8.883275116471285e-11,0,8.883275116471285e-11
37,9.021670882950822e-11,0,9.021670882950822e-11
38,9.183775915519353e-11,0,9.183775915519353e-11
39,9.332159377853615e-11,0,9.332159377853615e-11
40,9.496130885738317e-11,0,9.496130885738317e-11
41,9.666145632656096e-11,0,9.666145632656096e-11
42,9.82378960667128e-11,0,9.82378960667128e-11
43,1.0002657411709387e-10,0,1.0002657411709387e-10
44,1.0133183044384617e-10,0,1.0133183044384617e-10
45,1.0273507681793025e-10,0,1.0273507681793025e-10
46,1.0427126316332024e-10,0,1.0427126316332024e-10
47,1.0583367351116682e-10,0,1.0583367351116682e-10
48,1.0737421493814393e-10,0,1.0737421493814393e-10
49,1.0887500222219213e-10,0,1.0887500222219213e-10
50,1.1028506624036067e-10,0,1.1028506624036067e-10
51,1.1159913479946123e-10,0,1.1159913479946123e-10
52,1.1280097433660662e-10,0,1.1280097433660662e-10
53,1.1382738467385246e-10,0,1.1382738467385246e-10
54,1.1480639693752859e-10,0,1.1480639693752859e-10
55,1.1578467605273148e-10,0,1.1578467605273148e-10
56,1.1666210736801076e-10,0,1.1666210736801076e-10
57,1.1753250832377393e-10,0,1.1753250832377393e-10
58,1.1839926299492346e-10,0,1.1839926299492346e-10
59,1.1922370390457249e-10,0,1.1922370390457249e-10
60,1.2027368891103817e-10,0,1.2027368891103817e-10
61,1.2167123379285917e-10,0,1.2167123379285917e-10
62,1.233323057485343e-10,0,1.233323057485343e-10
63,1.251215168575787e-10,0,1.251215168575787e-10
64,1.2712022950246346e-10,0,1.2712022950246346e-10
65,1.29205617195285e-10,0,1.29205617195285e-10
66,1.3175994397249664e-10,0,1.3175994397249664e-10
67,1.3443294315318679e-10,0,1.3443294315318679e-10
68,1.3662749354358954e-10,0,1.3662749354358954e-10
69,1.384109666429092e-10,0,1.384109666429092e-10
70,1.4006508196724701e-10,0,1.4006508196724701e-10
71,1.4158187265087196e-10,0,1.4158187265087196e-10
72,1.4303874200625495e-10,0,1.4303874200625495e-10
73,1.4380499507641278e-10,0,1.4380499507641278e-10
74,1.4416702238079425e-10,0,1.4416702238079425e-10
75,1.4500489900686925e-10,0,1.4500489900686925e-10
76,1.4610119833680592e-10,0,1.4610119833680592e-10
77,1.472581622321508e-10,0,1.472581622321508e-10
78,1.484115774128242e-10,0,1.484115774128242e-10
79,1.4944401636875205e-10,0,1.4944401636875205e-10
80,1.5070023771685967e-10,0,1.5070023771685967e-10
81,1.525146148733532e-10,0,1.525146148733532e-10
82,1.5385440931252494e-10,0,1.5385440931252494e-10
83,1.5497370862559476e-10,0,1.5497370862559476e-10
84,1.5644087724997022e-10,0,1.5644087724997022e-10
85,1.577621496352726e-10,0,1.577621496352726e-10
86,1.5879790359991426e-10,0,1.5879790359991426e-10
87,1.5949439943196935e-10,0,1.5949439943196935e-10
88,1.5925187022795405e-10,0,1.5925187022795405e-10
89,1.5900028245217799e-10,0,1.5900028245217799e-10
90,1.5896990918994777e-10,0,1.5896990918994777e-10
91,1.5886417173414869e-10,0,1.5886417173414869e-10
92,1.5905371157696966e-10,0,1.5905371157696966e-10
93,1.601204465466044e-10,0,1.601204465466044e-10
94,1.6246439934005838e-10,0,1.6246439934005838e-10
95,1.6553186458229561e-10,0,1.6553186458229561e-10
96,1.6928245398566113e-10,0,1.6928245398566113e-10
97,1.7388572839211178e-10,0,1.7388572839211178e-10
98,1.7885830763657207e-10,0,1.7885830763657207e-10
99,1.836780074216146e-10,0,1.836780074216146e-10
100,1.8833661853765428e-10,0,1.8833661853765428e-10
101,1.9211814394439128e-10,0,1.9211814394439128e-10
102,1.9598506472262114e-10,0,1.9598506472262114e-10
103,1.9959555774424687e-10,0,1.9959555774424687e-10
104,2.0209001364135203e-10,0,2.0209001364135203e-10
105,2.039172493277988e-10,0,2.039172493277988e-10
106,2.0561737327914677e-10,0,2.0561737327914677e-10
107,2.0674110180810119e-10,0,2.0674110180810119e-10
108,2.0782076634172137e-10,0,2.0782076634172137e-10
109,2.0927935813456115e-10,0,2.0927935813456115e-10
110,2.1168416023115584e-10,0,2.1168416023115584e-10
111,2.1510625816248168e-10,0,2.1510625816248168e-10
112,2.1981688173463596e-10,0,2.1981688173463596e-10
113,2.2483250161395302e-10,0,2.2483250161395302e-10
114,2.306265577997331e-10,0,2.306265577997331e-10
115,2.3705719111753714e-10,0,2.3705719111753714e-10
116,2.4358527946022277e-10,0,2.4358527946022277e-10
117,2.490146943666599e-10,0,2.490146943666599e-10
118,2.530552829301712e-10,0,2.530552829301712e-10
119,2.5564629527188566e-10,0,2.5564629527188566e-10
120,2.581476021604921e-10,0,2.581476021604921e-10
121,2.6013815046033725e-10,0,2.6013815046033725e-10
122,2.6298988255836264e-10,0,2.6298988255836264e-10
123,2.668930361056796e-10,0,2.668930361056796e-10
124,2.708832635893598e-10,0,2.708832635893598e-10
125,2.758511391798659e-10,0,2.758511391798659e-10
126,2.815097286774781e-10,0,2.815097286774781e-10
127,2.8774212626163183e-10,0,2.8774212626163183e-10
128,2.9541676805080207e-10,0,2.9541676805080207e-10
129,3.022356751083961e-10,0,3.022356751083961e-10
130,3.080638830166495e-10,0,3.080638830166495e-10
131,3.135490329779546e-10,0,3.135490329779546e-10
132,3.189097752073444e-10,0,3.189097752073444e-10
133,3.241108353016729e-10,0,3.241108353016729e-10
134,3.311503766093905e-10,0,3.311503766093905e-10
135,3.380821307151734e-10,0,3.380821307151734e-10
136,3.447264700387547e-10,0,3.447264700387547e-10
137,3.5242188830057723e-10,0,3.5242188830057723e-10
138,3.6210303805791394e-10,0,3.6210303805791394e-10
139,3.7413108728903716e-10,0,3.7413108728903716e-10
140,3.877940241382326e-10,0,3.877940241382326e-10
141,4.0036323105789857e-10,0,4.0036323105789857e-10
142,4.147108515275231e-10,0,4.147108515275231e-10
143,4.307846081165301e-10,0,4.307846081165301e-10
144,4.4769268228723016e-10,0,4.4769268228723016e-10
145,4.6471606998136625e-10,0,4.6471606998136625e-10
146,4.836277193477347e-10,0,4.836277193477347e-10
147,5.054809976657904e-10,0,5.054809976657904e-10
148,5.267763657336527e-10,0,5.267763657336527e-10
149,5.437631047502582e-10,0,5.437631047502582e-10
150,5.584710875230991e-10,0,5.584710875230991e-10
151,5.73590754304599e-10,0,5.73590754304599e-10
152,5.910569569457583e-10,0,5.910569569457583e-10
153,6.067110049569824e-10,0,6.067110049569824e-10
154,6.200014864426686e-10,0,6.200014864426686e-10
155,6.404499205126207e-10,0,6.404499205126207e-10
156,6.63532532363338e-10,0,6.63532532363338e-10
157,6.893260366548701e-10,0,6.893260366548701e-10
158,7.135008722315233e-10,0,7.135008722315233e-10
159,7.377050026450088e-10,0,7.377050026450088e-10
160,7.634155495533136e-10,0,7.634155495533136e-10
161,7.954271918415853e-10,0,7.954271918415853e-10
162,8.305702540739969e-10,0,8.305702540739969e-10
163,8.727624127776317e-10,0,8.727624127776317e-10
164,9.189081316538749e-10,0,9.189081316538749e-10
165,9.701210831569741e-10,0,9.701210831569741e-10
166,1.0273101614091275e-09,0,1.0273101614091275e-09
167,1.1017130187523355e-09,0,1.1017130187523355e-09
168,1.194753020655749e-09,0,1.194753020655749e-09
169,1.3168329281894002e-09,0,1.3168329281894002e-09
170,1.4667048743468446e-09,0,1.4667048743468446e-09
171,1.6295997730360776e-09,0,1.6295997730360776e-09
172,1.826692073410071e-09,0,1.826692073410071e-09
173,2.056855638826288e-09,0,2.056855638826288e-09
174,2.324865633129038e-09,0,2.324865633129038e-09
175,2.669405123833074e-09,0,2.669405123833074e-09
176,3.237978296274691e-09,0,3.237978296274691e-09
177,3.8915464884388245e-09,0,3.8915464884388245e-09
178,4.7148369935531385e-09,0,4.7148369935531385e-09
179,5.91363343463264e-09,0,5.91363343463264e-09
180,7.87069820159535e-09,0,7.87069820159535e-09
181,1.0237947502081524e-08,0,1.0237947502081524e-08
182,1.320229211534328e-08,0,1.320229211534328e-08
183,1.7024966033298444e-08,0,1.7024966033298444e-08
184,2.1954480775206608e-08,0,2.1954480775206608e-08
