Temperature: 150 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,1.0551251756976011e-07,0,1.0551251756976011e-07
27,1.0944490221498073e-07,0,1.0944490221498073e-07
28,1.1150164259115238e-07,0,1.1150164259115238e-07
29,1.1304125263105416e-07,0,1.1304125263105416e-07
30,1.1452815836134774e-07,0,1.1452815836134774e-07
31,1.1559198532600689e-07,0,1.1559198532600689e-07
32,1.1622167043466637e-07,0,1.1622167043466637e-07
33,1.1670130952662892e-07,0,1.1670130952662892e-07
34,1.1696068256644583e-07,0,1.1696068256644583e-07
35,1.173038039268759e-07,0,1.173038039268759e-07
36,1.176179676799422e-07,0,1.176179676799422e-07
37,1.1769728612998408e-07,0,1.1769728612998408e-07
38,1.1765749103786329e-07,0,1.1765749103786329e-07
39,1.174445320491256e-07,0,1.174445320491256e-07
40,1.1733639350345131e-07,0,1.1733639350345131e-07
41,1.1735739474559735e-07,0,1.1735739474559735e-07
42,1.1764844857541884e-07,0,1.1764844857541884e-07
43,1.179402242373161e-07,0,1.179402242373161e-07
44,1.1855484205316029e-07,0,1.1855484205316029e-07
45,1.1935494052211502e-07,0,1.1935494052211502e-07
46,1.2033920626489548e-07,0,1.2033920626489548e-07
47,1.2119658192304866e-07,0,1.2119658192304866e-07
48,1.2186107943588567e-07,0,1.2186107943588567e-07
49,1.2212843381860642e-07,0,1.2212843381860642e-07
50,1.2242204519320942e-07,0,1.2242204519320942e-07
51,1.2285508560811157e-07,0,1.2285508560811157e-07
52,1.2382674175036113e-07,0,1.2382674175036113e-07
53,1.2489943627215606e-07,0,1.2489943627215606e-07
54,1.2635197953394654e-07,0,1.2635197953394654e-07
55,1.278893592932163e-07,0,1.278893592932163e-07
56,1.2938122015500834e-07,0,1.2938122015500834e-07
57,1.3086303777519495e-07,0,1.3086303777519495e-07
58,1.3219770829920042e-07,0,1.3219770829920042e-07
59,1.3306562434119146e-07,0,1.3306562434119146e-07
60,1.339364443973479e-07,0,1.339364443973479e-07
61,1.3454516729410627e-07,0,1.3454516729410627e-07
62,1.3545035498293637e-07,0,1.3545035498293637e-07
63,1.3657155079689757e-07,0,1.3657155079689757e-07
