Temperature: -90 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,1.2538941595794432e-12,0,1.2538941595794432e-12
27,1.2664934809514686e-12,0,1.2664934809514686e-12
28,1.2212172940728258e-12,0,1.2212172940728258e-12
29,1.143427059194491e-12,0,1.143427059194491e-12
30,1.0705919790390677e-12,0,1.0705919790390677e-12
31,1.0285313215458038e-12,0,1.0285313215458038e-12
32,1.0130646677021651e-12,0,1.0130646677021651e-12
33,1.0623999278542147e-12,0,1.0623999278542147e-12
34,1.1314058790114063e-12,0,1.1314058790114063e-12
35,1.2155746840030527e-12,0,1.2155746840030527e-12
36,1.3208265638694134e-12,0,1.3208265638694134e-12
37,1.416761072843828e-12,0,1.416761072843828e-12
38,1.4663924937915428e-12,0,1.4663924937915428e-12
39,1.4870125842045526e-12,0,1.4870125842045526e-12
40,1.454124095457877e-12,0,1.454124095457877e-12
41,1.4033200019711689e-12,0,1.4033200019711689e-12
42,1.3432789177914884e-12,0,1.3432789177914884e-12
43,1.2887380235269138e-12,0,1.2887380235269138e-12
44,1.2581692731880825e-12,0,1.2581692731880825e-12
45,1.2448706983863246e-12,0,1.2448706983863246e-12
46,1.2400851302370637e-12,0,1.2400851302370637e-12
47,1.242110062161104e-12,0,1.242110062161104e-12
48,1.2616940523335718e-12,0,1.2616940523335718e-12
49,1.296931224790747e-12,0,1.296931224790747e-12
50,1.3398792410107869e-12,0,1.3398792410107869e-12
51,1.3869879168680697e-12,0,1.3869879168680697e-12
52,1.4465760244269185e-12,0,1.4465760244269185e-12
53,1.505527173718202e-12,0,1.505527173718202e-12
54,1.5510035540110747e-12,0,1.5510035540110747e-12
55,1.5718535725384992e-12,0,1.5718535725384992e-12
56,1.5870378064249168e-12,0,1.5870378064249168e-12
57,1.6050275186644614e-12,0,1.6050275186644614e-12
58,1.6256575027363736e-12,0,1.6256575027363736e-12
59,1.6438286753771973e-12,0,1.6438286753771973e-12
60,1.679373312241207e-12,0,1.679373312241207e-12
61,1.7506154837816203e-12,0,1.7506154837816203e-12
62,1.8607688233247453e-12,0,1.8607688233247453e-12
63,1.9947725313343393e-12,0,1.9947725313343393e-12
64,2.1281767685096797e-12,0,2.1281767685096797e-12
65,2.261431663320474e-12,0,2.261431663320474e-12
66,2.406240726881711e-12,0,2.406240726881711e-12
67,2.564874975034042e-12,0,2.564874975034042e-12
68,2.7540385590337366e-12,0,2.7540385590337366e-12
69,2.9522351556351235e-12,0,2.9522351556351235e-12
70,3.2103382175621e-12,0,3.2103382175621e-12
71,3.548883504663282e-12,0,3.548883504663282e-12
72,4.013402935381408e-12,0,4.013402935381408e-12
73,4.609950786033539e-12,0,4.609950786033539e-12
74,5.374830828629993e-12,0,5.374830828629993e-12
75,6.341148042074019e-12,0,6.341148042074019e-12
76,7.759460791238417e-12,0,7.759460791238417e-12
77,9.831299608141049e-12,0,9.831299608141049e-12
78,1.3428542241062686e-11,0,1.3428542241062686e-11
79,1.9381648315125318e-11,0,1.9381648315125318e-11
80,3.090639910594733e-11,0,3.090639910594733e-11
81,5.141581965826907e-11,0,5.141581965826907e-11
82,8.553506013370222e-11,0,8.553506013370222e-11
83,1.4229594367230418e-10,0,1.4229594367230418e-10
