Temperature: 20 C
Humidity: 4 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,7.737545403445141e-11,0,7.737545403445141e-11
27,7.957783543268578e-11,0,7.957783543268578e-11
28,8.085151103785556e-11,0,8.085151103785556e-11
29,8.230030766359417e-11,0,8.230030766359417e-11
30,8.382419813658071e-11,0,8.382419813658071e-11
31,8.552228879482686e-11,0,8.552228879482686e-11
32,8.702267235134522e-11,0,8.702267235134522e-11
33,8.856726922824169e-11,0,8.856726922824169e-11
34,9.026050139761398e-11,0,9.026050139761398e-11
35,9.226163219606608e-11,0,9.226163219606608e-11
36,9.408043095127315e-11,0,9.408043095127315e-11
37,9.568934265338153e-11,0,9.568934265338153e-11
38,9.71822556625316e-11,0,9.71822556625316e-11
39,9.87626345856629e-11,0,9.87626345856629e-11
40,1.0072352418882966e-10,0,1.0072352418882966e-10
41,1.0266561624129243e-10,0,1.0266561624129243e-10
42,1.0439154223764635e-10,0,1.0439154223764635e-10
43,1.0594993826890404e-10,0,1.0594993826890404e-10
44,1.0742869504000183e-10,0,1.0742869504000183e-10
45,1.0876627497159106e-10,0,1.0876627497159106e-10
46,1.0984880233452018e-10,0,1.0984880233452018e-10
47,1.1057169100014984e-10,0,1.1057169100014984e-10
48,1.1102399024060562e-10,0,1.1102399024060562e-10
49,1.1132035755386535e-10,0,1.1132035755386535e-10
50,1.116979386406039e-10,0,1.116979386406039e-10
51,1.1232490868889051e-10,0,1.1232490868889051e-10
52,1.133136394007294e-10,0,1.133136394007294e-10
53,1.1436279464453645e-10,0,1.1436279464453645e-10
54,1.1561851363816494e-10,0,1.1561851363816494e-10
55,1.171966956944033e-10,0,1.171966956944033e-10
56,1.190089554150024e-10,0,1.190089554150024e-10
57,1.2105826938236023e-10,0,1.2105826938236023e-10
58,1.2328356644673286e-10,0,1.2328356644673286e-10
59,1.2533215734654827e-10,0,1.2533215734654827e-10
60,1.2760238822941452e-10,0,1.2760238822941452e-10
61,1.2965069493010007e-10,0,1.2965069493010007e-10
62,1.316659440327915e-10,0,1.316659440327915e-10
63,1.3347899896671811e-10,0,1.3347899896671811e-10
64,1.3500863830712783e-10,0,1.3500863830712783e-10
65,1.3611780824341368e-10,0,1.3611780824341368e-10
66,1.3711650324439417e-10,0,1.3711650324439417e-10
67,1.379824695757512e-10,0,1.379824695757512e-10
68,1.3898477364887038e-10,0,1.3898477364887038e-10
69,1.397753424260546e-10,0,1.397753424260546e-10
70,1.4048616347487533e-10,0,1.4048616347487533e-10
71,1.412396729278886e-10,0,1.412396729278886e-10
72,1.4213636106563334e-10,0,1.4213636106563334e-10
73,1.4306010247581454e-10,0,1.4306010247581454e-10
74,1.4406005847733467e-10,0,1.4406005847733467e-10
75,1.4527102245746698e-10,0,1.4527102245746698e-10
76,1.466543845132731e-10,0,1.466543845132731e-10
77,1.4816833012332218e-10,0,1.4816833012332218e-10
78,1.497159854436884e-10,0,1.497159854436884e-10
79,1.5116490963115295e-10,0,1.5116490963115295e-10
80,1.5246639555495062e-10,0,1.5246639555495062e-10
81,1.536579053928908e-10,0,1.536579053928908e-10
82,1.5469932222319205e-10,0,1.5469932222319205e-10
83,1.5556902916227238e-10,0,1.5556902916227238e-10
84,1.563838614852675e-10,0,1.563838614852675e-10
85,1.5722367533657528e-10,0,1.5722367533657528e-10
86,1.5820863884884165e-10,0,1.5820863884884165e-10
87,1.5915013893750565e-10,0,1.5915013893750565e-10
88,1.601204465466044e-10,0,1.601204465466044e-10
89,1.6124212878533217e-10,0,1.6124212878533217e-10
90,1.628118961884125e-10,0,1.628118961884125e-10
91,1.645576703835678e-10,0,1.645576703835678e-10
92,1.6635576840847145e-10,0,1.6635576840847145e-10
93,1.6848289810332548e-10,0,1.6848289810332548e-10
94,1.710337498725358e-10,0,1.710337498725358e-10
95,1.734604992534248e-10,0,1.734604992534248e-10
96,1.7584906993753785e-10,0,1.7584906993753785e-10
97,1.7829989396480646e-10,0,1.7829989396480646e-10
98,1.8118190212646316e-10,0,1.8118190212646316e-10
99,1.8455696827057782e-10,0,1.8455696827057782e-10
100,1.8791318452211173e-10,0,1.8791318452211173e-10
101,1.911175391427079e-10,0,1.911175391427079e-10
102,1.9479057850054637e-10,0,1.9479057850054637e-10
103,1.984836436258455e-10,0,1.984836436258455e-10
104,2.021042148682328e-10,0,2.021042148682328e-10
105,2.0506725788086265e-10,0,2.0506725788086265e-10
106,2.080901914669043e-10,0,2.080901914669043e-10
107,2.11278279082142e-10,0,2.11278279082142e-10
108,2.1498725754786988e-10,0,2.1498725754786988e-10
109,2.1898580019979533e-10,0,2.1898580019979533e-10
110,2.227801791072532e-10,0,2.227801791072532e-10
111,2.261491255080469e-10,0,2.261491255080469e-10
