Temperature: -20 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,8.333544770831235e-12,0,8.333544770831235e-12
27,8.443847375943263e-12,0,8.443847375943263e-12
28,8.575867922473334e-12,0,8.575867922473334e-12
29,8.696727258747387e-12,0,8.696727258747387e-12
30,8.86120123769052e-12,0,8.86120123769052e-12
31,9.07394404427932e-12,0,9.07394404427932e-12
32,9.253046653996064e-12,0,9.253046653996064e-12
33,9.380317962603992e-12,0,9.380317962603992e-12
34,9.491565240539227e-12,0,9.491565240539227e-12
35,9.642571063647488e-12,0,9.642571063647488e-12
36,9.800411609554033e-12,0,9.800411609554033e-12
37,9.928319919160406e-12,0,9.928319919160406e-12
38,1.0007095325526595e-11,0,1.0007095325526595e-11
39,1.009660081671536e-11,0,1.009660081671536e-11
40,1.0219282265196354e-11,0,1.0219282265196354e-11
41,1.0380110409267201e-11,0,1.0380110409267201e-11
42,1.0545020957450812e-11,0,1.0545020957450812e-11
43,1.0740675816911375e-11,0,1.0740675816911375e-11
44,1.0969164022966024e-11,0,1.0969164022966024e-11
45,1.1191571341717873e-11,0,1.1191571341717873e-11
46,1.1424582739855727e-11,0,1.1424582739855727e-11
47,1.1643407394630041e-11,0,1.1643407394630041e-11
48,1.1840784313642221e-11,0,1.1840784313642221e-11
49,1.1994900736487852e-11,0,1.1994900736487852e-11
50,1.2127804737926314e-11,0,1.2127804737926314e-11
51,1.2223387554888439e-11,0,1.2223387554888439e-11
52,1.2315882749589545e-11,0,1.2315882749589545e-11
53,1.2391187982352437e-11,0,1.2391187982352437e-11
54,1.2462628948785116e-11,0,1.2462628948785116e-11
55,1.2518665106569338e-11,0,1.2518665106569338e-11
56,1.2578930200835746e-11,0,1.2578930200835746e-11
57,1.2631938238137626e-11,0,1.2631938238137626e-11
58,1.27441932214767e-11,0,1.27441932214767e-11
59,1.2904852927352897e-11,0,1.2904852927352897e-11
60,1.3114970981117933e-11,0,1.3114970981117933e-11
61,1.334833956697007e-11,0,1.334833956697007e-11
62,1.358896375675376e-11,0,1.358896375675376e-11
63,1.3826090223819201e-11,0,1.3826090223819201e-11
64,1.4090696378345846e-11,0,1.4090696378345846e-11
65,1.4292445488754878e-11,0,1.4292445488754878e-11
66,1.4457344809529562e-11,0,1.4457344809529562e-11
67,1.4611210682794274e-11,0,1.4611210682794274e-11
68,1.478991724675176e-11,0,1.478991724675176e-11
69,1.502125829781778e-11,0,1.502125829781778e-11
70,1.530561175537461e-11,0,1.530561175537461e-11
71,1.558233996177237e-11,0,1.558233996177237e-11
72,1.5879092961507248e-11,0,1.5879092961507248e-11
73,1.6141288290590022e-11,0,1.6141288290590022e-11
74,1.6378870274238843e-11,0,1.6378870274238843e-11
75,1.658662529650779e-11,0,1.658662529650779e-11
76,1.6784774248382042e-11,0,1.6784774248382042e-11
77,1.696456516235673e-11,0,1.696456516235673e-11
78,1.7170584532533048e-11,0,1.7170584532533048e-11
79,1.734928791774168e-11,0,1.734928791774168e-11
80,1.7561136244840054e-11,0,1.7561136244840054e-11
81,1.7808155310746016e-11,0,1.7808155310746016e-11
82,1.8133793050337916e-11,0,1.8133793050337916e-11
83,1.850683176359339e-11,0,1.850683176359339e-11
84,1.8902439993045612e-11,0,1.8902439993045612e-11
85,1.9287902233907887e-11,0,1.9287902233907887e-11
86,1.9682175721969257e-11,0,1.9682175721969257e-11
87,2.006630209486912e-11,0,2.006630209486912e-11
88,2.0446427970207795e-11,0,2.0446427970207795e-11
89,2.0761824257835784e-11,0,2.0761824257835784e-11
90,2.1032423986529155e-11,0,2.1032423986529155e-11
91,2.1307486351769805e-11,0,2.1307486351769805e-11
92,2.1586809616232583e-11,0,2.1586809616232583e-11
93,2.195602355585628e-11,0,2.195602355585628e-11
94,2.2387526014720503e-11,0,2.2387526014720503e-11
95,2.2806364884317898e-11,0,2.2806364884317898e-11
96,2.3242684002534905e-11,0,2.3242684002534905e-11
97,2.36929688772019e-11,0,2.36929688772019e-11
98,2.417006915838527e-11,0,2.417006915838527e-11
99,2.4737257786835162e-11,0,2.4737257786835162e-11
100,2.528047916052815e-11,0,2.528047916052815e-11
101,2.5818842006449703e-11,0,2.5818842006449703e-11
102,2.6402390926484915e-11,0,2.6402390926484915e-11
103,2.69915412506608e-11,0,2.69915412506608e-11
104,2.7665552891663194e-11,0,2.7665552891663194e-11
105,2.8362311526500633e-11,0,2.8362311526500633e-11
106,2.9080832463412962e-11,0,2.9080832463412962e-11
107,2.9902338039848625e-11,0,2.9902338039848625e-11
108,3.078028714104709e-11,0,3.078028714104709e-11
109,3.176112701235316e-11,0,3.176112701235316e-11
110,3.2851544016265706e-11,0,3.2851544016265706e-11
111,3.3888561844523296e-11,0,3.3888561844523296e-11
112,3.4997871610201826e-11,0,3.4997871610201826e-11
