Temperature: 50 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,5.1765313542521e-10,0,5.1765313542521e-10
27,5.283600280080085e-10,0,5.283600280080085e-10
28,5.328727785404809e-10,0,5.328727785404809e-10
29,5.353475111483154e-10,0,5.353475111483154e-10
30,5.375503623405876e-10,0,5.375503623405876e-10
31,5.392315367461806e-10,0,5.392315367461806e-10
32,5.408205772821269e-10,0,5.408205772821269e-10
33,5.417560239666388e-10,0,5.417560239666388e-10
34,5.414349134354462e-10,0,5.414349134354462e-10
35,5.426990472504404e-10,0,5.426990472504404e-10
36,5.449489016008125e-10,0,5.449489016008125e-10
37,5.474148013324535e-10,0,5.474148013324535e-10
38,5.502143607204274e-10,0,5.502143607204274e-10
39,5.53545815490628e-10,0,5.53545815490628e-10
40,5.570111829829247e-10,0,5.570111829829247e-10
41,5.60436707761998e-10,0,5.60436707761998e-10
42,5.623796069816484e-10,0,5.623796069816484e-10
43,5.645064780172271e-10,0,5.645064780172271e-10
44,5.675778770861224e-10,0,5.675778770861224e-10
45,5.707123550667851e-10,0,5.707123550667851e-10
46,5.736335808503818e-10,0,5.736335808503818e-10
47,5.76235605859882e-10,0,5.76235605859882e-10
48,5.792665063446871e-10,0,5.792665063446871e-10
49,5.828634544045496e-10,0,5.828634544045496e-10
50,5.869594420838462e-10,0,5.869594420838462e-10
51,5.913490592075576e-10,0,5.913490592075576e-10
52,5.963998023379132e-10,0,5.963998023379132e-10
53,6.013510514280123e-10,0,6.013510514280123e-10
54,6.071161552880699e-10,0,6.071161552880699e-10
55,6.130388300227489e-10,0,6.130388300227489e-10
56,6.187107954517174e-10,0,6.187107954517174e-10
57,6.236541397777019e-10,0,6.236541397777019e-10
58,6.28631458474575e-10,0,6.28631458474575e-10
59,6.335775412153008e-10,0,6.335775412153008e-10
60,6.393988159434017e-10,0,6.393988159434017e-10
61,6.452679083734338e-10,0,6.452679083734338e-10
62,6.514239989703548e-10,0,6.514239989703548e-10
63,6.581834794889166e-10,0,6.581834794889166e-10
64,6.649707518122924e-10,0,6.649707518122924e-10
65,6.704853804436939e-10,0,6.704853804436939e-10
66,6.749599318494467e-10,0,6.749599318494467e-10
67,6.790944177526991e-10,0,6.790944177526991e-10
68,6.827772787458359e-10,0,6.827772787458359e-10
69,6.864333831621671e-10,0,6.864333831621671e-10
70,6.890521109876027e-10,0,6.890521109876027e-10
71,6.914454439180877e-10,0,6.914454439180877e-10
72,6.93999469520372e-10,0,6.93999469520372e-10
73,6.967419145249197e-10,0,6.967419145249197e-10
74,6.995090211526985e-10,0,6.995090211526985e-10
75,7.026326469720585e-10,0,7.026326469720585e-10
76,7.061872438675071e-10,0,7.061872438675071e-10
77,7.108454196429125e-10,0,7.108454196429125e-10
78,7.164352167231772e-10,0,7.164352167231772e-10
79,7.21731315210909e-10,0,7.21731315210909e-10
80,7.280779001563811e-10,0,7.280779001563811e-10
81,7.344157826981311e-10,0,7.344157826981311e-10
82,7.403486077849021e-10,0,7.403486077849021e-10
83,7.464867087201681e-10,0,7.464867087201681e-10
84,7.526062846407091e-10,0,7.526062846407091e-10
85,7.596429511917823e-10,0,7.596429511917823e-10
86,7.672237310942253e-10,0,7.672237310942253e-10
87,7.741743319243108e-10,0,7.741743319243108e-10
88,7.806374443312347e-10,0,7.806374443312347e-10
89,7.868935492803729e-10,0,7.868935492803729e-10
90,7.935656536860295e-10,0,7.935656536860295e-10
91,8.003382668426726e-10,0,8.003382668426726e-10
92,8.067433983599095e-10,0,8.067433983599095e-10
93,8.141610746914763e-10,0,8.141610746914763e-10
94,8.215044287278666e-10,0,8.215044287278666e-10
95,8.289813674901213e-10,0,8.289813674901213e-10
96,8.37101518189773e-10,0,8.37101518189773e-10
97,8.450580798640669e-10,0,8.450580798640669e-10
98,8.541512231798217e-10,0,8.541512231798217e-10
99,8.641559052234882e-10,0,8.641559052234882e-10
100,8.741069230768467e-10,0,8.741069230768467e-10
101,8.844210856662155e-10,0,8.844210856662155e-10
102,8.952559420471522e-10,0,8.952559420471522e-10
103,9.055193508930264e-10,0,9.055193508930264e-10
104,9.144153201867356e-10,0,9.144153201867356e-10
105,9.210252687115625e-10,0,9.210252687115625e-10
106,9.266161640204138e-10,0,9.266161640204138e-10
107,9.327754500034677e-10,0,9.327754500034677e-10
108,9.395593796503393e-10,0,9.395593796503393e-10
109,9.460955119512592e-10,0,9.460955119512592e-10
110,9.531730463064606e-10,0,9.531730463064606e-10
111,9.600104551711686e-10,0,9.600104551711686e-10
112,9.681185361683907e-10,0,9.681185361683907e-10
113,9.767818746553707e-10,0,9.767818746553707e-10
114,9.867570619949364e-10,0,9.867570619949364e-10
