Temperature: -20 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,1.509917333608648e-11,0,1.509917333608648e-11
27,1.548390047243949e-11,0,1.548390047243949e-11
28,1.5740123403634443e-11,0,1.5740123403634443e-11
29,1.6022314990928503e-11,0,1.6022314990928503e-11
30,1.6293671894333227e-11,0,1.6293671894333227e-11
31,1.6446988457508225e-11,0,1.6446988457508225e-11
32,1.6611411328818134e-11,0,1.6611411328818134e-11
33,1.6797531948069565e-11,0,1.6797531948069565e-11
34,1.710352521823062e-11,0,1.710352521823062e-11
35,1.7460315150301006e-11,0,1.7460315150301006e-11
36,1.7853143937810378e-11,0,1.7853143937810378e-11
37,1.8194780602691534e-11,0,1.8194780602691534e-11
38,1.856503752107858e-11,0,1.856503752107858e-11
39,1.9022237033228044e-11,0,1.9022237033228044e-11
40,1.9623397465770933e-11,0,1.9623397465770933e-11
41,2.023862269394919e-11,0,2.023862269394919e-11
42,2.087098206260651e-11,0,2.087098206260651e-11
43,2.1500519786896247e-11,0,2.1500519786896247e-11
44,2.219452044423065e-11,0,2.219452044423065e-11
45,2.2955137476828272e-11,0,2.2955137476828272e-11
46,2.3726081659874365e-11,0,2.3726081659874365e-11
47,2.4352805264574384e-11,0,2.4352805264574384e-11
48,2.488987964774685e-11,0,2.488987964774685e-11
49,2.532581904326857e-11,0,2.532581904326857e-11
50,2.573795038477074e-11,0,2.573795038477074e-11
51,2.6122233507697183e-11,0,2.6122233507697183e-11
52,2.6477520423672173e-11,0,2.6477520423672173e-11
53,2.677630137354569e-11,0,2.677630137354569e-11
54,2.7090348880115555e-11,0,2.7090348880115555e-11
55,2.7348019951361827e-11,0,2.7348019951361827e-11
56,2.7569308477056908e-11,0,2.7569308477056908e-11
57,2.775689094487456e-11,0,2.775689094487456e-11
58,2.7971781253739248e-11,0,2.7971781253739248e-11
59,2.822209048761054e-11,0,2.822209048761054e-11
60,2.852896564325847e-11,0,2.852896564325847e-11
61,2.8967130736696843e-11,0,2.8967130736696843e-11
62,2.951949923522375e-11,0,2.951949923522375e-11
63,3.016131176785297e-11,0,3.016131176785297e-11
64,3.0917191980458946e-11,0,3.0917191980458946e-11
65,3.166565071793611e-11,0,3.166565071793611e-11
66,3.23650679259403e-11,0,3.23650679259403e-11
67,3.305807591339017e-11,0,3.305807591339017e-11
68,3.377993945875304e-11,0,3.377993945875304e-11
69,3.4473706806813376e-11,0,3.4473706806813376e-11
70,3.5120974588019514e-11,0,3.5120974588019514e-11
71,3.565145783273897e-11,0,3.565145783273897e-11
72,3.611366348995073e-11,0,3.611366348995073e-11
73,3.6513483667024125e-11,0,3.6513483667024125e-11
74,3.6805055616286827e-11,0,3.6805055616286827e-11
75,3.70746868753506e-11,0,3.70746868753506e-11
76,3.737229944315697e-11,0,3.737229944315697e-11
77,3.7707558491405116e-11,0,3.7707558491405116e-11
78,3.8104519209159915e-11,0,3.8104519209159915e-11
79,3.8585900695803805e-11,0,3.8585900695803805e-11
80,3.9132697636816276e-11,0,3.9132697636816276e-11
81,3.980262269363843e-11,0,3.980262269363843e-11
82,4.061473146436062e-11,0,4.061473146436062e-11
83,4.141056977312353e-11,0,4.141056977312353e-11
84,4.215391110723495e-11,0,4.215391110723495e-11
85,4.2771458547371816e-11,0,4.2771458547371816e-11
86,4.332654276460216e-11,0,4.332654276460216e-11
