Temperature: 40 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
26,7.493164386075276e-10,0,7.493164386075276e-10
27,7.941827752349846e-10,0,7.941827752349846e-10
28,8.215008208259164e-10,0,8.215008208259164e-10
29,8.412532553742035e-10,0,8.412532553742035e-10
30,8.616017037462527e-10,0,8.616017037462527e-10
31,8.779947837515783e-10,0,8.779947837515783e-10
32,8.950633038815047e-10,0,8.950633038815047e-10
33,9.176458282960015e-10,0,9.176458282960015e-10
34,9.461765397352263e-10,0,9.461765397352263e-10
35,9.767196736309632e-10,0,9.767196736309632e-10
36,1.0063022928326738e-09,0,1.0063022928326738e-09
37,1.0389528540739275e-09,0,1.0389528540739275e-09
38,1.0728653881348287e-09,0,1.0728653881348287e-09
39,1.10739111074696e-09,0,1.10739111074696e-09
40,1.1397745675907508e-09,0,1.1397745675907508e-09
41,1.1679231953326469e-09,0,1.1679231953326469e-09
42,1.192996516128042e-09,0,1.192996516128042e-09
43,1.2156654435985764e-09,0,1.2156654435985764e-09
44,1.2330089376916093e-09,0,1.2330089376916093e-09
45,1.2449308397389362e-09,0,1.2449308397389362e-09
46,1.255271638937903e-09,0,1.255271638937903e-09
47,1.262251060723045e-09,0,1.262251060723045e-09
48,1.2679404860343055e-09,0,1.2679404860343055e-09
49,1.274329772714241e-09,0,1.274329772714241e-09
50,1.283411754462978e-09,0,1.283411754462978e-09
51,1.2948936930943536e-09,0,1.2948936930943536e-09
52,1.3105844755040992e-09,0,1.3105844755040992e-09
53,1.3270131106082203e-09,0,1.3270131106082203e-09
54,1.3456644137016577e-09,0,1.3456644137016577e-09
55,1.3669861739040786e-09,0,1.3669861739040786e-09
56,1.3903941499464767e-09,0,1.3903941499464767e-09
57,1.410375994977252e-09,0,1.410375994977252e-09
58,1.428535423546069e-09,0,1.428535423546069e-09
59,1.443009973880314e-09,0,1.443009973880314e-09
60,1.4577272149800697e-09,0,1.4577272149800697e-09
61,1.471825138866688e-09,0,1.471825138866688e-09
62,1.4856646038834292e-09,0,1.4856646038834292e-09
63,1.4987486258323108e-09,0,1.4987486258323108e-09
64,1.5137019119993639e-09,0,1.5137019119993639e-09
65,1.5286365427009704e-09,0,1.5286365427009704e-09
66,1.5455026281524377e-09,0,1.5455026281524377e-09
67,1.5637321626578647e-09,0,1.5637321626578647e-09
68,1.5838104953438126e-09,0,1.5838104953438126e-09
69,1.6018902539151989e-09,0,1.6018902539151989e-09
70,1.6192303084087096e-09,0,1.6192303084087096e-09
71,1.6358094750816409e-09,0,1.6358094750816409e-09
72,1.6501759394376248e-09,0,1.6501759394376248e-09
73,1.6607982819458633e-09,0,1.6607982819458633e-09
74,1.6680936181972183e-09,0,1.6680936181972183e-09
75,1.671834059403338e-09,0,1.671834059403338e-09
76,1.6769742935740776e-09,0,1.6769742935740776e-09
77,1.6817831489512458e-09,0,1.6817831489512458e-09
78,1.6886662783684318e-09,0,1.6886662783684318e-09
79,1.6962032163487928e-09,0,1.6962032163487928e-09
80,1.708798330953627e-09,0,1.708798330953627e-09
81,1.7249077024843318e-09,0,1.7249077024843318e-09
82,1.7437019140078602e-09,0,1.7437019140078602e-09
83,1.7618495451637816e-09,0,1.7618495451637816e-09
84,1.7819342915781567e-09,0,1.7819342915781567e-09
85,1.805480285220887e-09,0,1.805480285220887e-09
86,1.832236011955965e-09,0,1.832236011955965e-09
87,1.8552281750405106e-09,0,1.8552281750405106e-09
88,1.877815979393053e-09,0,1.877815979393053e-09
89,1.9001821859919497e-09,0,1.9001821859919497e-09
90,1.924783408640064e-09,0,1.924783408640064e-09
91,1.9494762374794748e-09,0,1.9494762374794748e-09
92,1.971457444535659e-09,0,1.971457444535659e-09
93,1.9937302795930204e-09,0,1.9937302795930204e-09
94,2.0211930476524733e-09,0,2.0211930476524733e-09
95,2.046174414143603e-09,0,2.046174414143603e-09
96,2.0702685639636236e-09,0,2.0702685639636236e-09
97,2.094204906047137e-09,0,2.094204906047137e-09
98,2.120307499712627e-09,0,2.120307499712627e-09
99,2.1497215107014055e-09,0,2.1497215107014055e-09
100,2.1805871867070956e-09,0,2.1805871867070956e-09
101,2.207882823349399e-09,0,2.207882823349399e-09
102,2.236639670492808e-09,0,2.236639670492808e-09
103,2.2646220288003235e-09,0,2.2646220288003235e-09
104,2.2902169927808464e-09,0,2.2902169927808464e-09
105,2.3095648379765538e-09,0,2.3095648379765538e-09
106,2.318436867890722e-09,0,2.318436867890722e-09
107,2.3195418983811147e-09,0,2.3195418983811147e-09
108,2.3190580644704737e-09,0,2.3190580644704737e-09
109,2.3206270718588494e-09,0,2.3206270718588494e-09
110,2.3278847710652047e-09,0,2.3278847710652047e-09
111,2.3394405576429658e-09,0,2.3394405576429658e-09
112,2.3591628009371e-09,0,2.3591628009371e-09
113,2.3875348231500203e-09,0,2.3875348231500203e-09
114,2.4267179490025275e-09,0,2.4267179490025275e-09
115,2.4701703142436767e-09,0,2.4701703142436767e-09
116,2.515168323156352e-09,0,2.515168323156352e-09
117,2.5595411551039546e-09,0,2.5595411551039546e-09
118,2.6100731522982333e-09,0,2.6100731522982333e-09
119,2.6575321726207154e-09,0,2.6575321726207154e-09
120,2.71495446700363e-09,0,2.71495446700363e-09
121,2.786951394590097e-09,0,2.786951394590097e-09
122,2.8696409957639654e-09,0,2.8696409957639654e-09
123,2.9652424142119348e-09,0,2.9652424142119348e-09
124,3.0660614073496963e-09,0,3.0660614073496963e-09
125,3.1752549563407427e-09,0,3.1752549563407427e-09
126,3.3001502019592977e-09,0,3.3001502019592977e-09
127,3.422960547959255e-09,0,3.422960547959255e-09
128,3.5284313544919907e-09,0,3.5284313544919907e-09
129,3.639924509927576e-09,0,3.639924509927576e-09
130,3.755097350820524e-09,0,3.755097350820524e-09
131,3.881271283330554e-09,0,3.881271283330554e-09
132,3.994516979413396e-09,0,3.994516979413396e-09
133,4.107331188023286e-09,0,4.107331188023286e-09
134,4.225455824391241e-09,0,4.225455824391241e-09
135,4.349450675097799e-09,0,4.349450675097799e-09
136,4.469628377813855e-09,0,4.469628377813855e-09
137,4.578484822645924e-09,0,4.578484822645924e-09
138,4.6887052560414155e-09,0,4.6887052560414155e-09
139,4.815316270367579e-09,0,4.815316270367579e-09
140,4.946649533043465e-09,0,4.946649533043465e-09
141,5.087270079411358e-09,0,5.087270079411358e-09
142,5.253024100388146e-09,0,5.253024100388146e-09
143,5.4330358659770775e-09,0,5.4330358659770775e-09
144,5.641731216746607e-09,0,5.641731216746607e-09
145,5.866424549178285e-09,0,5.866424549178285e-09
146,6.094122160802532e-09,0,6.094122160802532e-09
147,6.338795216188939e-09,0,6.338795216188939e-09
148,6.586302336261981e-09,0,6.586302336261981e-09
149,6.866369056087896e-09,0,6.866369056087896e-09
150,7.197324083015835e-09,0,7.197324083015835e-09
151,7.587826927073007e-09,0,7.587826927073007e-09
152,8.046415504998672e-09,0,8.046415504998672e-09
153,8.565779968565477e-09,0,8.565779968565477e-09
154,9.16483867227697e-09,0,9.16483867227697e-09
155,9.77039300315647e-09,0,9.77039300315647e-09
156,1.0387612296561917e-08,0,1.0387612296561917e-08
157,1.10352533099002e-08,0,1.10352533099002e-08
158,1.1783602808151392e-08,0,1.1783602808151392e-08
159,1.2700220582989115e-08,0,1.2700220582989115e-08
160,1.3899026733809239e-08,0,1.3899026733809239e-08
161,1.5321281957917827e-08,0,1.5321281957917827e-08
162,1.7230129735659474e-08,0,1.7230129735659474e-08
163,1.9534593851798102e-08,0,1.9534593851798102e-08
164,2.237811363702274e-08,0,2.237811363702274e-08
165,2.544240193688167e-08,0,2.544240193688167e-08
166,2.910261656233324e-08,0,2.910261656233324e-08
167,3.299921933968821e-08,0,3.299921933968821e-08
168,3.7914052002011393e-08,0,3.7914052002011393e-08
169,4.4048962155615504e-08,0,4.4048962155615504e-08
170,5.59933588847389e-08,0,5.59933588847389e-08
171,7.415786906637352e-08,0,7.415786906637352e-08
172,1.0243456994482296e-07,0,1.0243456994482296e-07
173,1.377378642986134e-07,0,1.377378642986134e-07
174,1.8132100766934924e-07,0,1.8132100766934924e-07
175,2.309197175447092e-07,0,2.309197175447092e-07
176,2.8485083725473984e-07,0,2.8485083725473984e-07
177,3.2867671093524034e-07,0,3.2867671093524034e-07
178,3.4727135722393615e-07,0,3.4727135722393615e-07
179,3.6691798212595644e-07,0,3.6691798212595644e-07
180,3.876761005675714e-07,0,3.876761005675714e-07
