Temperature: 20 C
Humidity: 52 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
0,2.7939613750972654e-09,0,2.7939613750972654e-09
1,1.3381150459027137e-09,0,1.3381150459027137e-09
2,6.408663426548591e-10,0,6.408663426548591e-10
3,3.069308341777836e-10,0,3.069308341777836e-10
4,1.540166634805727e-10,0,1.540166634805727e-10
5,1.0516161852929348e-10,0,1.0516161852929348e-10
6,9.186942649423481e-11,0,9.186942649423481e-11
7,8.459752815867042e-11,0,8.459752815867042e-11
8,8.387483292664736e-11,0,8.387483292664736e-11
9,8.82785397444325e-11,0,8.82785397444325e-11
10,9.617596638633234e-11,0,9.617596638633234e-11
11,1.0800750685566502e-10,0,1.0800750685566502e-10
12,1.2160258794564828e-10,0,1.2160258794564828e-10
13,1.3756194454215237e-10,0,1.3756194454215237e-10
14,1.5610423599888964e-10,0,1.5610423599888964e-10
15,1.8008594228677831e-10,0,1.8008594228677831e-10
16,2.1081437576590635e-10,0,2.1081437576590635e-10
17,2.489315922928514e-10,0,2.489315922928514e-10
18,2.985372129895988e-10,0,2.985372129895988e-10
19,3.7169001370316387e-10,0,3.7169001370316387e-10
20,4.577509691481943e-10,0,4.577509691481943e-10
21,5.565649121325384e-10,0,5.565649121325384e-10
22,6.724966488273091e-10,0,6.724966488273091e-10
23,8.007812733107672e-10,0,8.007812733107672e-10
24,9.198671082252445e-10,0,9.198671082252445e-10
25,1.0096423447953715e-09,0,1.0096423447953715e-09
26,1.0555863527948892e-09,0,1.0555863527948892e-09
27,1.0957535992934134e-09,0,1.0957535992934134e-09
28,1.130434867152574e-09,0,1.130434867152574e-09
29,1.149655856026576e-09,0,1.149655856026576e-09
30,1.1621286591773602e-09,0,1.1621286591773602e-09
31,1.1745226925471982e-09,0,1.1745226925471982e-09
32,1.1866449440007765e-09,0,1.1866449440007765e-09
33,1.1973899983604115e-09,0,1.1973899983604115e-09
34,1.2105375029172512e-09,0,1.2105375029172512e-09
35,1.2284928548619656e-09,0,1.2284928548619656e-09
36,1.2457840663196736e-09,0,1.2457840663196736e-09
37,1.2588684644895831e-09,0,1.2588684644895831e-09
