Temperature: 20 C
Humidity: 6 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
0,6.861606069829444e-11,0,6.861606069829444e-11
1,6.84230165797281e-11,0,6.84230165797281e-11
2,6.823036574228797e-11,0,6.823036574228797e-11
3,6.803825732970751e-11,0,6.803825732970751e-11
4,6.736657702438821e-11,0,6.736657702438821e-11
5,6.944202112710406e-11,0,6.944202112710406e-11
6,7.26795196521169e-11,0,7.26795196521169e-11
7,7.737137630147293e-11,0,7.737137630147293e-11
8,8.188892575736661e-11,0,8.188892575736661e-11
9,8.577299265385019e-11,0,8.577299265385019e-11
10,8.9770290255203e-11,0,8.9770290255203e-11
11,9.577511238946944e-11,0,9.577511238946944e-11
12,1.0339820888218171e-10,0,1.0339820888218171e-10
13,1.1244953910722443e-10,0,1.1244953910722443e-10
14,1.2343282365957468e-10,0,1.2343282365957468e-10
15,1.40127532837498e-10,0,1.40127532837498e-10
16,1.6408497572520056e-10,0,1.6408497572520056e-10
17,1.9847928513908723e-10,0,1.9847928513908723e-10
18,2.48457566810549e-10,0,2.48457566810549e-10
19,3.2502525991558487e-10,0,3.2502525991558487e-10
20,4.1877032473187767e-10,0,4.1877032473187767e-10
21,5.277002669101209e-10,0,5.277002669101209e-10
22,6.463882737757923e-10,0,6.463882737757923e-10
23,7.7234896360572e-10,0,7.7234896360572e-10
24,8.885947967680655e-10,0,8.885947967680655e-10
25,9.657468077043126e-10,0,9.657468077043126e-10
26,9.861050598954935e-10,0,9.861050598954935e-10
27,1.0073458381721835e-09,0,1.0073458381721835e-09
28,1.025070255096248e-09,0,1.025070255096248e-09
29,1.037559820732312e-09,0,1.037559820732312e-09
30,1.048473368059026e-09,0,1.048473368059026e-09
31,1.0577326626711073e-09,0,1.0577326626711073e-09
32,1.0681732571455963e-09,0,1.0681732571455963e-09
33,1.0791741778064654e-09,0,1.0791741778064654e-09
34,1.0928771800691477e-09,0,1.0928771800691477e-09
35,1.1150139774315072e-09,0,1.1150139774315072e-09
36,1.1398146138864271e-09,0,1.1398146138864271e-09
37,1.1621439709015747e-09,0,1.1621439709015747e-09
38,1.185691614256815e-09,0,1.185691614256815e-09
39,1.2080784745752537e-09,0,1.2080784745752537e-09
40,1.2279453504113435e-09,0,1.2279453504113435e-09
41,1.2407061577570466e-09,0,1.2407061577570466e-09
42,1.2478457053682093e-09,0,1.2478457053682093e-09
43,1.2580587646666819e-09,0,1.2580587646666819e-09
44,1.2675284779002598e-09,0,1.2675284779002598e-09
45,1.276379791202846e-09,0,1.276379791202846e-09
46,1.2908962588175332e-09,0,1.2908962588175332e-09
47,1.308924959283023e-09,0,1.308924959283023e-09
48,1.3295828380287053e-09,0,1.3295828380287053e-09
49,1.3471160846420868e-09,0,1.3471160846420868e-09
50,1.3641164799551977e-09,0,1.3641164799551977e-09
51,1.384778493536048e-09,0,1.384778493536048e-09
52,1.4089953790169416e-09,0,1.4089953790169416e-09
53,1.4292006105319735e-09,0,1.4292006105319735e-09
54,1.454411505985434e-09,0,1.454411505985434e-09
55,1.4810717408153507e-09,0,1.4810717408153507e-09
56,1.5075352607774968e-09,0,1.5075352607774968e-09
57,1.5282203613923117e-09,0,1.5282203613923117e-09
58,1.543416853346702e-09,0,1.543416853346702e-09
59,1.5603843383997135e-09,0,1.5603843383997135e-09
60,1.580610572335124e-09,0,1.580610572335124e-09
61,1.5951856757074098e-09,0,1.5951856757074098e-09
62,1.6091494254471778e-09,0,1.6091494254471778e-09
63,1.6313434174891131e-09,0,1.6313434174891131e-09
64,1.6548461709168071e-09,0,1.6548461709168071e-09
65,1.678683842098748e-09,0,1.678683842098748e-09
66,1.7021545612853107e-09,0,1.7021545612853107e-09
67,1.731062391960105e-09,0,1.731062391960105e-09
68,1.7598852529479558e-09,0,1.7598852529479558e-09
69,1.7856006059873691e-09,0,1.7856006059873691e-09
70,1.8079480032675075e-09,0,1.8079480032675075e-09
71,1.8423101277634508e-09,0,1.8423101277634508e-09
72,1.8816547776452325e-09,0,1.8816547776452325e-09
73,1.921105503380406e-09,0,1.921105503380406e-09
74,1.9533113984389106e-09,0,1.9533113984389106e-09
75,1.999811912220482e-09,0,1.999811912220482e-09
76,2.0474149208629744e-09,0,2.0474149208629744e-09
77,2.0900518060401613e-09,0,2.0900518060401613e-09
78,2.125108625500171e-09,0,2.125108625500171e-09
79,2.164676248537461e-09,0,2.164676248537461e-09
80,2.2012409307105998e-09,0,2.2012409307105998e-09
81,2.2340773501959903e-09,0,2.2340773501959903e-09
82,2.256495972372388e-09,0,2.256495972372388e-09
83,2.288065538573335e-09,0,2.288065538573335e-09
84,2.322452122313333e-09,0,2.322452122313333e-09
85,2.3514202894607167e-09,0,2.3514202894607167e-09
86,2.3788423504228307e-09,0,2.3788423504228307e-09
87,2.4101539938369494e-09,0,2.4101539938369494e-09
88,2.4421941663651657e-09,0,2.4421941663651657e-09
89,2.4706748244642517e-09,0,2.4706748244642517e-09
90,2.4956046655718597e-09,0,2.4956046655718597e-09
91,2.5331047240369373e-09,0,2.5331047240369373e-09
92,2.5777826704114742e-09,0,2.5777826704114742e-09
93,2.6150356131279307e-09,0,2.6150356131279307e-09
94,2.6550589796719416e-09,0,2.6550589796719416e-09
95,2.7083568081184962e-09,0,2.7083568081184962e-09
96,2.7633373465169034e-09,0,2.7633373465169034e-09
