Temperature: -10 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
0,6.330351730337349e-11,0,6.330351730337349e-11
1,5.2736316801736766e-11,0,5.2736316801736766e-11
2,4.3933186265091277e-11,0,4.3933186265091277e-11
3,3.65995384671923e-11,0,3.65995384671923e-11
4,3.037773501278301e-11,0,3.037773501278301e-11
5,2.5832906447502757e-11,0,2.5832906447502757e-11
6,2.2685839349927074e-11,0,2.2685839349927074e-11
7,1.9959511944959652e-11,0,1.9959511944959652e-11
8,1.7943620052548746e-11,0,1.7943620052548746e-11
9,1.6761901055206426e-11,0,1.6761901055206426e-11
10,1.606452050895471e-11,0,1.606452050895471e-11
11,1.5645977259966736e-11,0,1.5645977259966736e-11
12,1.5569513675858464e-11,0,1.5569513675858464e-11
13,1.5241651800292054e-11,0,1.5241651800292054e-11
14,1.4969034406583284e-11,0,1.4969034406583284e-11
15,1.4809546623002295e-11,0,1.4809546623002295e-11
16,1.4667725118892254e-11,0,1.4667725118892254e-11
17,1.4442907084431529e-11,0,1.4442907084431529e-11
18,1.4181679830302275e-11,0,1.4181679830302275e-11
19,1.4019986295571117e-11,0,1.4019986295571117e-11
20,1.4339758071611653e-11,0,1.4339758071611653e-11
21,1.4829397435026872e-11,0,1.4829397435026872e-11
22,1.5266673952359695e-11,0,1.5266673952359695e-11
23,1.5868391737348295e-11,0,1.5868391737348295e-11
24,1.6526745227214292e-11,0,1.6526745227214292e-11
25,1.72607472497977e-11,0,1.72607472497977e-11
26,1.8062813289410384e-11,0,1.8062813289410384e-11
27,1.8608505469697884e-11,0,1.8608505469697884e-11
28,1.8987056450614704e-11,0,1.8987056450614704e-11
29,1.9348734484847737e-11,0,1.9348734484847737e-11
30,1.9590589322867745e-11,0,1.9590589322867745e-11
31,1.9817486395441995e-11,0,1.9817486395441995e-11
32,1.9982930581479604e-11,0,1.9982930581479604e-11
33,2.0110237787410302e-11,0,2.0110237787410302e-11
34,2.031498497381055e-11,0,2.031498497381055e-11
35,2.0687461682958548e-11,0,2.0687461682958548e-11
36,2.102618987596333e-11,0,2.102618987596333e-11
37,2.1312493411758247e-11,0,2.1312493411758247e-11
38,2.165727015443846e-11,0,2.165727015443846e-11
39,2.2078197960135953e-11,0,2.2078197960135953e-11
40,2.250824594101197e-11,0,2.250824594101197e-11
41,2.281498042047362e-11,0,2.281498042047362e-11
42,2.2968549804500075e-11,0,2.2968549804500075e-11
43,2.3235539642483782e-11,0,2.3235539642483782e-11
44,2.3481953017438866e-11,0,2.3481953017438866e-11
45,2.371352876400776e-11,0,2.371352876400776e-11
46,2.403610781385719e-11,0,2.403610781385719e-11
47,2.4433957411309837e-11,0,2.4433957411309837e-11
48,2.4875399996880546e-11,0,2.4875399996880546e-11
49,2.52782587054337e-11,0,2.52782587054337e-11
50,2.5634898155302795e-11,0,2.5634898155302795e-11
51,2.6121028928485595e-11,0,2.6121028928485595e-11
52,2.667213714320745e-11,0,2.667213714320745e-11
53,2.723116509277488e-11,0,2.723116509277488e-11
54,2.7925506111859984e-11,0,2.7925506111859984e-11
55,2.8774781303636162e-11,0,2.8774781303636162e-11
56,2.962691034256469e-11,0,2.962691034256469e-11
57,3.042386451289399e-11,0,3.042386451289399e-11
58,3.1124409453815043e-11,0,3.1124409453815043e-11
59,3.1903305168039734e-11,0,3.1903305168039734e-11
60,3.2723458656490966e-11,0,3.2723458656490966e-11
61,3.34732055007621e-11,0,3.34732055007621e-11
62,3.428180999953902e-11,0,3.428180999953902e-11
63,3.5332927840824994e-11,0,3.5332927840824994e-11
64,3.6410436976743624e-11,0,3.6410436976743624e-11
65,3.746424470881235e-11,0,3.746424470881235e-11
66,3.836487877518739e-11,0,3.836487877518739e-11
67,3.9449342753425207e-11,0,3.9449342753425207e-11
68,4.037605880581152e-11,0,4.037605880581152e-11
69,4.10163490905262e-11,0,4.10163490905262e-11
70,4.1546739711433164e-11,0,4.1546739711433164e-11
71,4.2499855277400106e-11,0,4.2499855277400106e-11
72,4.35716518933107e-11,0,4.35716518933107e-11
73,4.4754524222463383e-11,0,4.4754524222463383e-11
74,4.586726432355981e-11,0,4.586726432355981e-11
75,4.754605481251805e-11,0,4.754605481251805e-11
76,4.933599276898553e-11,0,4.933599276898553e-11
77,5.103292443552685e-11,0,5.103292443552685e-11
78,5.2508098086077625e-11,0,5.2508098086077625e-11
79,5.427550610591653e-11,0,5.427550610591653e-11
80,5.5965085977787036e-11,0,5.5965085977787036e-11
81,5.751585226441611e-11,0,5.751585226441611e-11
82,5.855176323831507e-11,0,5.855176323831507e-11
83,5.990077504915743e-11,0,5.990077504915743e-11
84,6.13445511801919e-11,0,6.13445511801919e-11
85,6.268518573280243e-11,0,6.268518573280243e-11
86,6.39741499908155e-11,0,6.39741499908155e-11
87,6.568998470776285e-11,0,6.568998470776285e-11
88,6.73711630527071e-11,0,6.73711630527071e-11
89,6.926703227349008e-11,0,6.926703227349008e-11
90,7.119842686140266e-11,0,7.119842686140266e-11
91,7.370605488155271e-11,0,7.370605488155271e-11
92,7.62592882389442e-11,0,7.62592882389442e-11
93,7.894966858735966e-11,0,7.894966858735966e-11
94,8.18389507126599e-11,0,8.18389507126599e-11
95,8.572478852494095e-11,0,8.572478852494095e-11
96,9.027298914508157e-11,0,9.027298914508157e-11
97,9.530139848768394e-11,0,9.530139848768394e-11
98,1.00731486998867e-10,0,1.00731486998867e-10
99,1.0728441850413512e-10,0,1.0728441850413512e-10
100,1.1424733265409672e-10,0,1.1424733265409672e-10
101,1.211396418681786e-10,0,1.211396418681786e-10
102,1.2867274913344717e-10,0,1.2867274913344717e-10
103,1.3793854186695778e-10,0,1.3793854186695778e-10
104,1.49152233360843e-10,0,1.49152233360843e-10
105,1.6231142213225632e-10,0,1.6231142213225632e-10
106,1.7716261332734943e-10,0,1.7716261332734943e-10
107,1.9305190661630541e-10,0,1.9305190661630541e-10
108,2.096164868247404e-10,0,2.096164868247404e-10
109,2.2091437479786951e-10,0,2.2091437479786951e-10
110,2.2846113610720756e-10,0,2.2846113610720756e-10
111,2.3636430223977294e-10,0,2.3636430223977294e-10
112,2.4183660292869284e-10,0,2.4183660292869284e-10
113,2.4766934811120905e-10,0,2.4766934811120905e-10
114,2.5791642256532763e-10,0,2.5791642256532763e-10
