Temperature: 50 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
0,9.82102875061621e-10,0,9.82102875061621e-10
1,9.543479923487455e-10,0,9.543479923487455e-10
2,9.273754447041173e-10,0,9.273754447041173e-10
3,9.011671956986873e-10,0,9.011671956986873e-10
4,8.810269723681089e-10,0,8.810269723681089e-10
5,9.00395759873673e-10,0,9.00395759873673e-10
6,9.46270041955291e-10,0,9.46270041955291e-10
7,1.014262212541667e-09,0,1.014262212541667e-09
8,1.0906356066009436e-09,0,1.0906356066009436e-09
9,1.1836079000667501e-09,0,1.1836079000667501e-09
10,1.3001191471692984e-09,0,1.3001191471692984e-09
11,1.443225463545484e-09,0,1.443225463545484e-09
12,1.6166757814560195e-09,0,1.6166757814560195e-09
13,1.8161289877285863e-09,0,1.8161289877285863e-09
14,2.0470957331734336e-09,0,2.0470957331734336e-09
15,2.366530626178233e-09,0,2.366530626178233e-09
16,2.813861214642087e-09,0,2.813861214642087e-09
17,3.4060377000571653e-09,0,3.4060377000571653e-09
18,4.2251032467093825e-09,0,4.2251032467093825e-09
19,5.410450796429556e-09,0,5.410450796429556e-09
20,6.8142622900901e-09,0,6.8142622900901e-09
21,8.402027857286102e-09,0,8.402027857286102e-09
22,1.0073159759788304e-08,0,1.0073159759788304e-08
23,1.1723582005128385e-08,0,1.1723582005128385e-08
24,1.315919482219571e-08,0,1.315919482219571e-08
25,1.4097505260562556e-08,0,1.4097505260562556e-08
26,1.4352847683470722e-08,0,1.4352847683470722e-08
27,1.4635647776761072e-08,0,1.4635647776761072e-08
28,1.490690650000627e-08,0,1.490690650000627e-08
29,1.510928946206302e-08,0,1.510928946206302e-08
30,1.525740728651236e-08,0,1.525740728651236e-08
31,1.5398724222146817e-08,0,1.5398724222146817e-08
32,1.5561327479776602e-08,0,1.5561327479776602e-08
33,1.5728358762837e-08,0,1.5728358762837e-08
34,1.5936556451928602e-08,0,1.5936556451928602e-08
35,1.623878927221721e-08,0,1.623878927221721e-08
36,1.654675386259901e-08,0,1.654675386259901e-08
37,1.6803342493663403e-08,0,1.6803342493663403e-08
38,1.705913314221777e-08,0,1.705913314221777e-08
39,1.7292976031436205e-08,0,1.7292976031436205e-08
40,1.7506750699733867e-08,0,1.7506750699733867e-08
41,1.762555756181146e-08,0,1.762555756181146e-08
42,1.7682098202544392e-08,0,1.7682098202544392e-08
43,1.7814139414281764e-08,0,1.7814139414281764e-08
44,1.7955208182803783e-08,0,1.7955208182803783e-08
45,1.8121035137021316e-08,0,1.8121035137021316e-08
46,1.8370826052708945e-08,0,1.8370826052708945e-08
