Temperature: 20 C
Humidity: 56 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
0,3.539015660479916e-11,0,3.539015660479916e-11
1,2.551617246292149e-11,0,2.551617246292149e-11
2,1.8397106690879677e-11,0,1.8397106690879677e-11
3,1.3264246111857994e-11,0,1.3264246111857994e-11
4,1.0006545972021261e-11,0,1.0006545972021261e-11
5,8.420646206213175e-12,0,8.420646206213175e-12
6,8.767309242932886e-12,0,8.767309242932886e-12
7,9.379679434161444e-12,0,9.379679434161444e-12
8,1.0247214143575124e-11,0,1.0247214143575124e-11
9,1.1295043727050956e-11,0,1.1295043727050956e-11
10,1.2849006612337709e-11,0,1.2849006612337709e-11
11,1.5117652816955963e-11,0,1.5117652816955963e-11
12,1.7560210762394764e-11,0,1.7560210762394764e-11
13,2.0538812975101496e-11,0,2.0538812975101496e-11
14,2.4267925543211016e-11,0,2.4267925543211016e-11
15,2.9020866845445306e-11,0,2.9020866845445306e-11
16,3.499318392804338e-11,0,3.499318392804338e-11
17,4.217483631889404e-11,0,4.217483631889404e-11
18,5.0278537565530746e-11,0,5.0278537565530746e-11
19,6.093586897031927e-11,0,6.093586897031927e-11
20,7.157700486710998e-11,0,7.157700486710998e-11
21,8.132730081001188e-11,0,8.132730081001188e-11
22,9.261482847378123e-11,0,9.261482847378123e-11
23,1.0474516185196339e-10,0,1.0474516185196339e-10
24,1.1515204829315351e-10,0,1.1515204829315351e-10
25,1.2255101637547592e-10,0,1.2255101637547592e-10
26,1.2549188601790049e-10,0,1.2549188601790049e-10
27,1.2765451684811267e-10,0,1.2765451684811267e-10
28,1.2953857082601412e-10,0,1.2953857082601412e-10
29,1.2929615708754655e-10,0,1.2929615708754655e-10
30,1.2782366094218004e-10,0,1.2782366094218004e-10
31,1.268689681603498e-10,0,1.268689681603498e-10
32,1.264834243948097e-10,0,1.264834243948097e-10
33,1.2728726808943245e-10,0,1.2728726808943245e-10
34,1.2923683068374406e-10,0,1.2923683068374406e-10
35,1.320687350828704e-10,0,1.320687350828704e-10
36,1.3525968306786661e-10,0,1.3525968306786661e-10
37,1.3793914767126327e-10,0,1.3793914767126327e-10
38,1.3967838462640715e-10,0,1.3967838462640715e-10
