Temperature: 20 C
Humidity: 24 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
0,2.7566342181894857e-12,0,2.7566342181894857e-12
1,3.3543549476043268e-12,0,3.3543549476043268e-12
2,4.0816883676788304e-12,0,4.0816883676788304e-12
3,4.966720459450305e-12,0,4.966720459450305e-12
4,6.074562104287558e-12,0,6.074562104287558e-12
5,7.069319857585693e-12,0,7.069319857585693e-12
6,7.992353326968325e-12,0,7.992353326968325e-12
7,9.164073945888158e-12,0,9.164073945888158e-12
8,1.0248249288968757e-11,0,1.0248249288968757e-11
9,1.1186141417857449e-11,0,1.1186141417857449e-11
10,1.2121122037201286e-11,0,1.2121122037201286e-11
11,1.3460752167194533e-11,0,1.3460752167194533e-11
12,1.495802675592001e-11,0,1.495802675592001e-11
13,1.690105661331122e-11,0,1.690105661331122e-11
14,1.9435647523356124e-11,0,1.9435647523356124e-11
15,2.257774744241277e-11,0,2.257774744241277e-11
16,2.6569311616249225e-11,0,2.6569311616249225e-11
17,3.1614305938112155e-11,0,3.1614305938112155e-11
18,3.7472472446579884e-11,0,3.7472472446579884e-11
19,4.5148472217694334e-11,0,4.5148472217694334e-11
20,5.270459590281755e-11,0,5.270459590281755e-11
21,5.944751186701922e-11,0,5.944751186701922e-11
22,6.699511376991379e-11,0,6.699511376991379e-11
23,7.529220089794476e-11,0,7.529220089794476e-11
24,8.241967236616978e-11,0,8.241967236616978e-11
25,8.682663942859968e-11,0,8.682663942859968e-11
26,8.839589831446924e-11,0,8.839589831446924e-11
27,8.96993522036617e-11,0,8.96993522036617e-11
28,9.07123456438705e-11,0,9.07123456438705e-11
29,9.0537022982273e-11,0,9.0537022982273e-11
30,8.944758170323971e-11,0,8.944758170323971e-11
31,8.872494332218267e-11,0,8.872494332218267e-11
32,8.85419896167771e-11,0,8.85419896167771e-11
33,8.874891096201075e-11,0,8.874891096201075e-11
34,8.979848399139713e-11,0,8.979848399139713e-11
35,9.177808481460114e-11,0,9.177808481460114e-11
36,9.416806706791981e-11,0,9.416806706791981e-11
37,9.650048481721523e-11,0,9.650048481721523e-11
38,9.800777471398198e-11,0,9.800777471398198e-11
39,9.942457515302644e-11,0,9.942457515302644e-11
40,1.0003030823646867e-10,0,1.0003030823646867e-10
