Temperature: 40 C
Humidity: 10 %
Date: 1970-01-01 00:00:00.000000
voltage,pad,gr,totalCurrent
0,2.933674966309671e-12,0,2.933674966309671e-12
1,4.258131362196022e-12,0,4.258131362196022e-12
2,6.180522072256792e-12,0,6.180522072256792e-12
3,8.970821639360638e-12,0,8.970821639360638e-12
4,1.2456472919537713e-11,0,1.2456472919537713e-11
5,1.6841187800342195e-11,0,1.6841187800342195e-11
6,2.1921192787649102e-11,0,2.1921192787649102e-11
7,2.7931945671891976e-11,0,2.7931945671891976e-11
8,3.337177646428521e-11,0,3.337177646428521e-11
9,3.764451563811356e-11,0,3.764451563811356e-11
10,4.1552852782937726e-11,0,4.1552852782937726e-11
11,4.6682916633866976e-11,0,4.6682916633866976e-11
12,5.283217416607319e-11,0,5.283217416607319e-11
13,6.063287591768564e-11,0,6.063287591768564e-11
14,6.994736925904146e-11,0,6.994736925904146e-11
15,8.178056531721583e-11,0,8.178056531721583e-11
16,9.73014081331269e-11,0,9.73014081331269e-11
17,1.1690342218955754e-10,0,1.1690342218955754e-10
18,1.4136285636094373e-10,0,1.4136285636094373e-10
19,1.7465798830010795e-10,0,1.7465798830010795e-10
20,2.0928579207270836e-10,0,2.0928579207270836e-10
21,2.442419416615675e-10,0,2.442419416615675e-10
22,2.8211309184983986e-10,0,2.8211309184983986e-10
23,3.233650999908626e-10,0,3.233650999908626e-10
24,3.6051543754383996e-10,0,3.6051543754383996e-10
25,3.844854195870626e-10,0,3.844854195870626e-10
26,3.924474136127978e-10,0,3.924474136127978e-10
27,3.9999590905816036e-10,0,3.9999590905816036e-10
28,4.055724685922611e-10,0,4.055724685922611e-10
29,4.082773040325065e-10,0,4.082773040325065e-10
30,4.0514609394802573e-10,0,4.0514609394802573e-10
31,4.0376502120466364e-10,0,4.0376502120466364e-10
32,4.037605880581152e-10,0,4.037605880581152e-10
33,4.0415000385794943e-10,0,4.0415000385794943e-10
34,4.077325697498522e-10,0,4.077325697498522e-10
35,4.16670676967969e-10,0,4.16670676967969e-10
36,4.265337337545167e-10,0,4.265337337545167e-10
37,4.369630916287864e-10,0,4.369630916287864e-10
38,4.442825969377672e-10,0,4.442825969377672e-10
39,4.50907092600258e-10,0,4.50907092600258e-10
40,4.554068742675403e-10,0,4.554068742675403e-10
41,4.570097450141069e-10,0,4.570097450141069e-10
42,4.5727978109215127e-10,0,4.5727978109215127e-10
43,4.597284018638046e-10,0,4.597284018638046e-10
44,4.625454967322603e-10,0,4.625454967322603e-10
45,4.664561725636928e-10,0,4.664561725636928e-10
46,4.714412523784688e-10,0,4.714412523784688e-10
47,4.783404316147565e-10,0,4.783404316147565e-10
48,4.853565617919667e-10,0,4.853565617919667e-10
49,4.900817345201592e-10,0,4.900817345201592e-10
50,4.943489576179712e-10,0,4.943489576179712e-10
51,5.002403225237756e-10,0,5.002403225237756e-10
52,5.071743484691347e-10,0,5.071743484691347e-10
53,5.138478020169241e-10,0,5.138478020169241e-10
54,5.230911651024171e-10,0,5.230911651024171e-10
55,5.324820937327105e-10,0,5.324820937327105e-10
56,5.418595334790024e-10,0,5.418595334790024e-10
57,5.493499515841914e-10,0,5.493499515841914e-10
58,5.560164282659787e-10,0,5.560164282659787e-10
59,5.64215245062884e-10,0,5.64215245062884e-10
60,5.743911310645887e-10,0,5.743911310645887e-10
61,5.821714291830184e-10,0,5.821714291830184e-10
62,5.904252118617019e-10,0,5.904252118617019e-10
63,6.021134723883036e-10,0,6.021134723883036e-10
64,6.14556506415925e-10,0,6.14556506415925e-10
65,6.256897813164134e-10,0,6.256897813164134e-10
66,6.349229472834104e-10,0,6.349229472834104e-10
67,6.462293188968418e-10,0,6.462293188968418e-10
68,6.57517526036593e-10,0,6.57517526036593e-10
69,6.685858263133502e-10,0,6.685858263133502e-10
70,6.783581473398946e-10,0,6.783581473398946e-10
71,6.934906519183829e-10,0,6.934906519183829e-10
72,7.104303263186321e-10,0,7.104303263186321e-10
73,7.288457278351048e-10,0,7.288457278351048e-10
74,7.458067413396008e-10,0,7.458067413396008e-10
75,7.689998350456252e-10,0,7.689998350456252e-10
76,7.931109644249865e-10,0,7.931109644249865e-10
77,8.159454933753036e-10,0,8.159454933753036e-10
78,8.340483269226047e-10,0,8.340483269226047e-10
79,8.546240164127284e-10,0,8.546240164127284e-10
80,8.724941421719095e-10,0,8.724941421719095e-10
81,8.899500173188797e-10,0,8.899500173188797e-10
82,9.031383415925778e-10,0,9.031383415925778e-10
83,9.217536545513436e-10,0,9.217536545513436e-10
84,9.41771660558495e-10,0,9.41771660558495e-10
85,9.620680570752085e-10,0,9.620680570752085e-10
86,9.818398031893385e-10,0,9.818398031893385e-10
87,1.0063995267751472e-09,0,1.0063995267751472e-09
88,1.0283596846504373e-09,0,1.0283596846504373e-09
89,1.0489063010449352e-09,0,1.0489063010449352e-09
90,1.0662234837763157e-09,0,1.0662234837763157e-09
91,1.0899532609683371e-09,0,1.0899532609683371e-09
92,1.1146418709817828e-09,0,1.1146418709817828e-09
93,1.1378689909974944e-09,0,1.1378689909974944e-09
94,1.1567641472659674e-09,0,1.1567641472659674e-09
95,1.1837170674620646e-09,0,1.1837170674620646e-09
96,1.2136809574859434e-09,0,1.2136809574859434e-09
97,1.246711792694067e-09,0,1.246711792694067e-09
98,1.2759370219611094e-09,0,1.2759370219611094e-09
99,1.310276572765457e-09,0,1.310276572765457e-09
100,1.3472077905411525e-09,0,1.3472077905411525e-09
101,1.3902628690121332e-09,0,1.3902628690121332e-09
102,1.4354344850005454e-09,0,1.4354344850005454e-09
103,1.4821421372597918e-09,0,1.4821421372597918e-09
104,1.5249050330821139e-09,0,1.5249050330821139e-09
105,1.5666123571373945e-09,0,1.5666123571373945e-09
106,1.6050592395322134e-09,0,1.6050592395322134e-09
107,1.6431682311339707e-09,0,1.6431682311339707e-09
108,1.6754541125273403e-09,0,1.6754541125273403e-09
109,1.694379084993461e-09,0,1.694379084993461e-09
110,1.7088396076106706e-09,0,1.7088396076106706e-09
111,1.7267836595371185e-09,0,1.7267836595371185e-09
112,1.7441423073021085e-09,0,1.7441423073021085e-09
113,1.770218388834976e-09,0,1.770218388834976e-09
114,1.8055080382188531e-09,0,1.8055080382188531e-09
115,1.8480921946653876e-09,0,1.8480921946653876e-09
116,1.8931434914788905e-09,0,1.8931434914788905e-09
117,1.9500885003851644e-09,0,1.9500885003851644e-09
118,2.012879371027926e-09,0,2.012879371027926e-09
119,2.0817474413791784e-09,0,2.0817474413791784e-09
120,2.1370182703778793e-09,0,2.1370182703778793e-09
121,2.1770466578435555e-09,0,2.1770466578435555e-09
122,2.2207000702776416e-09,0,2.2207000702776416e-09
123,2.278283901893675e-09,0,2.278283901893675e-09
124,2.329510903894291e-09,0,2.329510903894291e-09
125,2.371071699285111e-09,0,2.371071699285111e-09
126,2.4172086109559387e-09,0,2.4172086109559387e-09
127,2.4841446877997555e-09,0,2.4841446877997555e-09
128,2.565815733382601e-09,0,2.565815733382601e-09
129,2.658139156612772e-09,0,2.658139156612772e-09
130,2.7518501839628744e-09,0,2.7518501839628744e-09
131,2.864075880643377e-09,0,2.864075880643377e-09
132,2.9884351781043776e-09,0,2.9884351781043776e-09
133,3.1140748577691563e-09,0,3.1140748577691563e-09
134,3.2344961087153296e-09,0,3.2344961087153296e-09
135,3.3731906350133553e-09,0,3.3731906350133553e-09
136,3.5044859939033006e-09,0,3.5044859939033006e-09
137,3.633639475402708e-09,0,3.633639475402708e-09
138,3.762633390536387e-09,0,3.762633390536387e-09
139,3.933533283421714e-09,0,3.933533283421714e-09
140,4.129315868801803e-09,0,4.129315868801803e-09
141,4.355615453872795e-09,0,4.355615453872795e-09
142,4.591644235642713e-09,0,4.591644235642713e-09
143,4.859025594820298e-09,0,4.859025594820298e-09
144,5.126947784097066e-09,0,5.126947784097066e-09
145,5.403137111606674e-09,0,5.403137111606674e-09
146,5.712891351364264e-09,0,5.712891351364264e-09
147,6.09135267862276e-09,0,6.09135267862276e-09
148,6.486077817165668e-09,0,6.486077817165668e-09
149,6.970357339452788e-09,0,6.970357339452788e-09
150,7.517160276527384e-09,0,7.517160276527384e-09
151,8.282862763248974e-09,0,8.282862763248974e-09
152,9.342083088527308e-09,0,9.342083088527308e-09
153,1.0490686969986933e-08,0,1.0490686969986933e-08
154,1.1954707846435405e-08,0,1.1954707846435405e-08
155,1.3585950228067988e-08,0,1.3585950228067988e-08
156,1.537039701118044e-08,0,1.537039701118044e-08
157,1.740547740449171e-08,0,1.740547740449171e-08
158,2.027576607423184e-08,0,2.027576607423184e-08
159,2.4453388215934684e-08,0,2.4453388215934684e-08
160,3.150958257283975e-08,0,3.150958257283975e-08
161,4.2932320875192875e-08,0,4.2932320875192875e-08
162,6.610332901614868e-08,0,6.610332901614868e-08
163,1.0286340915537284e-07,0,1.0286340915537284e-07
164,1.7671384809079625e-07,0,1.7671384809079625e-07
165,3.0358529481272045e-07,0,3.0358529481272045e-07
166,5.215439096723882e-07,0,5.215439096723882e-07
